"Source Name"	"Characteristics[Organism]"	"Term Source REF"	"Term Accession Number"	"Characteristics[Variant]"	"Term Source REF"	"Term Accession Number"	"Characteristics[Organism part]"	"Term Source REF"	"Term Accession Number"	"Protocol REF"	"Sample Name"	"Factor Value[tissue]"	"Term Source REF"	"Term Accession Number"	"Factor Value[species]"	"Term Source REF"	"Term Accession Number"	"Factor Value[domestication]"	"Term Source REF"	"Term Accession Number"
"grape berries"	"Vitis"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/3603"	"Vitis berlandieri x V. riparia/Xiphinema index/Glomus intraradices mixed EST library"	"NCBITAXON"	"http://purl.obolibrary.org/obo/NCBITaxon_1115876"	"seed"	"BTO"	""	"Sample collection"	"K5BB"	"berry seeds"	""	""	"Vitis berlandieri x V. riparia/Xiphinema index/Glomus intraradices mixed EST library"	"NCBITAXON"	"http://purl.obolibrary.org/obo/NCBITaxon_1115876"	"wild"	""	""
"grape berries"	"Vitis"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/3603"	"Vitis vinifera"	"NCBITAXON"	"http://purl.obolibrary.org/obo/NCBITaxon_29760"	"seed"	"BTO"	""	"Sample collection"	"Moscato ottonel"	"berry seeds"	""	""	"Vitis vinifera"	"NCBITAXON"	"http://purl.obolibrary.org/obo/NCBITaxon_29760"	"domesticated"	""	""
"grape berries"	"Vitis"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/3603"	""	""	""	"berry"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000119"	"Sample collection"	"qc"	"berry"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000119"	""	""	""	""	""	""
"grape berries"	"Vitis"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/3603"	""	""	""	"seed"	"BTO"	""	"Sample collection"	"seeds qc"	"berry seeds"	""	""	""	""	""	""	""	""
"grape berries"	"Vitis"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/3603"	"Vitis californica"	"NCBITAXON"	"http://purl.obolibrary.org/obo/NCBITaxon_754096"	"mesocarp"	"BTO"	""	"Sample collection"	"Vitis californica"	"berry flesh"	""	""	"Vitis californica"	"NCBITAXON"	"http://purl.obolibrary.org/obo/NCBITaxon_754096"	"wild"	""	""
"grape berries"	"Vitis"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/3603"	"Vitis berlandieri x V. riparia/Xiphinema index/Glomus intraradices mixed EST library"	"NCBITAXON"	"http://purl.obolibrary.org/obo/NCBITaxon_1115876"	"mesocarp"	"BTO"	""	"Sample collection"	"K5BB"	"berry flesh"	""	""	"Vitis berlandieri x V. riparia/Xiphinema index/Glomus intraradices mixed EST library"	"NCBITAXON"	"http://purl.obolibrary.org/obo/NCBITaxon_1115876"	"wild"	""	""
"grape berries"	"Vitis"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/3603"	"Vitis vinifera"	"NCBITAXON"	"http://purl.obolibrary.org/obo/NCBITaxon_29760"	"seed"	"BTO"	""	"Sample collection"	"Iasma Eco 3"	"berry seeds"	""	""	"Vitis vinifera"	"NCBITAXON"	"http://purl.obolibrary.org/obo/NCBITaxon_29760"	"domesticated"	""	""
"grape berries"	"Vitis"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/3603"	"Vitis labrusca x Vitis vinifera"	"NCBITAXON"	"http://purl.obolibrary.org/obo/NCBITaxon_105599"	"exocarp"	"BTO"	""	"Sample collection"	"Isabella"	"berry peel"	""	""	"Vitis labrusca x Vitis vinifera"	"NCBITAXON"	"http://purl.obolibrary.org/obo/NCBITaxon_105599"	"hybrid"	""	""
"grape berries"	"Vitis"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/3603"	"Vitis berlandieri x V. riparia/Xiphinema index/Glomus intraradices mixed EST library"	"NCBITAXON"	"http://purl.obolibrary.org/obo/NCBITaxon_1115876"	"seed"	"BTO"	""	"Sample collection"	"K5BB"	"berry seeds"	""	""	"Vitis berlandieri x V. riparia/Xiphinema index/Glomus intraradices mixed EST library"	"NCBITAXON"	"http://purl.obolibrary.org/obo/NCBITaxon_1115876"	"wild"	""	""
"grape berries"	"Vitis"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/3603"	"Vitis arizonica"	"NCBITAXON"	"http://purl.obolibrary.org/obo/NCBITaxon_103353"	"exocarp"	"BTO"	""	"Sample collection"	"Vitis arizonica Texas"	"berry peel"	""	""	"Vitis arizonica"	"NCBITAXON"	"http://purl.obolibrary.org/obo/NCBITaxon_103353"	"wild"	""	""
