"Source Name"	"Characteristics[Organism]"	"Term Source REF"	"Term Accession Number"	"Characteristics[Variant]"	"Term Source REF"	"Term Accession Number"	"Characteristics[Organism Part]"	"Term Source REF"	"Term Accession Number"	"Protocol REF"	"Sample Name"	"Factor Value[Apple Sample]"	"Term Source REF"	"Term Accession Number"	"Factor Value[Spiking]"	"Term Source REF"	"Term Accession Number"
"Homogenate_C_Apple9"	"Malus domestica"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/3750"	"Malus x domestica Borkh. cv. Golden Delicious"	""	""	"mesocarp and exocarp"	""	""	"Sample collection"	"Apple_control_9n"	"Apple9"	""	""	"CONTROL"	""	""
"Homogenate_C_Apple10"	"Malus domestica"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/3750"	"Malus x domestica Borkh. cv. Golden Delicious"	""	""	"mesocarp and exocarp"	""	""	"Sample collection"	"Apple_control_10n"	"Apple10"	""	""	"CONTROL"	""	""
"Homogenate_G1_Apple1"	"Malus domestica"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/3750"	"Malus x domestica Borkh. cv. Golden Delicious"	""	""	"mesocarp and exocarp"	""	""	"Sample collection"	"Apple_group1_1n"	"Apple1"	""	""	"GROUP1"	""	""
"Homogenate_G1_Apple2"	"Malus domestica"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/3750"	"Malus x domestica Borkh. cv. Golden Delicious"	""	""	"mesocarp and exocarp"	""	""	"Sample collection"	"Apple_group1_2n"	"Apple2"	""	""	"GROUP1"	""	""
"Homogenate_G1_Apple3"	"Malus domestica"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/3750"	"Malus x domestica Borkh. cv. Golden Delicious"	""	""	"mesocarp and exocarp"	""	""	"Sample collection"	"Apple_group1_3n"	"Apple3"	""	""	"GROUP1"	""	""
"Homogenate_G1_Apple4"	"Malus domestica"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/3750"	"Malus x domestica Borkh. cv. Golden Delicious"	""	""	"mesocarp and exocarp"	""	""	"Sample collection"	"Apple_group1_4n"	"Apple4"	""	""	"GROUP1"	""	""
"Homogenate_G1_Apple5"	"Malus domestica"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/3750"	"Malus x domestica Borkh. cv. Golden Delicious"	""	""	"mesocarp and exocarp"	""	""	"Sample collection"	"Apple_group1_5n"	"Apple5"	""	""	"GROUP1"	""	""
"Homogenate_G1_Apple6"	"Malus domestica"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/3750"	"Malus x domestica Borkh. cv. Golden Delicious"	""	""	"mesocarp and exocarp"	""	""	"Sample collection"	"Apple_group1_6n"	"Apple6"	""	""	"GROUP1"	""	""
"Homogenate_G1_Apple7"	"Malus domestica"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/3750"	"Malus x domestica Borkh. cv. Golden Delicious"	""	""	"mesocarp and exocarp"	""	""	"Sample collection"	"Apple_group1_7n"	"Apple7"	""	""	"GROUP1"	""	""
"Homogenate_G1_Apple8"	"Malus domestica"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/3750"	"Malus x domestica Borkh. cv. Golden Delicious"	""	""	"mesocarp and exocarp"	""	""	"Sample collection"	"Apple_group1_8n"	"Apple8"	""	""	"GROUP1"	""	""
"Homogenate_G1_Apple9"	"Malus domestica"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/3750"	"Malus x domestica Borkh. cv. Golden Delicious"	""	""	"mesocarp and exocarp"	""	""	"Sample collection"	"Apple_group1_9n"	"Apple9"	""	""	"GROUP1"	""	""
"Homogenate_G1_Apple10"	"Malus domestica"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/3750"	"Malus x domestica Borkh. cv. Golden Delicious"	""	""	"mesocarp and exocarp"	""	""	"Sample collection"	"Apple_group1_10n"	"Apple10"	""	""	"GROUP1"	""	""
"Homogenate_G2_Apple1"	"Malus domestica"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/3750"	"Malus x domestica Borkh. cv. Golden Delicious"	""	""	"mesocarp and exocarp"	""	""	"Sample collection"	"Apple_group2_1n"	"Apple1"	""	""	"GROUP2"	""	""
"Homogenate_G2_Apple2"	"Malus domestica"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/3750"	"Malus x domestica Borkh. cv. Golden Delicious"	""	""	"mesocarp and exocarp"	""	""	"Sample collection"	"Apple_group2_2n"	"Apple2"	""	""	"GROUP2"	""	""
"Homogenate_G2_Apple3"	"Malus domestica"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/3750"	"Malus x domestica Borkh. cv. Golden Delicious"	""	""	"mesocarp and exocarp"	""	""	"Sample collection"	"Apple_group2_3n"	"Apple3"	""	""	"GROUP2"	""	""
"Homogenate_G2_Apple4"	"Malus domestica"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/3750"	"Malus x domestica Borkh. cv. Golden Delicious"	""	""	"mesocarp and exocarp"	""	""	"Sample collection"	"Apple_group2_4n"	"Apple4"	""	""	"GROUP2"	""	""
"Homogenate_G2_Apple5"	"Malus domestica"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/3750"	"Malus x domestica Borkh. cv. Golden Delicious"	""	""	"mesocarp and exocarp"	""	""	"Sample collection"	"Apple_group2_5n"	"Apple5"	""	""	"GROUP2"	""	""
"Homogenate_G2_Apple6"	"Malus domestica"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/3750"	"Malus x domestica Borkh. cv. Golden Delicious"	""	""	"mesocarp and exocarp"	""	""	"Sample collection"	"Apple_group2_6n"	"Apple6"	""	""	"GROUP2"	""	""
"Homogenate_G2_Apple7"	"Malus domestica"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/3750"	"Malus x domestica Borkh. cv. Golden Delicious"	""	""	"mesocarp and exocarp"	""	""	"Sample collection"	"Apple_group2_7n"	"Apple7"	""	""	"GROUP2"	""	""
"Homogenate_G2_Apple8"	"Malus domestica"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/3750"	"Malus x domestica Borkh. cv. Golden Delicious"	""	""	"mesocarp and exocarp"	""	""	"Sample collection"	"Apple_group2_8n"	"Apple8"	""	""	"GROUP2"	""	""
"Homogenate_G2_Apple9"	"Malus domestica"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/3750"	"Malus x domestica Borkh. cv. Golden Delicious"	""	""	"mesocarp and exocarp"	""	""	"Sample collection"	"Apple_group2_9n"	"Apple9"	""	""	"GROUP2"	""	""
"Homogenate_G2_Apple10"	"Malus domestica"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/3750"	"Malus x domestica Borkh. cv. Golden Delicious"	""	""	"mesocarp and exocarp"	""	""	"Sample collection"	"Apple_group2_10n"	"Apple10"	""	""	"GROUP2"	""	""
