"Source Name"	"Characteristics[Organism]"	"Term Source REF"	"Term Accession Number"	"Characteristics[Variant]"	"Term Source REF"	"Term Accession Number"	"Characteristics[Organism part]"	"Term Source REF"	"Term Accession Number"	"Protocol REF"	"Sample Name"	"Factor Value[Treatment]"	"Term Source REF"	"Term Accession Number"	"Factor Value[Tissue]"	"Term Source REF"	"Term Accession Number"
"Mouse 10"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	"Nude Mouse"	"NCIT"	"http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C14239"	"Leg Skin"	"NCIT"	"http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C52749"	"Sample collection"	"Mouse 10 leg skin RESV skin"	"RESV skin"	""	""	"leg skin"	""	""
"Mouse 10"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	"Nude Mouse"	"NCIT"	"http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C14239"	"leg muscle"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000722"	"Sample collection"	"Mouse 10 leg muscle RESV skin"	"RESV skin"	""	""	"leg muscle"	""	""
"Mouse 11"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	"Nude Mouse"	"NCIT"	"http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C14239"	"blood"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000089"	"Sample collection"	"Mouse 11 blood RESV skin"	"RESV skin"	""	""	"blood"	""	""
"Mouse 11"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	"Nude Mouse"	"NCIT"	"http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C14239"	"liver"	"BTO"	""	"Sample collection"	"Mouse 11 liver RESV skin"	"RESV skin"	""	""	"liver"	""	""
"Mouse 11"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	"Nude Mouse"	"NCIT"	"http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C14239"	"dorsal skin"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0001907"	"Sample collection"	"Mouse 11 dorsal skin RESV skin"	"RESV skin"	""	""	"dorsal skin"	""	""
"Mouse 11"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	"Nude Mouse"	"NCIT"	"http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C14239"	"Leg Skin"	"NCIT"	"http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C52749"	"Sample collection"	"Mouse 11 leg skin RESV skin"	"RESV skin"	""	""	"leg skin"	""	""
"Mouse 11"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	"Nude Mouse"	"NCIT"	"http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C14239"	"leg muscle"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000722"	"Sample collection"	"Mouse 11 leg muscle RESV skin"	"RESV skin"	""	""	"leg muscle"	""	""
"Mouse 12"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	"Nude Mouse"	"NCIT"	"http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C14239"	"blood"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000089"	"Sample collection"	"Mouse 12 blood RESV skin"	"RESV skin"	""	""	"blood"	""	""
"Mouse 12"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	"Nude Mouse"	"NCIT"	"http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C14239"	"liver"	"BTO"	""	"Sample collection"	"Mouse 12 liver RESV skin"	"RESV skin"	""	""	"liver"	""	""
"Mouse 12"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	"Nude Mouse"	"NCIT"	"http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C14239"	"dorsal skin"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0001907"	"Sample collection"	"Mouse 12 dorsal skin RESV skin"	"RESV skin"	""	""	"dorsal skin"	""	""
"Mouse 12"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	"Nude Mouse"	"NCIT"	"http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C14239"	"Leg Skin"	"NCIT"	"http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C52749"	"Sample collection"	"Mouse 12 leg skin RESV skin"	"RESV skin"	""	""	"leg skin"	""	""
"Mouse 12"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	"Nude Mouse"	"NCIT"	"http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C14239"	"leg muscle"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000722"	"Sample collection"	"Mouse 12 leg muscle RESV skin"	"RESV skin"	""	""	"leg muscle"	""	""
