"Source Name"	"Characteristics[Organism]"	"Term Source REF"	"Term Accession Number"	"Characteristics[Organism part]"	"Term Source REF"	"Term Accession Number"	"Protocol REF"	"Sample Name"	"Factor Value[Remote ischemic conditioning]"	"Term Source REF"	"Term Accession Number"	"Factor Value[Replicate]"	"Term Source REF"	"Term Accession Number"	"Factor Value[Subject]"	"Term Source REF"	"Term Accession Number"
"human plasma, after, subject 2 biological replicate negative"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"blood plasma"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000131"	"Sample collection"	"2_4.5b_neg"	"After"	""	""	"B"	""	""	"2"	""	""
"human plasma, after, subject 3 negative"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"blood plasma"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000131"	"Sample collection"	"3_4.5a_neg"	"After"	""	""	"A"	""	""	"3"	""	""
"human plasma, after, subject 3 biological replicate negative"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"blood plasma"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000131"	"Sample collection"	"3_4.5b_neg"	"After"	""	""	"B"	""	""	"3"	""	""
"human plasma, after, subject 4 negative"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"blood plasma"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000131"	"Sample collection"	"4_4.5a_neg"	"After"	""	""	"A"	""	""	"4"	""	""
"human plasma, after, subject 4 biological replicate negative"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"blood plasma"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000131"	"Sample collection"	"4_4.5b_neg"	"After"	""	""	"B"	""	""	"4"	""	""
"human plasma, after, subject 5 negative"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"blood plasma"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000131"	"Sample collection"	"5_4.5a_neg"	"After"	""	""	"A"	""	""	"5"	""	""
"human plasma, after, subject 5 biological replicate negative"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"blood plasma"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000131"	"Sample collection"	"5_4.5b_neg"	"After"	""	""	"B"	""	""	"5"	""	""
"human plasma, after, subject 6 negative"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"blood plasma"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000131"	"Sample collection"	"6_4.5a_neg"	"After"	""	""	"A"	""	""	"6"	""	""
"human plasma, after, subject 6 biological replicate negative"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"blood plasma"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000131"	"Sample collection"	"6_4.5b_neg"	"After"	""	""	"B"	""	""	"6"	""	""
"human plasma, after, subject 7 negative"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"blood plasma"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000131"	"Sample collection"	"7_4.5a_neg"	"After"	""	""	"A"	""	""	"7"	""	""
"human plasma, after, subject 7 biological replicate negative"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"blood plasma"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000131"	"Sample collection"	"7_4.5b_neg"	"After"	""	""	"B"	""	""	"7"	""	""
"human plasma, after, subject 8 negative"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"blood plasma"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000131"	"Sample collection"	"8_4.5a_neg"	"After"	""	""	"A"	""	""	"8"	""	""
"human plasma, after, subject 8 biological replicate negative"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"blood plasma"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000131"	"Sample collection"	"8_4.5b_neg"	"After"	""	""	"B"	""	""	"8"	""	""
"human plasma, after, subject 9 biological replicate negative"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"blood plasma"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000131"	"Sample collection"	"9_4.5b_neg"	"After"	""	""	"B"	""	""	"9"	""	""
"human plasma, before, subject 1 negative"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"blood plasma"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000131"	"Sample collection"	"1_0a_neg"	"Before"	""	""	"A"	""	""	"1"	""	""
"human plasma, before, subject 1 biological replicate negative"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"blood plasma"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000131"	"Sample collection"	"1_0b_neg"	"Before"	""	""	"B"	""	""	"1"	""	""
"human plasma, before, subject 10 negative"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"blood plasma"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000131"	"Sample collection"	"10_0a_neg"	"Before"	""	""	"A"	""	""	"10"	""	""
"human plasma, before, subject 10 biological replicate negative"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"blood plasma"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000131"	"Sample collection"	"10_0b_neg"	"Before"	""	""	"B"	""	""	"10"	""	""
"human plasma, before, subject 2 negative"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"blood plasma"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000131"	"Sample collection"	"2_0a_neg"	"Before"	""	""	"A"	""	""	"2"	""	""
