"Source Name"	"Characteristics[Organism]"	"Term Source REF"	"Term Accession Number"	"Characteristics[Variant]"	"Term Source REF"	"Term Accession Number"	"Characteristics[Organism part]"	"Term Source REF"	"Term Accession Number"	"Protocol REF"	"Sample Name"	"Factor Value[temperature]"	"Unit"	"Term Source REF"	"Term Accession Number"	"Factor Value[treatment days]"	"Unit"	"Term Source REF"	"Term Accession Number"	"Factor Value[CO2 concentration]"	"Unit"	"Term Source REF"	"Term Accession Number"
"Calanus48"	"Calanus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/6836"	"Calanus helgolandicus/NCBITAXON:Calanus finmarchicus"	"NCBITAXON"	""	"whole organism"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0002906"	"Sample collection"	"P_t0_08C_Ctrl_02"	"8"	"degree Celsius"	"UO"	"http://purl.obolibrary.org/obo/UO_0000027"	"0"	"day"	"UO"	"http://purl.obolibrary.org/obo/UO_0000033"	"380"	"parts per million"	"UO"	"http://purl.obolibrary.org/obo/UO_0000169"
"Calanus49"	"Calanus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/6836"	"Calanus helgolandicus/NCBITAXON:Calanus finmarchicus"	"NCBITAXON"	""	"whole organism"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0002906"	"Sample collection"	"P_t5_10C_Ctrl_10"	"10"	"degree Celsius"	"UO"	"http://purl.obolibrary.org/obo/UO_0000027"	"5"	"day"	"UO"	"http://purl.obolibrary.org/obo/UO_0000033"	"380"	"parts per million"	"UO"	"http://purl.obolibrary.org/obo/UO_0000169"
"Calanus50"	"Calanus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/6836"	"Calanus helgolandicus/NCBITAXON:Calanus finmarchicus"	"NCBITAXON"	""	"whole organism"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0002906"	"Sample collection"	"P_t0_10C_Ctrl_10"	"10"	"degree Celsius"	"UO"	"http://purl.obolibrary.org/obo/UO_0000027"	"0"	"day"	"UO"	"http://purl.obolibrary.org/obo/UO_0000033"	"380"	"parts per million"	"UO"	"http://purl.obolibrary.org/obo/UO_0000169"
"Calanus51"	"Calanus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/6836"	"Calanus helgolandicus/NCBITAXON:Calanus finmarchicus"	"NCBITAXON"	""	"whole organism"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0002906"	"Sample collection"	"P_t5_08C_CO2_10"	"8"	"degree Celsius"	"UO"	"http://purl.obolibrary.org/obo/UO_0000027"	"5"	"day"	"UO"	"http://purl.obolibrary.org/obo/UO_0000033"	"1000"	"parts per million"	"UO"	"http://purl.obolibrary.org/obo/UO_0000169"
"Calanus52"	"Calanus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/6836"	"Calanus helgolandicus/NCBITAXON:Calanus finmarchicus"	"NCBITAXON"	""	"whole organism"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0002906"	"Sample collection"	"P_t0_08C_Ctrl_10"	"8"	"degree Celsius"	"UO"	"http://purl.obolibrary.org/obo/UO_0000027"	"0"	"day"	"UO"	"http://purl.obolibrary.org/obo/UO_0000033"	"380"	"parts per million"	"UO"	"http://purl.obolibrary.org/obo/UO_0000169"
"Calanus53"	"Calanus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/6836"	"Calanus helgolandicus/NCBITAXON:Calanus finmarchicus"	"NCBITAXON"	""	"whole organism"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0002906"	"Sample collection"	"P_t5_10C_Ctrl_05"	"10"	"degree Celsius"	"UO"	"http://purl.obolibrary.org/obo/UO_0000027"	"5"	"day"	"UO"	"http://purl.obolibrary.org/obo/UO_0000033"	"380"	"parts per million"	"UO"	"http://purl.obolibrary.org/obo/UO_0000169"
"Calanus54"	"Calanus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/6836"	"Calanus helgolandicus/NCBITAXON:Calanus finmarchicus"	"NCBITAXON"	""	"whole organism"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0002906"	"Sample collection"	"P_t5_08C_Ctrl_05"	"8"	"degree Celsius"	"UO"	"http://purl.obolibrary.org/obo/UO_0000027"	"5"	"day"	"UO"	"http://purl.obolibrary.org/obo/UO_0000033"	"380"	"parts per million"	"UO"	"http://purl.obolibrary.org/obo/UO_0000169"
"Calanus55"	"Calanus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/6836"	"Calanus helgolandicus/NCBITAXON:Calanus finmarchicus"	"NCBITAXON"	""	"whole organism"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0002906"	"Sample collection"	"P_QC06"	""	"degree Celsius"	"UO"	"http://purl.obolibrary.org/obo/UO_0000027"	"NA"	"day"	"UO"	"http://purl.obolibrary.org/obo/UO_0000033"	"NA"	"parts per million"	"UO"	"http://purl.obolibrary.org/obo/UO_0000169"
"Calanus56"	"Calanus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/6836"	"Calanus helgolandicus/NCBITAXON:Calanus finmarchicus"	"NCBITAXON"	""	"whole organism"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0002906"	"Sample collection"	"P_t0_10C_Ctrl_05"	"10"	"degree Celsius"	"UO"	"http://purl.obolibrary.org/obo/UO_0000027"	"0"	"day"	"UO"	"http://purl.obolibrary.org/obo/UO_0000033"	"380"	"parts per million"	"UO"	"http://purl.obolibrary.org/obo/UO_0000169"
"Calanus57"	"Calanus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/6836"	"Calanus helgolandicus/NCBITAXON:Calanus finmarchicus"	"NCBITAXON"	""	"whole organism"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0002906"	"Sample collection"	"P_t5_08C_CO2_05"	"8"	"degree Celsius"	"UO"	"http://purl.obolibrary.org/obo/UO_0000027"	"5"	"day"	"UO"	"http://purl.obolibrary.org/obo/UO_0000033"	"1000"	"parts per million"	"UO"	"http://purl.obolibrary.org/obo/UO_0000169"
"Calanus58"	"Calanus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/6836"	"Calanus helgolandicus/NCBITAXON:Calanus finmarchicus"	"NCBITAXON"	""	"whole organism"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0002906"	"Sample collection"	"P_t5_10C_CO2_05"	"10"	"degree Celsius"	"UO"	"http://purl.obolibrary.org/obo/UO_0000027"	"5"	"day"	"UO"	"http://purl.obolibrary.org/obo/UO_0000033"	"1000"	"parts per million"	"UO"	"http://purl.obolibrary.org/obo/UO_0000169"
"Calanus59"	"Calanus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/6836"	"Calanus helgolandicus/NCBITAXON:Calanus finmarchicus"	"NCBITAXON"	""	"whole organism"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0002906"	"Sample collection"	"P_t0_08C_Ctrl_05"	"8"	"degree Celsius"	"UO"	"http://purl.obolibrary.org/obo/UO_0000027"	"0"	"day"	"UO"	"http://purl.obolibrary.org/obo/UO_0000033"	"380"	"parts per million"	"UO"	"http://purl.obolibrary.org/obo/UO_0000169"
"Calanus60"	"Calanus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/6836"	"Calanus helgolandicus/NCBITAXON:Calanus finmarchicus"	"NCBITAXON"	""	"whole organism"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0002906"	"Sample collection"	"P_t5_10C_Ctrl_09"	"10"	"degree Celsius"	"UO"	"http://purl.obolibrary.org/obo/UO_0000027"	"5"	"day"	"UO"	"http://purl.obolibrary.org/obo/UO_0000033"	"380"	"parts per million"	"UO"	"http://purl.obolibrary.org/obo/UO_0000169"
"Calanus61"	"Calanus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/6836"	"Calanus helgolandicus/NCBITAXON:Calanus finmarchicus"	"NCBITAXON"	""	"whole organism"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0002906"	"Sample collection"	"P_t5_08C_Ctrl_09"	"8"	"degree Celsius"	"UO"	"http://purl.obolibrary.org/obo/UO_0000027"	"5"	"day"	"UO"	"http://purl.obolibrary.org/obo/UO_0000033"	"380"	"parts per million"	"UO"	"http://purl.obolibrary.org/obo/UO_0000169"
"Calanus62"	"Calanus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/6836"	"Calanus helgolandicus/NCBITAXON:Calanus finmarchicus"	"NCBITAXON"	""	"whole organism"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0002906"	"Sample collection"	"P_t0_10C_Ctrl_09"	"10"	"degree Celsius"	"UO"	"http://purl.obolibrary.org/obo/UO_0000027"	"0"	"day"	"UO"	"http://purl.obolibrary.org/obo/UO_0000033"	"380"	"parts per million"	"UO"	"http://purl.obolibrary.org/obo/UO_0000169"
"Calanus63"	"Calanus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/6836"	"Calanus helgolandicus/NCBITAXON:Calanus finmarchicus"	"NCBITAXON"	""	"whole organism"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0002906"	"Sample collection"	"P_t5_08C_CO2_09"	"8"	"degree Celsius"	"UO"	"http://purl.obolibrary.org/obo/UO_0000027"	"5"	"day"	"UO"	"http://purl.obolibrary.org/obo/UO_0000033"	"1000"	"parts per million"	"UO"	"http://purl.obolibrary.org/obo/UO_0000169"
"Calanus64"	"Calanus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/6836"	"Calanus helgolandicus/NCBITAXON:Calanus finmarchicus"	"NCBITAXON"	""	"whole organism"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0002906"	"Sample collection"	"P_t5_10C_CO2_09"	"10"	"degree Celsius"	"UO"	"http://purl.obolibrary.org/obo/UO_0000027"	"5"	"day"	"UO"	"http://purl.obolibrary.org/obo/UO_0000033"	"1000"	"parts per million"	"UO"	"http://purl.obolibrary.org/obo/UO_0000169"
"Calanus65"	"Calanus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/6836"	"Calanus helgolandicus/NCBITAXON:Calanus finmarchicus"	"NCBITAXON"	""	"whole organism"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0002906"	"Sample collection"	"P_t0_08C_Ctrl_09"	"8"	"degree Celsius"	"UO"	"http://purl.obolibrary.org/obo/UO_0000027"	"0"	"day"	"UO"	"http://purl.obolibrary.org/obo/UO_0000033"	"380"	"parts per million"	"UO"	"http://purl.obolibrary.org/obo/UO_0000169"
"Calanus66"	"blank"	""	""	""	""	""	"solvent"	"BAO"	"http://purl.obolibrary.org/obo/CHEBI_46787"	"Sample collection"	"P_ExBlank2"	"NA"	"degree Celsius"	"UO"	"http://purl.obolibrary.org/obo/UO_0000027"	"NA"	"day"	"UO"	"http://purl.obolibrary.org/obo/UO_0000033"	"NA"	"parts per million"	"UO"	"http://purl.obolibrary.org/obo/UO_0000169"
"Calanus67"	"Calanus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/6836"	"Calanus helgolandicus/NCBITAXON:Calanus finmarchicus"	"NCBITAXON"	""	"whole organism"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0002906"	"Sample collection"	"P_QC07"	"NA"	"degree Celsius"	"UO"	"http://purl.obolibrary.org/obo/UO_0000027"	"NA"	"day"	"UO"	"http://purl.obolibrary.org/obo/UO_0000033"	"NA"	"parts per million"	"UO"	"http://purl.obolibrary.org/obo/UO_0000169"
"Calanus68"	"Calanus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/6836"	"Calanus helgolandicus/NCBITAXON:Calanus finmarchicus"	"NCBITAXON"	""	"whole organism"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0002906"	"Sample collection"	"P_QC08"	"NA"	"degree Celsius"	"UO"	"http://purl.obolibrary.org/obo/UO_0000027"	"NA"	"day"	"UO"	"http://purl.obolibrary.org/obo/UO_0000033"	"NA"	"parts per million"	"UO"	"http://purl.obolibrary.org/obo/UO_0000169"
"Calanus69"	"Calanus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/6836"	"Calanus helgolandicus/NCBITAXON:Calanus finmarchicus"	"NCBITAXON"	""	"whole organism"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0002906"	"Sample collection"	"L_QC01"	"NA"	"degree Celsius"	"UO"	"http://purl.obolibrary.org/obo/UO_0000027"	"NA"	"day"	"UO"	"http://purl.obolibrary.org/obo/UO_0000033"	"NA"	"parts per million"	"UO"	"http://purl.obolibrary.org/obo/UO_0000169"
"Calanus70"	"Calanus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/6836"	"Calanus helgolandicus/NCBITAXON:Calanus finmarchicus"	"NCBITAXON"	""	"whole organism"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0002906"	"Sample collection"	"L_QC02"	"NA"	"degree Celsius"	"UO"	"http://purl.obolibrary.org/obo/UO_0000027"	"NA"	"day"	"UO"	"http://purl.obolibrary.org/obo/UO_0000033"	"NA"	"parts per million"	"UO"	"http://purl.obolibrary.org/obo/UO_0000169"
"Calanus71"	"Calanus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/6836"	"Calanus helgolandicus/NCBITAXON:Calanus finmarchicus"	"NCBITAXON"	""	"whole organism"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0002906"	"Sample collection"	"L_QC03"	"NA"	"degree Celsius"	"UO"	"http://purl.obolibrary.org/obo/UO_0000027"	"NA"	"day"	"UO"	"http://purl.obolibrary.org/obo/UO_0000033"	"NA"	"parts per million"	"UO"	"http://purl.obolibrary.org/obo/UO_0000169"
"Calanus72"	"blank"	""	""	""	""	""	"solvent"	"BAO"	"http://purl.obolibrary.org/obo/CHEBI_46787"	"Sample collection"	"L_ExBlank1"	"NA"	"degree Celsius"	"UO"	"http://purl.obolibrary.org/obo/UO_0000027"	"NA"	"day"	"UO"	"http://purl.obolibrary.org/obo/UO_0000033"	"NA"	"parts per million"	"UO"	"http://purl.obolibrary.org/obo/UO_0000169"
"Calanus73"	"Calanus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/6836"	"Calanus helgolandicus/NCBITAXON:Calanus finmarchicus"	"NCBITAXON"	""	"whole organism"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0002906"	"Sample collection"	"L_t5_10C_Ctrl_06"	"10"	"degree Celsius"	"UO"	"http://purl.obolibrary.org/obo/UO_0000027"	"5"	"day"	"UO"	"http://purl.obolibrary.org/obo/UO_0000033"	"380"	"parts per million"	"UO"	"http://purl.obolibrary.org/obo/UO_0000169"
"Calanus74"	"Calanus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/6836"	"Calanus helgolandicus/NCBITAXON:Calanus finmarchicus"	"NCBITAXON"	""	"whole organism"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0002906"	"Sample collection"	"L_t5_08C_Ctrl_06"	"8"	"degree Celsius"	"UO"	"http://purl.obolibrary.org/obo/UO_0000027"	"5"	"day"	"UO"	"http://purl.obolibrary.org/obo/UO_0000033"	"380"	"parts per million"	"UO"	"http://purl.obolibrary.org/obo/UO_0000169"
"Calanus75"	"Calanus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/6836"	"Calanus helgolandicus/NCBITAXON:Calanus finmarchicus"	"NCBITAXON"	""	"whole organism"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0002906"	"Sample collection"	"L_t0_10C_Ctrl_06"	"10"	"degree Celsius"	"UO"	"http://purl.obolibrary.org/obo/UO_0000027"	"0"	"day"	"UO"	"http://purl.obolibrary.org/obo/UO_0000033"	"380"	"parts per million"	"UO"	"http://purl.obolibrary.org/obo/UO_0000169"
"Calanus76"	"Calanus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/6836"	"Calanus helgolandicus/NCBITAXON:Calanus finmarchicus"	"NCBITAXON"	""	"whole organism"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0002906"	"Sample collection"	"L_t5_08C_CO2_06"	"8"	"degree Celsius"	"UO"	"http://purl.obolibrary.org/obo/UO_0000027"	"5"	"day"	"UO"	"http://purl.obolibrary.org/obo/UO_0000033"	"1000"	"parts per million"	"UO"	"http://purl.obolibrary.org/obo/UO_0000169"
"Calanus77"	"Calanus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/6836"	"Calanus helgolandicus/NCBITAXON:Calanus finmarchicus"	"NCBITAXON"	""	"whole organism"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0002906"	"Sample collection"	"L_t5_10C_CO2_06"	"10"	"degree Celsius"	"UO"	"http://purl.obolibrary.org/obo/UO_0000027"	"5"	"day"	"UO"	"http://purl.obolibrary.org/obo/UO_0000033"	"1000"	"parts per million"	"UO"	"http://purl.obolibrary.org/obo/UO_0000169"
"Calanus78"	"Calanus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/6836"	"Calanus helgolandicus/NCBITAXON:Calanus finmarchicus"	"NCBITAXON"	""	"whole organism"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0002906"	"Sample collection"	"L_t0_08C_Ctrl_06"	"8"	"degree Celsius"	"UO"	"http://purl.obolibrary.org/obo/UO_0000027"	"0"	"day"	"UO"	"http://purl.obolibrary.org/obo/UO_0000033"	"380"	"parts per million"	"UO"	"http://purl.obolibrary.org/obo/UO_0000169"
"Calanus79"	"Calanus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/6836"	"Calanus helgolandicus/NCBITAXON:Calanus finmarchicus"	"NCBITAXON"	""	"whole organism"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0002906"	"Sample collection"	"L_t5_10C_Ctrl_03"	"10"	"degree Celsius"	"UO"	"http://purl.obolibrary.org/obo/UO_0000027"	"5"	"day"	"UO"	"http://purl.obolibrary.org/obo/UO_0000033"	"380"	"parts per million"	"UO"	"http://purl.obolibrary.org/obo/UO_0000169"
"Calanus80"	"Calanus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/6836"	"Calanus helgolandicus/NCBITAXON:Calanus finmarchicus"	"NCBITAXON"	""	"whole organism"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0002906"	"Sample collection"	"L_t5_08C_Ctrl_03"	"8"	"degree Celsius"	"UO"	"http://purl.obolibrary.org/obo/UO_0000027"	"5"	"day"	"UO"	"http://purl.obolibrary.org/obo/UO_0000033"	"380"	"parts per million"	"UO"	"http://purl.obolibrary.org/obo/UO_0000169"
"Calanus81"	"Calanus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/6836"	"Calanus helgolandicus/NCBITAXON:Calanus finmarchicus"	"NCBITAXON"	""	"whole organism"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0002906"	"Sample collection"	"L_t0_10C_Ctrl_03"	"10"	"degree Celsius"	"UO"	"http://purl.obolibrary.org/obo/UO_0000027"	"0"	"day"	"UO"	"http://purl.obolibrary.org/obo/UO_0000033"	"380"	"parts per million"	"UO"	"http://purl.obolibrary.org/obo/UO_0000169"
"Calanus82"	"Calanus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/6836"	"Calanus helgolandicus/NCBITAXON:Calanus finmarchicus"	"NCBITAXON"	""	"whole organism"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0002906"	"Sample collection"	"L_QC04"	"NA"	"degree Celsius"	"UO"	"http://purl.obolibrary.org/obo/UO_0000027"	"NA"	"day"	"UO"	"http://purl.obolibrary.org/obo/UO_0000033"	"NA"	"parts per million"	"UO"	"http://purl.obolibrary.org/obo/UO_0000169"
"Calanus83"	"Calanus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/6836"	"Calanus helgolandicus/NCBITAXON:Calanus finmarchicus"	"NCBITAXON"	""	"whole organism"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0002906"	"Sample collection"	"L_t5_08C_CO2_03"	"8"	"degree Celsius"	"UO"	"http://purl.obolibrary.org/obo/UO_0000027"	"5"	"day"	"UO"	"http://purl.obolibrary.org/obo/UO_0000033"	"1000"	"parts per million"	"UO"	"http://purl.obolibrary.org/obo/UO_0000169"
"Calanus84"	"Calanus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/6836"	"Calanus helgolandicus/NCBITAXON:Calanus finmarchicus"	"NCBITAXON"	""	"whole organism"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0002906"	"Sample collection"	"L_t5_10C_CO2_03"	"10"	"degree Celsius"	"UO"	"http://purl.obolibrary.org/obo/UO_0000027"	"5"	"day"	"UO"	"http://purl.obolibrary.org/obo/UO_0000033"	"1000"	"parts per million"	"UO"	"http://purl.obolibrary.org/obo/UO_0000169"
"Calanus85"	"Calanus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/6836"	"Calanus helgolandicus/NCBITAXON:Calanus finmarchicus"	"NCBITAXON"	""	"whole organism"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0002906"	"Sample collection"	"L_QC05"	"NA"	"degree Celsius"	"UO"	"http://purl.obolibrary.org/obo/UO_0000027"	"NA"	"day"	"UO"	"http://purl.obolibrary.org/obo/UO_0000033"	"NA"	"parts per million"	"UO"	"http://purl.obolibrary.org/obo/UO_0000169"
"Calanus86"	"Calanus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/6836"	"Calanus helgolandicus/NCBITAXON:Calanus finmarchicus"	"NCBITAXON"	""	"whole organism"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0002906"	"Sample collection"	"L_t0_08C_Ctrl_03"	"8"	"degree Celsius"	"UO"	"http://purl.obolibrary.org/obo/UO_0000027"	"0"	"day"	"UO"	"http://purl.obolibrary.org/obo/UO_0000033"	"380"	"parts per million"	"UO"	"http://purl.obolibrary.org/obo/UO_0000169"
"Calanus87"	"Calanus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/6836"	"Calanus helgolandicus/NCBITAXON:Calanus finmarchicus"	"NCBITAXON"	""	"whole organism"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0002906"	"Sample collection"	"L_t5_08C_Ctrl_04"	"8"	"degree Celsius"	"UO"	"http://purl.obolibrary.org/obo/UO_0000027"	"5"	"day"	"UO"	"http://purl.obolibrary.org/obo/UO_0000033"	"380"	"parts per million"	"UO"	"http://purl.obolibrary.org/obo/UO_0000169"
"Calanus88"	"Calanus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/6836"	"Calanus helgolandicus/NCBITAXON:Calanus finmarchicus"	"NCBITAXON"	""	"whole organism"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0002906"	"Sample collection"	"L_t0_10C_Ctrl_04"	"10"	"degree Celsius"	"UO"	"http://purl.obolibrary.org/obo/UO_0000027"	"0"	"day"	"UO"	"http://purl.obolibrary.org/obo/UO_0000033"	"380"	"parts per million"	"UO"	"http://purl.obolibrary.org/obo/UO_0000169"
"Calanus89"	"Calanus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/6836"	"Calanus helgolandicus/NCBITAXON:Calanus finmarchicus"	"NCBITAXON"	""	"whole organism"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0002906"	"Sample collection"	"L_t5_08C_CO2_04"	"8"	"degree Celsius"	"UO"	"http://purl.obolibrary.org/obo/UO_0000027"	"5"	"day"	"UO"	"http://purl.obolibrary.org/obo/UO_0000033"	"1000"	"parts per million"	"UO"	"http://purl.obolibrary.org/obo/UO_0000169"
"Calanus90"	"Calanus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/6836"	"Calanus helgolandicus/NCBITAXON:Calanus finmarchicus"	"NCBITAXON"	""	"whole organism"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0002906"	"Sample collection"	"L_t5_10C_CO2_04"	"10"	"degree Celsius"	"UO"	"http://purl.obolibrary.org/obo/UO_0000027"	"5"	"day"	"UO"	"http://purl.obolibrary.org/obo/UO_0000033"	"1000"	"parts per million"	"UO"	"http://purl.obolibrary.org/obo/UO_0000169"
"Calanus91"	"Calanus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/6836"	"Calanus helgolandicus/NCBITAXON:Calanus finmarchicus"	"NCBITAXON"	""	"whole organism"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0002906"	"Sample collection"	"L_t0_08C_Ctrl_04"	"8"	"degree Celsius"	"UO"	"http://purl.obolibrary.org/obo/UO_0000027"	"0"	"day"	"UO"	"http://purl.obolibrary.org/obo/UO_0000033"	"380"	"parts per million"	"UO"	"http://purl.obolibrary.org/obo/UO_0000169"
"Calanus92"	"Calanus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/6836"	"Calanus helgolandicus/NCBITAXON:Calanus finmarchicus"	"NCBITAXON"	""	"whole organism"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0002906"	"Sample collection"	"L_t5_10C_Ctrl_04"	"10"	"degree Celsius"	"UO"	"http://purl.obolibrary.org/obo/UO_0000027"	"5"	"day"	"UO"	"http://purl.obolibrary.org/obo/UO_0000033"	"380"	"parts per million"	"UO"	"http://purl.obolibrary.org/obo/UO_0000169"
"Calanus93"	"Calanus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/6836"	"Calanus helgolandicus/NCBITAXON:Calanus finmarchicus"	"NCBITAXON"	""	"whole organism"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0002906"	"Sample collection"	"L_t5_10C_Ctrl_08"	"10"	"degree Celsius"	"UO"	"http://purl.obolibrary.org/obo/UO_0000027"	"5"	"day"	"UO"	"http://purl.obolibrary.org/obo/UO_0000033"	"380"	"parts per million"	"UO"	"http://purl.obolibrary.org/obo/UO_0000169"
"Calanus94"	"Calanus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/6836"	"Calanus helgolandicus/NCBITAXON:Calanus finmarchicus"	"NCBITAXON"	""	"whole organism"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0002906"	"Sample collection"	"L_t5_08C_Ctrl_08"	"8"	"degree Celsius"	"UO"	"http://purl.obolibrary.org/obo/UO_0000027"	"5"	"day"	"UO"	"http://purl.obolibrary.org/obo/UO_0000033"	"380"	"parts per million"	"UO"	"http://purl.obolibrary.org/obo/UO_0000169"
"Calanus95"	"Calanus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/6836"	"Calanus helgolandicus/NCBITAXON:Calanus finmarchicus"	"NCBITAXON"	""	"whole organism"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0002906"	"Sample collection"	"L_t0_10C_Ctrl_08"	"10"	"degree Celsius"	"UO"	"http://purl.obolibrary.org/obo/UO_0000027"	"0"	"day"	"UO"	"http://purl.obolibrary.org/obo/UO_0000033"	"380"	"parts per million"	"UO"	"http://purl.obolibrary.org/obo/UO_0000169"
