"Source Name"	"Characteristics[Organism]"	"Term Source REF"	"Term Accession Number"	"Characteristics[Organism part]"	"Term Source REF"	"Term Accession Number"	"Protocol REF"	"Sample Name"	"Factor Value[Time point]"	"Unit"	"Term Source REF"	"Term Accession Number"	"Factor Value[Nano material]"	"Term Source REF"	"Term Accession Number"	"Factor Value[Replicate]"	"Term Source REF"	"Term Accession Number"
"A549"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"lung"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000763"	"Sample collection"	"NM300k.3h.R3"	"3"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"	"NM300k"	""	""	"Replicate 3"	""	""
"A549"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"lung"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000763"	"Sample collection"	"NM401.3h.R3"	"3"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"	"NM401"	""	""	"Replicate 3"	""	""
"A549"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"lung"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000763"	"Sample collection"	"Pool.10"	"NA"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"	"Pool"	""	""	"NA"	""	""
"A549"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"lung"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000763"	"Sample collection"	"Blank.17"	"NA"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"	"Blank"	""	""	"NA"	""	""
"A549"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"lung"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000763"	"Sample collection"	"Control.6h.R3"	"6"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"	"Control"	""	""	"Replicate 3"	""	""
"A549"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"lung"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000763"	"Sample collection"	"NM104.6h.R3"	"6"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"	"NM104"	""	""	"Replicate 3"	""	""
"A549"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"lung"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000763"	"Sample collection"	"NM300k.6h.R3"	"6"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"	"NM300k"	""	""	"Replicate 3"	""	""
"A549"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"lung"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000763"	"Sample collection"	"NM401.6h.R3"	"6"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"	"NM401"	""	""	"Replicate 3"	""	""
"A549"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"lung"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000763"	"Sample collection"	"Blank.18"	"NA"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"	"Blank"	""	""	"NA"	""	""
"A549"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"lung"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000763"	"Sample collection"	"Control.12h.R3"	"12"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"	"Control"	""	""	"Replicate 3"	""	""
"A549"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"lung"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000763"	"Sample collection"	"NM104.12h.R3"	"12"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"	"NM104"	""	""	"Replicate 3"	""	""
"A549"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"lung"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000763"	"Sample collection"	"NM300k.12h.R3"	"12"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"	"NM300k"	""	""	"Replicate 3"	""	""
"A549"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"lung"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000763"	"Sample collection"	"NM401.12h.R3"	"12"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"	"NM401"	""	""	"Replicate 3"	""	""
"A549"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"lung"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000763"	"Sample collection"	"Pool.11"	"NA"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"	"Pool"	""	""	"NA"	""	""
"A549"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"lung"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000763"	"Sample collection"	"Blank.19"	"NA"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"	"Blank"	""	""	"NA"	""	""
"A549"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"lung"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000763"	"Sample collection"	"Control.24h.R3"	"24"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"	"Control"	""	""	"Replicate 3"	""	""
"A549"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"lung"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000763"	"Sample collection"	"NM104.24h.R3"	"24"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"	"NM104"	""	""	"Replicate 3"	""	""
"A549"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"lung"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000763"	"Sample collection"	"NM300k.24h.R3"	"24"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"	"NM300k"	""	""	"Replicate 3"	""	""
"A549"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"lung"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000763"	"Sample collection"	"NM401.24h.R3"	"24"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"	"NM401"	""	""	"Replicate 3"	""	""
"A549"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"lung"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000763"	"Sample collection"	"Blank.20"	"NA"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"	"Blank"	""	""	"NA"	""	""
"A549"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"lung"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000763"	"Sample collection"	"Control.48h.R3"	"48"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"	"Control"	""	""	"Replicate 3"	""	""
"A549"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"lung"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000763"	"Sample collection"	"NM104.48h.R3"	"48"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"	"NM104"	""	""	"Replicate 3"	""	""
"A549"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"lung"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000763"	"Sample collection"	"NM300k.48h.R3"	"48"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"	"NM300k"	""	""	"Replicate 3"	""	""
"A549"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"lung"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000763"	"Sample collection"	"NM401.48h.R3"	"48"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"	"NM401"	""	""	"Replicate 3"	""	""
"A549"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"lung"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000763"	"Sample collection"	"Pool.12"	"NA"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"	"Pool"	""	""	"NA"	""	""
"A549"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"lung"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000763"	"Sample collection"	"Blank.21"	"NA"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"	"Blank"	""	""	"NA"	""	""
