"Source Name"	"Characteristics[Organism]"	"Term Source REF"	"Term Accession Number"	"Characteristics[Variant]"	"Term Source REF"	"Term Accession Number"	"Characteristics[Organism part]"	"Term Source REF"	"Term Accession Number"	"Protocol REF"	"Sample Name"	"Factor Value[Time after Inoculation]"	"Unit"	"Term Source REF"	"Term Accession Number"	"Factor Value[Genotype]"	"Term Source REF"	"Term Accession Number"
"DD55-4a_24hDex-24hH2O_1-A,8_01_9099"	"Arabidopsis thaliana"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/3702"	"Arabidopsis thaliana str. Col-0"	""	""	"Exudate"	"NCIT"	"http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C13233"	"Sample collection"	"E550-DD55-4a_24hDex-24hH2O_1-A,8_01_9099"	"24"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"	"DD"	""	""
"DD55-4a_6hDex-24hH2O_1-A,2_01_10174"	"Arabidopsis thaliana"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/3702"	"Arabidopsis thaliana str. Col-0"	""	""	"root"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001188"	"Sample collection"	"E550-DD55-4a_6hDex-24hH2O_1-A,2_01_10174"	"6"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"	"DD"	""	""
"DD55-4a_6hDex-24hH2O_1-A,2_01_9093"	"Arabidopsis thaliana"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/3702"	"Arabidopsis thaliana str. Col-0"	""	""	"Exudate"	"NCIT"	"http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C13233"	"Sample collection"	"E550-DD55-4a_6hDex-24hH2O_1-A,2_01_9093"	"6"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"	"DD"	""	""
"DD55-4b_24hDex-24hH2O_1-B,2_01_10182"	"Arabidopsis thaliana"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/3702"	"Arabidopsis thaliana str. Col-0"	""	""	"root"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001188"	"Sample collection"	"E550-DD55-4b_24hDex-24hH2O_1-B,2_01_10182"	"24"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"	"DD"	""	""
"DD55-4b_24hDex-24hH2O_1-B,2_01_9101"	"Arabidopsis thaliana"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/3702"	"Arabidopsis thaliana str. Col-0"	""	""	"Exudate"	"NCIT"	"http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C13233"	"Sample collection"	"E550-DD55-4b_24hDex-24hH2O_1-B,2_01_9101"	"24"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"	"DD"	""	""
"DD55-4b_6hDex-24hH2O_1-A,4_01_10176"	"Arabidopsis thaliana"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/3702"	"Arabidopsis thaliana str. Col-0"	""	""	"root"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001188"	"Sample collection"	"E550-DD55-4b_6hDex-24hH2O_1-A,4_01_10176"	"6"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"	"DD"	""	""
"DD55-4b_6hDex-24hH2O_1-A,4_01_9095"	"Arabidopsis thaliana"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/3702"	"Arabidopsis thaliana str. Col-0"	""	""	"Exudate"	"NCIT"	"http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C13233"	"Sample collection"	"E550-DD55-4b_6hDex-24hH2O_1-A,4_01_9095"	"6"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"	"DD"	""	""
"DD55-4c_24hDex-24hH2O_1-B,4_01_10184"	"Arabidopsis thaliana"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/3702"	"Arabidopsis thaliana str. Col-0"	""	""	"root"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001188"	"Sample collection"	"E550-DD55-4c_24hDex-24hH2O_1-B,4_01_10184"	"24"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"	"DD"	""	""
"DD55-4c_24hDex-24hH2O_1-B,4_01_9103"	"Arabidopsis thaliana"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/3702"	"Arabidopsis thaliana str. Col-0"	""	""	"Exudate"	"NCIT"	"http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C13233"	"Sample collection"	"E550-DD55-4c_24hDex-24hH2O_1-B,4_01_9103"	"24"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"	"DD"	""	""
"DD55-4c_6hDex-24hH2O_1-A,6_01_10178"	"Arabidopsis thaliana"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/3702"	"Arabidopsis thaliana str. Col-0"	""	""	"root"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001188"	"Sample collection"	"E550-DD55-4c_6hDex-24hH2O_1-A,6_01_10178"	"6"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"	"DD"	""	""
