"Source Name"	"Characteristics[Organism]"	"Term Source REF"	"Term Accession Number"	"Characteristics[Variant]"	"Term Source REF"	"Term Accession Number"	"Characteristics[Organism part]"	"Term Source REF"	"Term Accession Number"	"Protocol REF"	"Sample Name"	"Factor Value[Photoperiod]"	"Term Source REF"	"Term Accession Number"
"D. pulex WTN6 strain"	"Daphnia pulex"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/6669"	"Daphnia pulex str. WTN6"	""	""	"whole organism"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0002906"	"Sample collection"	"SD03_Neg"	"Short day"	""	""
"D. pulex WTN6 strain"	"Daphnia pulex"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/6669"	"Daphnia pulex str. WTN6"	""	""	"whole organism"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0002906"	"Sample collection"	"SD04_Neg"	"Short day"	""	""
"D. pulex WTN6 strain"	"Daphnia pulex"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/6669"	"Daphnia pulex str. WTN6"	""	""	"whole organism"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0002906"	"Sample collection"	"SD05_Neg"	"Short day"	""	""
"D. pulex WTN6 strain"	"Daphnia pulex"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/6669"	"Daphnia pulex str. WTN6"	""	""	"whole organism"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0002906"	"Sample collection"	"SD06_Neg"	"Short day"	""	""
"D. pulex WTN6 strain"	"Daphnia pulex"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/6669"	"Daphnia pulex str. WTN6"	""	""	"whole organism"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0002906"	"Sample collection"	"SD07_Neg"	"Short day"	""	""
"D. pulex WTN6 strain"	"Daphnia pulex"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/6669"	"Daphnia pulex str. WTN6"	""	""	"whole organism"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0002906"	"Sample collection"	"SD08_Neg"	"Short day"	""	""
"D. pulex WTN6 strain"	"Daphnia pulex"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/6669"	"Daphnia pulex str. WTN6"	""	""	"whole organism"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0002906"	"Sample collection"	"SD09_Neg"	"Short day"	""	""
"D. pulex WTN6 strain"	"Daphnia pulex"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/6669"	"Daphnia pulex str. WTN6"	""	""	"whole organism"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0002906"	"Sample collection"	"SD10_Neg"	"Short day"	""	""
"D. pulex WTN6 strain"	"Daphnia pulex"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/6669"	"Daphnia pulex str. WTN6"	""	""	"whole organism"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0002906"	"Sample collection"	"LD01_Neg"	"Long day"	""	""
"D. pulex WTN6 strain"	"Daphnia pulex"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/6669"	"Daphnia pulex str. WTN6"	""	""	"whole organism"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0002906"	"Sample collection"	"LD02_Neg"	"Long day"	""	""
"D. pulex WTN6 strain"	"Daphnia pulex"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/6669"	"Daphnia pulex str. WTN6"	""	""	"whole organism"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0002906"	"Sample collection"	"LD03_Neg"	"Long day"	""	""
"D. pulex WTN6 strain"	"Daphnia pulex"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/6669"	"Daphnia pulex str. WTN6"	""	""	"whole organism"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0002906"	"Sample collection"	"LD04_Neg"	"Long day"	""	""
"D. pulex WTN6 strain"	"Daphnia pulex"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/6669"	"Daphnia pulex str. WTN6"	""	""	"whole organism"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0002906"	"Sample collection"	"LD05_Neg"	"Long day"	""	""
"D. pulex WTN6 strain"	"Daphnia pulex"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/6669"	"Daphnia pulex str. WTN6"	""	""	"whole organism"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0002906"	"Sample collection"	"LD06_Neg"	"Long day"	""	""
"D. pulex WTN6 strain"	"Daphnia pulex"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/6669"	"Daphnia pulex str. WTN6"	""	""	"whole organism"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0002906"	"Sample collection"	"LD07_Neg"	"Long day"	""	""
"D. pulex WTN6 strain"	"Daphnia pulex"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/6669"	"Daphnia pulex str. WTN6"	""	""	"whole organism"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0002906"	"Sample collection"	"LD08_Neg"	"Long day"	""	""
"D. pulex WTN6 strain"	"Daphnia pulex"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/6669"	"Daphnia pulex str. WTN6"	""	""	"whole organism"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0002906"	"Sample collection"	"LD09_Neg"	"Long day"	""	""
