"Source Name"	"Characteristics[Organism]"	"Term Source REF"	"Term Accession Number"	"Characteristics[Variant]"	"Term Source REF"	"Term Accession Number"	"Characteristics[Organism part]"	"Term Source REF"	"Term Accession Number"	"Protocol REF"	"Sample Name"	"Factor Value[Genotype]"	"Term Source REF"	"Term Accession Number"	"Factor Value[Batch]"	"Term Source REF"	"Term Accession Number"	"Factor Value[Replicate]"	"Term Source REF"	"Term Accession Number"	"Factor Value[Treatment]"	"Term Source REF"	"Term Accession Number"
"Replicate-1-batch-1"	"Mycobacterium tuberculosis"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/1773"	"Mycobacterium tuberculosis str. CDC1551 ∆egtD+"	""	""	"extracellular matrix"	"EFO"	"http://purl.obolibrary.org/obo/GO_0031012"	"Sample collection"	"S37"	"∆egtD+ CDC1551 M.tuberculosis mutant"	""	""	"1"	""	""	"1"	""	""	""	""	""
"Replicate-1-batch-1"	"Mycobacterium tuberculosis"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/1773"	"Mycobacterium tuberculosis str. CDC1551 ∆egtAc"	""	""	"extracellular matrix"	"EFO"	"http://purl.obolibrary.org/obo/GO_0031012"	"Sample collection"	"S38"	"∆egtAc CDC1551 M.tuberculosis mutant"	""	""	"1"	""	""	"1"	""	""	""	""	""
"Replicate-1-batch-1"	"Mycobacterium tuberculosis"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/1773"	"Mycobacterium tuberculosis str. CDC1551 ∆egtBc"	""	""	"extracellular matrix"	"EFO"	"http://purl.obolibrary.org/obo/GO_0031012"	"Sample collection"	"S39"	"∆egtBc CDC1551 M.tuberculosis mutant"	""	""	"1"	""	""	"1"	""	""	""	""	""
"Replicate-1-batch-1"	"Mycobacterium tuberculosis"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/1773"	"Mycobacterium tuberculosis str. CDC1551 ∆egtCc"	""	""	"extracellular matrix"	"EFO"	"http://purl.obolibrary.org/obo/GO_0031012"	"Sample collection"	"S40"	"∆egtCc CDC1551 M.tuberculosis mutant"	""	""	"1"	""	""	"1"	""	""	""	""	""
"Replicate-1-batch-1"	"Mycobacterium tuberculosis"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/1773"	"Mycobacterium tuberculosis str. CDC1551 ∆egtDc"	""	""	"extracellular matrix"	"EFO"	"http://purl.obolibrary.org/obo/GO_0031012"	"Sample collection"	"S41"	"∆egtDc CDC1551 M.tuberculosis mutant"	""	""	"1"	""	""	"1"	""	""	""	""	""
"Replicate-1-batch-1"	"Mycobacterium tuberculosis"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/1773"	"Mycobacterium tuberculosis str. CDC1551 ∆mshAc"	""	""	"extracellular matrix"	"EFO"	"http://purl.obolibrary.org/obo/GO_0031012"	"Sample collection"	"S42"	"∆mshAc CDC1551 M.tuberculosis mutant"	""	""	"1"	""	""	"1"	""	""	""	""	""
"Replicate-1-batch-1"	"Mycobacterium tuberculosis"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/1773"	"Mycobacterium tuberculosis str. CDC1551"	""	""	"extracellular matrix"	"EFO"	"http://purl.obolibrary.org/obo/GO_0031012"	"Sample collection"	"S43"	"Stastionnary CDC1551 M.tuberculosis wild_type"	""	""	"1"	""	""	"1"	""	""	""	""	""
"Replicate-1-batch-1"	"Mycobacterium tuberculosis"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/1773"	"Mycobacterium tuberculosis str. H37Rv"	""	""	"extracellular matrix"	"EFO"	"http://purl.obolibrary.org/obo/GO_0031012"	"Sample collection"	"S44"	"Stastionnary H37Rv M.tuberculosis wild_type"	""	""	"1"	""	""	"1"	""	""	""	""	""
"Replicate-1-batch-1"	"Mycobacterium bovis"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/1765"	"Mycobacterium bovis str. BCG"	""	""	"extracellular matrix"	"EFO"	"http://purl.obolibrary.org/obo/GO_0031012"	"Sample collection"	"S45"	"Stationnary M.bovis BCG"	""	""	"1"	""	""	"1"	""	""	""	""	""
"Replicate-1-batch-1"	"Mycobacterium tuberculosis"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/1773"	"Mycobacterium tuberculosis str. CDC1551 ∆mshA"	""	""	"extracellular matrix"	"EFO"	"http://purl.obolibrary.org/obo/GO_0031012"	"Sample collection"	"S46"	"Stastionnary ∆mshA CDC1551 M.tuberculosis mutant"	""	""	"1"	""	""	"1"	""	""	""	""	""
