"mz"	"mzmin"	"mzmax"	"rt"	"rtmin"	"rtmax"	"npeaks"	"X2016.09.27.summer_QC"	"X2016.12.05.autumn_QC"	"X2017.02.08.winter_QC"	"X2017.06.16.spring_QC"	"neg_MM8_1_F.8_01_5714"	"neg_MM8_1_F.8_01_5723"	"neg_MM8_1_F.8_01_5734"	"neg_MM8_1_F.8_01_5744"	"neg_MM8_1_F.8_01_5750"	"neg_MM8_1_F.8_01_5757"	"neg_MM8_1.F.8_01_6617"	"neg_MM8_1.F.8_01_6626"	"neg_MM8_1.F.8_01_6635"	"neg_MM8_1.F.8_01_6646"	"neg_MM8_1.F.8_01_6654"	"neg_MM8_1.F.8_01_7156"	"neg_MM8_1.F.8_01_7157"	"neg_MM8_1.F.8_01_7166"	"neg_MM8_1.F.8_01_7175"	"neg_MM8_1.F.8_01_7185"	"neg_MM8_1.F.8_01_7193"	"neg_MM8_1.F.8_01_7435"	"neg_MM8_1.F.8_01_7436"	"neg_MM8_1.F.8_01_7451"	"neg_MM8_1.F.8_01_7462"	"neg_MM8_1.F.8_01_7475"	"neg_MM8_1.F.8_01_7484"
149.025531137384	149.025269863002	149.025867490581	1088.72884726147	1084.69806486057	1092.82686267555	29	6	5	6	6	63111.4645161295	62618.9759999995	66319.6799999982	68384.0639999996	63389.4240000007	60598.9440000007	23066.7125000003	24898.608	53001.6479999997	30436.2239999996	30019.6917692306	21486.1919999999	28986.0480000003	52791.6479999996	30555.8399999994	28620.2549999998	30158.0160000003	15262.7999999998	13797.5040000001	15717.5388000003	17280.4800000002	16252.9920000002	16287.6000000002
150.055705040242	150.054530364182	150.056532373591	39.2704014030987	29.7055705682146	40.281099486318	22	6	5	6	4	4834.16295540984	3149.328	4536.538515	3540.768	3736.05566	3221.6571626087	2229.58650517241	1740.70972173913	2207.856	2412.44364521739	1817.68672285714	2339.232	2193.408	2706.816	2778.51652	2363.77940210526	2625.168	""	""	875.28	968.789402068965	1187.76	887.66651
155.060856052923	155.059705545077	155.062347774432	387.529467861774	386.199299498371	388.536020244281	23	6	5	6	6	2428.60799999999	3147.984	3052.56	2255.26205454545	2767.29600000001	2473.96800000001	1228.26275000001	1727.376	1779.9301826087	1650.09992307693	1588.944	4989.99705600002	5490.57600000001	5497.296	5457.64799999998	5525.18399999995	5774.83199999999	2171.23408695651	2723.95200000002	2880.528	2857.67999999999	3081.12	3001.4343
156.063616050223	156.046724468512	156.066485011173	387.397624213502	374.593698729449	387.941402232697	6	1	0	4	1	""	""	""	372.623999999997	""	""	""	""	""	""	""	458.746826086961	770.112000000001	908.543999999998	648.550181818179	""	""	""	""	""	274.175999999999	""	""
159.055613610624	159.052191597255	159.057335392958	387.855177570813	386.459104815099	389.910306454315	11	0	4	4	2	""	""	""	""	""	""	456.740485714285	620.642372727269	981.543629999999	803.190947368421	""	1579.482	1349.37600000001	""	1688.064	1422.288	""	515.896444444446	""	541.968000000008	""	""	""
158.978291408091	158.977699541565	158.97997428756	1140.972463557	1140.1870607551	1142.05193311223	6	3	1	2	0	""	4554.81600000003	3936.91200000015	""	""	4243.67999999999	""	""	""	1689.07199999995	""	""	""	""	1109.472	1378.272	""	""	""	""	""	""	""
160.040565005204	160.037466534832	160.043249598102	373.695444172214	372.70604926804	388.563128837289	20	3	4	6	4	""	439.269630000002	373.683323076919	465.759969230768	""	""	1241.37673043478	1666.83054545454	1849.68	1760.34513600001	""	1019.01188571429	1577.30645217391	2040.864	1758.288	1769.51961818182	1324.848	979.104000000002	823.200000000005	743.232	962.639999999998	""	""
164.035218471335	164.033912638764	164.036927597862	260.595099372032	260.252627397898	261.071759707267	11	6	5	0	0	2079.50400000001	2030.784	1945.44	1559.886075	1408.11933333333	1593.98400000001	1549.968	1662.528	1653.34707692308	1683.29721818183	1445.80799999999	""	""	""	""	""	""	""	""	""	""	""	""
164.999591073535	164.999356919418	165.000922378322	1100.44690624259	1099.91078474323	1100.87340486581	3	3	0	0	0	2072.47377777777	""	""	2124.07083870968	2908.08000000004	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
169.040272602424	169.038884700256	169.042786741704	387.786802982221	387.131730778349	388.872681851786	21	4	5	6	6	531.887999999999	488.880000000004	493.919999999999	""	""	354.171495652173	1514.71256000002	2294.32849411765	2537.64627692308	2201.58953076923	2024.064	4532.93913600002	4547.75999999998	5014.99072941177	5202.96000000002	5027.23199999999	4676.44799999999	2049.4908923077	2495.13600000001	2761.92000000001	2261.616	2902.368	2800.87622608698
