"Source Name"	"Characteristics[Organism]"	"Term Source REF"	"Term Accession Number"	"Characteristics[Variant]"	"Term Source REF"	"Term Accession Number"	"Characteristics[Organism part]"	"Term Source REF"	"Term Accession Number"	"Protocol REF"	"Sample Name"	"Factor Value[control]"	"Term Source REF"	"Term Accession Number"	"Factor Value[time]"	"Unit"	"Term Source REF"	"Term Accession Number"
"diatom metabolites"	"Thalassiosira pseudonana"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/35128"	"Thalassiosira pseudonana CCMP1335"	"EFO"	"http://purl.obolibrary.org/obo/NCBITaxon_296543"	"endometabolome"	""	""	"Sample collection"	"Mtab_FT_020211_13"	"cell-free control"	""	""	"3"	"day"	"UO"	"http://purl.obolibrary.org/obo/UO_0000033"
"diatom metabolites"	"Thalassiosira pseudonana"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/35128"	"Thalassiosira pseudonana CCMP1335"	"EFO"	"http://purl.obolibrary.org/obo/NCBITaxon_296543"	"endometabolome"	""	""	"Sample collection"	"Mtab_FT_020211_14"	"cell-free control"	""	""	"3"	"day"	"UO"	"http://purl.obolibrary.org/obo/UO_0000033"
"diatom metabolites"	"Thalassiosira pseudonana"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/35128"	"Thalassiosira pseudonana CCMP1335"	"EFO"	"http://purl.obolibrary.org/obo/NCBITaxon_296543"	"exometabolome"	""	""	"Sample collection"	"Mtab_FT_020211_17"	"with Thalassiosira"	""	""	"7"	"day"	"UO"	"http://purl.obolibrary.org/obo/UO_0000033"
"diatom metabolites"	"Thalassiosira pseudonana"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/35128"	"Thalassiosira pseudonana CCMP1335"	"EFO"	"http://purl.obolibrary.org/obo/NCBITaxon_296543"	"exometabolome"	""	""	"Sample collection"	"Mtab_FT_020211_18"	"with Thalassiosira"	""	""	"7"	"day"	"UO"	"http://purl.obolibrary.org/obo/UO_0000033"
"diatom metabolites"	"Thalassiosira pseudonana"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/35128"	"Thalassiosira pseudonana CCMP1335"	"EFO"	"http://purl.obolibrary.org/obo/NCBITaxon_296543"	"exometabolome"	""	""	"Sample collection"	"Mtab_FT_020211_19"	"cell-free control"	""	""	"7"	"day"	"UO"	"http://purl.obolibrary.org/obo/UO_0000033"
"diatom metabolites"	"Thalassiosira pseudonana"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/35128"	"Thalassiosira pseudonana CCMP1335"	"EFO"	"http://purl.obolibrary.org/obo/NCBITaxon_296543"	"exometabolome"	""	""	"Sample collection"	"Mtab_FT_020211_20"	"cell-free control"	""	""	"7"	"day"	"UO"	"http://purl.obolibrary.org/obo/UO_0000033"
"diatom metabolites"	"Thalassiosira pseudonana"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/35128"	"Thalassiosira pseudonana CCMP1335"	"EFO"	"http://purl.obolibrary.org/obo/NCBITaxon_296543"	"exometabolome"	""	""	"Sample collection"	"Mtab_FT_020211_21"	"with Thalassiosira"	""	""	"7"	"day"	"UO"	"http://purl.obolibrary.org/obo/UO_0000033"
"diatom metabolites"	"Thalassiosira pseudonana"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/35128"	"Thalassiosira pseudonana CCMP1335"	"EFO"	"http://purl.obolibrary.org/obo/NCBITaxon_296543"	"exometabolome"	""	""	"Sample collection"	"Mtab_FT_020211_22"	"with Thalassiosira"	""	""	"7"	"day"	"UO"	"http://purl.obolibrary.org/obo/UO_0000033"
"diatom metabolites"	"Thalassiosira pseudonana"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/35128"	"Thalassiosira pseudonana CCMP1335"	"EFO"	"http://purl.obolibrary.org/obo/NCBITaxon_296543"	"endometabolome"	""	""	"Sample collection"	"Mtab_FT_020211_23"	"with Thalassiosira"	""	""	"7"	"day"	"UO"	"http://purl.obolibrary.org/obo/UO_0000033"
"diatom metabolites"	"Thalassiosira pseudonana"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/35128"	"Thalassiosira pseudonana CCMP1335"	"EFO"	"http://purl.obolibrary.org/obo/NCBITaxon_296543"	"endometabolome"	""	""	"Sample collection"	"Mtab_FT_020211_24"	"with Thalassiosira"	""	""	"7"	"day"	"UO"	"http://purl.obolibrary.org/obo/UO_0000033"
"diatom metabolites"	"Thalassiosira pseudonana"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/35128"	"Thalassiosira pseudonana CCMP1335"	"EFO"	"http://purl.obolibrary.org/obo/NCBITaxon_296543"	"endometabolome"	""	""	"Sample collection"	"Mtab_FT_020211_25"	"cell-free control"	""	""	"7"	"day"	"UO"	"http://purl.obolibrary.org/obo/UO_0000033"
"diatom metabolites"	"Thalassiosira pseudonana"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/35128"	"Thalassiosira pseudonana CCMP1335"	"EFO"	"http://purl.obolibrary.org/obo/NCBITaxon_296543"	"endometabolome"	""	""	"Sample collection"	"Mtab_FT_020211_26"	"cell-free control"	""	""	"7"	"day"	"UO"	"http://purl.obolibrary.org/obo/UO_0000033"
"diatom metabolites"	"Thalassiosira pseudonana"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/35128"	"Thalassiosira pseudonana CCMP1335"	"EFO"	"http://purl.obolibrary.org/obo/NCBITaxon_296543"	"endometabolome"	""	""	"Sample collection"	"Mtab_FT_020211_27"	"with Thalassiosira"	""	""	"7"	"day"	"UO"	"http://purl.obolibrary.org/obo/UO_0000033"
"diatom metabolites"	"Thalassiosira pseudonana"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/35128"	"Thalassiosira pseudonana CCMP1335"	"EFO"	"http://purl.obolibrary.org/obo/NCBITaxon_296543"	"endometabolome"	""	""	"Sample collection"	"Mtab_FT_020211_28"	"with Thalassiosira"	""	""	"7"	"day"	"UO"	"http://purl.obolibrary.org/obo/UO_0000033"
"diatom metabolites"	"Thalassiosira pseudonana"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/35128"	"Thalassiosira pseudonana CCMP1335"	"EFO"	"http://purl.obolibrary.org/obo/NCBITaxon_296543"	"exometabolome"	""	""	"Sample collection"	"Mtab_FT_020311_02"	"with Thalassiosira"	""	""	"8"	"day"	"UO"	"http://purl.obolibrary.org/obo/UO_0000033"
"diatom metabolites"	"Thalassiosira pseudonana"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/35128"	"Thalassiosira pseudonana CCMP1335"	"EFO"	"http://purl.obolibrary.org/obo/NCBITaxon_296543"	"exometabolome"	""	""	"Sample collection"	"Mtab_FT_020311_03"	"with Thalassiosira"	""	""	"8"	"day"	"UO"	"http://purl.obolibrary.org/obo/UO_0000033"
"diatom metabolites"	"Thalassiosira pseudonana"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/35128"	"Thalassiosira pseudonana CCMP1335"	"EFO"	"http://purl.obolibrary.org/obo/NCBITaxon_296543"	"exometabolome"	""	""	"Sample collection"	"Mtab_FT_020311_04"	"with Thalassiosira"	""	""	"8"	"day"	"UO"	"http://purl.obolibrary.org/obo/UO_0000033"
"diatom metabolites"	"Thalassiosira pseudonana"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/35128"	"Thalassiosira pseudonana CCMP1335"	"EFO"	"http://purl.obolibrary.org/obo/NCBITaxon_296543"	"exometabolome"	""	""	"Sample collection"	"Mtab_FT_020311_05"	"with Thalassiosira"	""	""	"8"	"day"	"UO"	"http://purl.obolibrary.org/obo/UO_0000033"
"diatom metabolites"	"Thalassiosira pseudonana"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/35128"	"Thalassiosira pseudonana CCMP1335"	"EFO"	"http://purl.obolibrary.org/obo/NCBITaxon_296543"	"exometabolome"	""	""	"Sample collection"	"Mtab_FT_020311_06"	"cell-free control"	""	""	"8"	"day"	"UO"	"http://purl.obolibrary.org/obo/UO_0000033"
"diatom metabolites"	"Thalassiosira pseudonana"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/35128"	"Thalassiosira pseudonana CCMP1335"	"EFO"	"http://purl.obolibrary.org/obo/NCBITaxon_296543"	"exometabolome"	""	""	"Sample collection"	"Mtab_FT_020311_07"	"cell-free control"	""	""	"8"	"day"	"UO"	"http://purl.obolibrary.org/obo/UO_0000033"
"diatom metabolites"	"Thalassiosira pseudonana"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/35128"	"Thalassiosira pseudonana CCMP1335"	"EFO"	"http://purl.obolibrary.org/obo/NCBITaxon_296543"	"endometabolome"	""	""	"Sample collection"	"Mtab_FT_020311_08"	"with Thalassiosira"	""	""	"8"	"day"	"UO"	"http://purl.obolibrary.org/obo/UO_0000033"
"diatom metabolites"	"Thalassiosira pseudonana"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/35128"	"Thalassiosira pseudonana CCMP1335"	"EFO"	"http://purl.obolibrary.org/obo/NCBITaxon_296543"	"endometabolome"	""	""	"Sample collection"	"Mtab_FT_020311_09"	"with Thalassiosira"	""	""	"8"	"day"	"UO"	"http://purl.obolibrary.org/obo/UO_0000033"
"diatom metabolites"	"Thalassiosira pseudonana"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/35128"	"Thalassiosira pseudonana CCMP1335"	"EFO"	"http://purl.obolibrary.org/obo/NCBITaxon_296543"	"endometabolome"	""	""	"Sample collection"	"Mtab_FT_020311_10"	"with Thalassiosira"	""	""	"8"	"day"	"UO"	"http://purl.obolibrary.org/obo/UO_0000033"
"diatom metabolites"	"Thalassiosira pseudonana"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/35128"	"Thalassiosira pseudonana CCMP1335"	"EFO"	"http://purl.obolibrary.org/obo/NCBITaxon_296543"	"endometabolome"	""	""	"Sample collection"	"Mtab_FT_020311_11"	"with Thalassiosira"	""	""	"8"	"day"	"UO"	"http://purl.obolibrary.org/obo/UO_0000033"
"diatom metabolites"	"Thalassiosira pseudonana"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/35128"	"Thalassiosira pseudonana CCMP1335"	"EFO"	"http://purl.obolibrary.org/obo/NCBITaxon_296543"	"endometabolome"	""	""	"Sample collection"	"Mtab_FT_020311_12"	"cell-free control"	""	""	"8"	"day"	"UO"	"http://purl.obolibrary.org/obo/UO_0000033"
"diatom metabolites"	"Thalassiosira pseudonana"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/35128"	"Thalassiosira pseudonana CCMP1335"	"EFO"	"http://purl.obolibrary.org/obo/NCBITaxon_296543"	"endometabolome"	""	""	"Sample collection"	"Mtab_FT_020311_13"	"cell-free control"	""	""	"8"	"day"	"UO"	"http://purl.obolibrary.org/obo/UO_0000033"
"diatom metabolites"	"Thalassiosira pseudonana"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/35128"	"Thalassiosira pseudonana CCMP1335"	"EFO"	"http://purl.obolibrary.org/obo/NCBITaxon_296543"	"exometabolome"	""	""	"Sample collection"	"Mtab_FT_020311_16"	"with Thalassiosira"	""	""	"10"	"day"	"UO"	"http://purl.obolibrary.org/obo/UO_0000033"
"diatom metabolites"	"Thalassiosira pseudonana"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/35128"	"Thalassiosira pseudonana CCMP1335"	"EFO"	"http://purl.obolibrary.org/obo/NCBITaxon_296543"	"exometabolome"	""	""	"Sample collection"	"Mtab_FT_020311_17"	"with Thalassiosira"	""	""	"10"	"day"	"UO"	"http://purl.obolibrary.org/obo/UO_0000033"
"diatom metabolites"	"Thalassiosira pseudonana"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/35128"	"Thalassiosira pseudonana CCMP1335"	"EFO"	"http://purl.obolibrary.org/obo/NCBITaxon_296543"	"exometabolome"	""	""	"Sample collection"	"Mtab_FT_020311_18"	"cell-free control"	""	""	"10"	"day"	"UO"	"http://purl.obolibrary.org/obo/UO_0000033"
"diatom metabolites"	"Thalassiosira pseudonana"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/35128"	"Thalassiosira pseudonana CCMP1335"	"EFO"	"http://purl.obolibrary.org/obo/NCBITaxon_296543"	"exometabolome"	""	""	"Sample collection"	"Mtab_FT_020311_19"	"cell-free control"	""	""	"10"	"day"	"UO"	"http://purl.obolibrary.org/obo/UO_0000033"
