"Source Name"	"Characteristics[Organism]"	"Term Source REF"	"Term Accession Number"	"Characteristics[Variant]"	"Term Source REF"	"Term Accession Number"	"Characteristics[Organism part]"	"Term Source REF"	"Term Accession Number"	"Protocol REF"	"Factor Value[age]"	"Unit"	"Term Source REF"	"Term Accession Number"	"Factor Value[genotype]"	"Term Source REF"	"Term Accession Number"	"Sample Name"
"HA_3m_control5Dia"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	"Mus musculus str. 129/SvEv"	""	""	"diaphragm"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000341"	"Sample collection"	"3"	"month"	"UO"	"http://purl.obolibrary.org/obo/UO_0000035"	"wild-type SVEV/129"	""	""	"HA_3m_control5Dia"
"HA_3m_ppar1Dia"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	"Mus musculus str. 129/SvEv PPAR-alpha(-/-)"	""	""	"diaphragm"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000341"	"Sample collection"	"3"	"month"	"UO"	"http://purl.obolibrary.org/obo/UO_0000035"	"Ppar-alpha-Null"	""	""	"HA_3m_ppar1Dia"
"HA_3m_ppar2Dia"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	"Mus musculus str. 129/SvEv PPAR-alpha(-/-)"	""	""	"diaphragm"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000341"	"Sample collection"	"3"	"month"	"UO"	"http://purl.obolibrary.org/obo/UO_0000035"	"Ppar-alpha-Null"	""	""	"HA_3m_ppar2Dia"
"HA_3m_ppar3Dia"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	"Mus musculus str. 129/SvEv PPAR-alpha(-/-)"	""	""	"diaphragm"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000341"	"Sample collection"	"3"	"month"	"UO"	"http://purl.obolibrary.org/obo/UO_0000035"	"Ppar-alpha-Null"	""	""	"HA_3m_ppar3Dia"
"HA_3m_ppar4Dia"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	"Mus musculus str. 129/SvEv PPAR-alpha(-/-)"	""	""	"diaphragm"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000341"	"Sample collection"	"3"	"month"	"UO"	"http://purl.obolibrary.org/obo/UO_0000035"	"Ppar-alpha-Null"	""	""	"HA_3m_ppar4Dia"
"HA_3m_ppar5Dia"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	"Mus musculus str. 129/SvEv PPAR-alpha(-/-)"	""	""	"diaphragm"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000341"	"Sample collection"	"3"	"month"	"UO"	"http://purl.obolibrary.org/obo/UO_0000035"	"Ppar-alpha-Null"	""	""	"HA_3m_ppar5Dia"
"HA_5m_control1Dia"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	"Mus musculus str. 129/SvEv"	""	""	"diaphragm"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000341"	"Sample collection"	"5"	"month"	"UO"	"http://purl.obolibrary.org/obo/UO_0000035"	"wild-type SVEV/129"	""	""	"HA_5m_control1Dia"
"HA_5m_control2Dia"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	"Mus musculus str. 129/SvEv"	""	""	"diaphragm"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000341"	"Sample collection"	"5"	"month"	"UO"	"http://purl.obolibrary.org/obo/UO_0000035"	"wild-type SVEV/129"	""	""	"HA_5m_control2Dia"
"HA_5m_control3Dia"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	"Mus musculus str. 129/SvEv"	""	""	"diaphragm"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000341"	"Sample collection"	"5"	"month"	"UO"	"http://purl.obolibrary.org/obo/UO_0000035"	"wild-type SVEV/129"	""	""	"HA_5m_control3Dia"
"HA_5m_control4Dia"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	"Mus musculus str. 129/SvEv"	""	""	"diaphragm"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000341"	"Sample collection"	"5"	"month"	"UO"	"http://purl.obolibrary.org/obo/UO_0000035"	"wild-type SVEV/129"	""	""	"HA_5m_control4Dia"
"HA_5m_control5Dia"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	"Mus musculus str. 129/SvEv"	""	""	"diaphragm"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000341"	"Sample collection"	"5"	"month"	"UO"	"http://purl.obolibrary.org/obo/UO_0000035"	"wild-type SVEV/129"	""	""	"HA_5m_control5Dia"
"HA_5m_ppar1Dia"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	"Mus musculus str. 129/SvEv PPAR-alpha(-/-)"	""	""	"diaphragm"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000341"	"Sample collection"	"5"	"month"	"UO"	"http://purl.obolibrary.org/obo/UO_0000035"	"Ppar-alpha-Null"	""	""	"HA_5m_ppar1Dia"
"HA_5m_ppar2Dia"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	"Mus musculus str. 129/SvEv PPAR-alpha(-/-)"	""	""	"diaphragm"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000341"	"Sample collection"	"5"	"month"	"UO"	"http://purl.obolibrary.org/obo/UO_0000035"	"Ppar-alpha-Null"	""	""	"HA_5m_ppar2Dia"
"HA_5m_ppar3Dia"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	"Mus musculus str. 129/SvEv PPAR-alpha(-/-)"	""	""	"diaphragm"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000341"	"Sample collection"	"5"	"month"	"UO"	"http://purl.obolibrary.org/obo/UO_0000035"	"Ppar-alpha-Null"	""	""	"HA_5m_ppar3Dia"
"HA_5m_ppar4Dia"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	"Mus musculus str. 129/SvEv PPAR-alpha(-/-)"	""	""	"diaphragm"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000341"	"Sample collection"	"5"	"month"	"UO"	"http://purl.obolibrary.org/obo/UO_0000035"	"Ppar-alpha-Null"	""	""	"HA_5m_ppar4Dia"
"HA_5m_ppar5Dia"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	"Mus musculus str. 129/SvEv PPAR-alpha(-/-)"	""	""	"diaphragm"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000341"	"Sample collection"	"5"	"month"	"UO"	"http://purl.obolibrary.org/obo/UO_0000035"	"Ppar-alpha-Null"	""	""	"HA_5m_ppar5Dia"
"HA_7m_control1Dia"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	"Mus musculus str. 129/SvEv"	""	""	"diaphragm"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000341"	"Sample collection"	"7"	"month"	"UO"	"http://purl.obolibrary.org/obo/UO_0000035"	"wild-type SVEV/129"	""	""	"HA_7m_control1Dia"
"HA_7m_control2Dia"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	"Mus musculus str. 129/SvEv"	""	""	"diaphragm"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000341"	"Sample collection"	"7"	"month"	"UO"	"http://purl.obolibrary.org/obo/UO_0000035"	"wild-type SVEV/129"	""	""	"HA_7m_control2Dia"
"HA_7m_control3Dia"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	"Mus musculus str. 129/SvEv"	""	""	"diaphragm"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000341"	"Sample collection"	"7"	"month"	"UO"	"http://purl.obolibrary.org/obo/UO_0000035"	"wild-type SVEV/129"	""	""	"HA_7m_control3Dia"
"HA_7m_control4Dia"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	"Mus musculus str. 129/SvEv"	""	""	"diaphragm"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000341"	"Sample collection"	"7"	"month"	"UO"	"http://purl.obolibrary.org/obo/UO_0000035"	"wild-type SVEV/129"	""	""	"HA_7m_control4Dia"
"HA_7m_control5Dia"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	"Mus musculus str. 129/SvEv"	""	""	"diaphragm"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000341"	"Sample collection"	"7"	"month"	"UO"	"http://purl.obolibrary.org/obo/UO_0000035"	"wild-type SVEV/129"	""	""	"HA_7m_control5Dia"
"HA_7m_ppar1Dia"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	"Mus musculus str. 129/SvEv PPAR-alpha(-/-)"	""	""	"diaphragm"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000341"	"Sample collection"	"7"	"month"	"UO"	"http://purl.obolibrary.org/obo/UO_0000035"	"Ppar-alpha-Null"	""	""	"HA_7m_ppar1Dia"
"HA_7m_ppar2Dia"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	"Mus musculus str. 129/SvEv PPAR-alpha(-/-)"	""	""	"diaphragm"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000341"	"Sample collection"	"7"	"month"	"UO"	"http://purl.obolibrary.org/obo/UO_0000035"	"Ppar-alpha-Null"	""	""	"HA_7m_ppar2Dia"
"HA_7m_ppar3Dia"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	"Mus musculus str. 129/SvEv PPAR-alpha(-/-)"	""	""	"diaphragm"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000341"	"Sample collection"	"7"	"month"	"UO"	"http://purl.obolibrary.org/obo/UO_0000035"	"Ppar-alpha-Null"	""	""	"HA_7m_ppar3Dia"
"HA_7m_ppar4Dia"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	"Mus musculus str. 129/SvEv PPAR-alpha(-/-)"	""	""	"diaphragm"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000341"	"Sample collection"	"7"	"month"	"UO"	"http://purl.obolibrary.org/obo/UO_0000035"	"Ppar-alpha-Null"	""	""	"HA_7m_ppar4Dia"
"HA_7m_ppar5Dia"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	"Mus musculus str. 129/SvEv PPAR-alpha(-/-)"	""	""	"diaphragm"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000341"	"Sample collection"	"7"	"month"	"UO"	"http://purl.obolibrary.org/obo/UO_0000035"	"Ppar-alpha-Null"	""	""	"HA_7m_ppar5Dia"
"HA_9m_control1Dia"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	"Mus musculus str. 129/SvEv"	""	""	"diaphragm"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000341"	"Sample collection"	"9"	"month"	"UO"	"http://purl.obolibrary.org/obo/UO_0000035"	"wild-type SVEV/129"	""	""	"HA_9m_control1Dia"
"HA_9m_control3Dia"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	"Mus musculus str. 129/SvEv"	""	""	"diaphragm"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000341"	"Sample collection"	"9"	"month"	"UO"	"http://purl.obolibrary.org/obo/UO_0000035"	"wild-type SVEV/129"	""	""	"HA_9m_control3Dia"
"HA_9m_control4Dia"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	"Mus musculus str. 129/SvEv"	""	""	"diaphragm"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000341"	"Sample collection"	"9"	"month"	"UO"	"http://purl.obolibrary.org/obo/UO_0000035"	"wild-type SVEV/129"	""	""	"HA_9m_control4Dia"
"HA_9m_control5Dia"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	"Mus musculus str. 129/SvEv"	""	""	"diaphragm"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000341"	"Sample collection"	"9"	"month"	"UO"	"http://purl.obolibrary.org/obo/UO_0000035"	"wild-type SVEV/129"	""	""	"HA_9m_control5Dia"
"HA_9m_ppar1Dia"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	"Mus musculus str. 129/SvEv PPAR-alpha(-/-)"	""	""	"diaphragm"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000341"	"Sample collection"	"9"	"month"	"UO"	"http://purl.obolibrary.org/obo/UO_0000035"	"Ppar-alpha-Null"	""	""	"HA_9m_ppar1Dia"
"HA_9m_ppar2Dia"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	"Mus musculus str. 129/SvEv PPAR-alpha(-/-)"	""	""	"diaphragm"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000341"	"Sample collection"	"9"	"month"	"UO"	"http://purl.obolibrary.org/obo/UO_0000035"	"Ppar-alpha-Null"	""	""	"HA_9m_ppar2Dia"
"HA_9m_ppar3Dia"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	"Mus musculus str. 129/SvEv PPAR-alpha(-/-)"	""	""	"diaphragm"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000341"	"Sample collection"	"9"	"month"	"UO"	"http://purl.obolibrary.org/obo/UO_0000035"	"Ppar-alpha-Null"	""	""	"HA_9m_ppar3Dia"
"HA_9m_ppar4Dia"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	"Mus musculus str. 129/SvEv PPAR-alpha(-/-)"	""	""	"diaphragm"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000341"	"Sample collection"	"9"	"month"	"UO"	"http://purl.obolibrary.org/obo/UO_0000035"	"Ppar-alpha-Null"	""	""	"HA_9m_ppar4Dia"
"HA_9m_ppar5Dia"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	"Mus musculus str. 129/SvEv PPAR-alpha(-/-)"	""	""	"diaphragm"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000341"	"Sample collection"	"9"	"month"	"UO"	"http://purl.obolibrary.org/obo/UO_0000035"	"Ppar-alpha-Null"	""	""	"HA_9m_ppar5Dia"
"HA_11m_control1Dia"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	"Mus musculus str. 129/SvEv"	""	""	"diaphragm"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000341"	"Sample collection"	"11"	"month"	"UO"	"http://purl.obolibrary.org/obo/UO_0000035"	"wild-type SVEV/129"	""	""	"HA_11m_control1Dia"
"HA_11m_control2Dia"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	"Mus musculus str. 129/SvEv"	""	""	"diaphragm"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000341"	"Sample collection"	"11"	"month"	"UO"	"http://purl.obolibrary.org/obo/UO_0000035"	"wild-type SVEV/129"	""	""	"HA_11m_control2Dia"
"HA_11m_control3Dia"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	"Mus musculus str. 129/SvEv"	""	""	"diaphragm"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000341"	"Sample collection"	"11"	"month"	"UO"	"http://purl.obolibrary.org/obo/UO_0000035"	"wild-type SVEV/129"	""	""	"HA_11m_control3Dia"
"HA_11m_control4Dia"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	"Mus musculus str. 129/SvEv"	""	""	"diaphragm"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000341"	"Sample collection"	"11"	"month"	"UO"	"http://purl.obolibrary.org/obo/UO_0000035"	"wild-type SVEV/129"	""	""	"HA_11m_control4Dia"
"HA_11m_control5Dia"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	"Mus musculus str. 129/SvEv"	""	""	"diaphragm"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000341"	"Sample collection"	"11"	"month"	"UO"	"http://purl.obolibrary.org/obo/UO_0000035"	"wild-type SVEV/129"	""	""	"HA_11m_control5Dia"
"HA_11m_ppar1Dia"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	"Mus musculus str. 129/SvEv PPAR-alpha(-/-)"	""	""	"diaphragm"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000341"	"Sample collection"	"11"	"month"	"UO"	"http://purl.obolibrary.org/obo/UO_0000035"	"Ppar-alpha-Null"	""	""	"HA_11m_ppar1Dia"
"HA_11m_ppar2Dia"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	"Mus musculus str. 129/SvEv PPAR-alpha(-/-)"	""	""	"diaphragm"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000341"	"Sample collection"	"11"	"month"	"UO"	"http://purl.obolibrary.org/obo/UO_0000035"	"Ppar-alpha-Null"	""	""	"HA_11m_ppar2Dia"
"HA_11m_ppar3Dia"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	"Mus musculus str. 129/SvEv PPAR-alpha(-/-)"	""	""	"diaphragm"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000341"	"Sample collection"	"11"	"month"	"UO"	"http://purl.obolibrary.org/obo/UO_0000035"	"Ppar-alpha-Null"	""	""	"HA_11m_ppar3Dia"
"HA_11m_ppar4Dia"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	"Mus musculus str. 129/SvEv PPAR-alpha(-/-)"	""	""	"diaphragm"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000341"	"Sample collection"	"11"	"month"	"UO"	"http://purl.obolibrary.org/obo/UO_0000035"	"Ppar-alpha-Null"	""	""	"HA_11m_ppar4Dia"
"HA_11m_ppar5Dia"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	"Mus musculus str. 129/SvEv PPAR-alpha(-/-)"	""	""	"diaphragm"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000341"	"Sample collection"	"11"	"month"	"UO"	"http://purl.obolibrary.org/obo/UO_0000035"	"Ppar-alpha-Null"	""	""	"HA_11m_ppar5Dia"
"HA_13m_control1D"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	"Mus musculus str. 129/SvEv"	""	""	"diaphragm"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000341"	"Sample collection"	"13"	"month"	"UO"	"http://purl.obolibrary.org/obo/UO_0000035"	"wild-type SVEV/129"	""	""	"HA_13m_control1D"
"HA_13m_control2D"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	"Mus musculus str. 129/SvEv"	""	""	"diaphragm"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000341"	"Sample collection"	"13"	"month"	"UO"	"http://purl.obolibrary.org/obo/UO_0000035"	"wild-type SVEV/129"	""	""	"HA_13m_control2D"
"HA_13m_control3D"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	"Mus musculus str. 129/SvEv"	""	""	"diaphragm"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000341"	"Sample collection"	"13"	"month"	"UO"	"http://purl.obolibrary.org/obo/UO_0000035"	"wild-type SVEV/129"	""	""	"HA_13m_control3D"
"HA_13m_control4D"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	"Mus musculus str. 129/SvEv"	""	""	"diaphragm"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000341"	"Sample collection"	"13"	"month"	"UO"	"http://purl.obolibrary.org/obo/UO_0000035"	"wild-type SVEV/129"	""	""	"HA_13m_control4D"
"HA_13m_control5D"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	"Mus musculus str. 129/SvEv"	""	""	"diaphragm"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000341"	"Sample collection"	"13"	"month"	"UO"	"http://purl.obolibrary.org/obo/UO_0000035"	"wild-type SVEV/129"	""	""	"HA_13m_control5D"
"HA_13m_ppar1D"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	"Mus musculus str. 129/SvEv PPAR-alpha(-/-)"	""	""	"diaphragm"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000341"	"Sample collection"	"13"	"month"	"UO"	"http://purl.obolibrary.org/obo/UO_0000035"	"Ppar-alpha-Null"	""	""	"HA_13m_ppar1D"
"HA_13m_ppar2D"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	"Mus musculus str. 129/SvEv PPAR-alpha(-/-)"	""	""	"diaphragm"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000341"	"Sample collection"	"13"	"month"	"UO"	"http://purl.obolibrary.org/obo/UO_0000035"	"Ppar-alpha-Null"	""	""	"HA_13m_ppar2D"
"HA_13m_ppar3D"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	"Mus musculus str. 129/SvEv PPAR-alpha(-/-)"	""	""	"diaphragm"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000341"	"Sample collection"	"13"	"month"	"UO"	"http://purl.obolibrary.org/obo/UO_0000035"	"Ppar-alpha-Null"	""	""	"HA_13m_ppar3D"
"HA_13m_ppar4D"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	"Mus musculus str. 129/SvEv PPAR-alpha(-/-)"	""	""	"diaphragm"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000341"	"Sample collection"	"13"	"month"	"UO"	"http://purl.obolibrary.org/obo/UO_0000035"	"Ppar-alpha-Null"	""	""	"HA_13m_ppar4D"
"HA_13m_ppar5D"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	"Mus musculus str. 129/SvEv PPAR-alpha(-/-)"	""	""	"diaphragm"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000341"	"Sample collection"	"13"	"month"	"UO"	"http://purl.obolibrary.org/obo/UO_0000035"	"Ppar-alpha-Null"	""	""	"HA_13m_ppar5D"
"HA_3m_control1Gas"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	"Mus musculus str. 129/SvEv"	""	""	"gastrocnemius"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000506"	"Sample collection"	"3"	"month"	"UO"	"http://purl.obolibrary.org/obo/UO_0000035"	"wild-type SVEV/129"	""	""	"HA_3m_control1Gas"
"HA_3m_control2Gas"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	"Mus musculus str. 129/SvEv"	""	""	"gastrocnemius"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000506"	"Sample collection"	"3"	"month"	"UO"	"http://purl.obolibrary.org/obo/UO_0000035"	"wild-type SVEV/129"	""	""	"HA_3m_control2Gas"
"HA_3m_control3Gas"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	"Mus musculus str. 129/SvEv"	""	""	"gastrocnemius"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000506"	"Sample collection"	"3"	"month"	"UO"	"http://purl.obolibrary.org/obo/UO_0000035"	"wild-type SVEV/129"	""	""	"HA_3m_control3Gas"
"HA_3m_Control4Gas"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	"Mus musculus str. 129/SvEv"	""	""	"gastrocnemius"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000506"	"Sample collection"	"3"	"month"	"UO"	"http://purl.obolibrary.org/obo/UO_0000035"	"wild-type SVEV/129"	""	""	"HA_3m_Control4Gas"
"HA_3m_control5Gas"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	"Mus musculus str. 129/SvEv"	""	""	"gastrocnemius"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000506"	"Sample collection"	"3"	"month"	"UO"	"http://purl.obolibrary.org/obo/UO_0000035"	"wild-type SVEV/129"	""	""	"HA_3m_control5Gas"
"HA_3m_ppar1Gas"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	"Mus musculus str. 129/SvEv PPAR-alpha(-/-)"	""	""	"gastrocnemius"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000506"	"Sample collection"	"3"	"month"	"UO"	"http://purl.obolibrary.org/obo/UO_0000035"	"Ppar-alpha-Null"	""	""	"HA_3m_ppar1Gas"
"HA_3m_ppar2Gas"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	"Mus musculus str. 129/SvEv PPAR-alpha(-/-)"	""	""	"gastrocnemius"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000506"	"Sample collection"	"3"	"month"	"UO"	"http://purl.obolibrary.org/obo/UO_0000035"	"Ppar-alpha-Null"	""	""	"HA_3m_ppar2Gas"
"HA_3m_ppar3Gas"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	"Mus musculus str. 129/SvEv PPAR-alpha(-/-)"	""	""	"gastrocnemius"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000506"	"Sample collection"	"3"	"month"	"UO"	"http://purl.obolibrary.org/obo/UO_0000035"	"Ppar-alpha-Null"	""	""	"HA_3m_ppar3Gas"
"HA_3m_ppar4Gas"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	"Mus musculus str. 129/SvEv PPAR-alpha(-/-)"	""	""	"gastrocnemius"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000506"	"Sample collection"	"3"	"month"	"UO"	"http://purl.obolibrary.org/obo/UO_0000035"	"Ppar-alpha-Null"	""	""	"HA_3m_ppar4Gas"
"HA_3m_ppar5Gas"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	"Mus musculus str. 129/SvEv PPAR-alpha(-/-)"	""	""	"gastrocnemius"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000506"	"Sample collection"	"3"	"month"	"UO"	"http://purl.obolibrary.org/obo/UO_0000035"	"Ppar-alpha-Null"	""	""	"HA_3m_ppar5Gas"
