"Source Name"	"Characteristics[Organism]"	"Term Source REF"	"Term Accession Number"	"Characteristics[Organism part]"	"Term Source REF"	"Term Accession Number"	"Protocol REF"	"Sample Name"	"Factor Value[Genotype]"	"Term Source REF"	"Term Accession Number"	"Factor Value[Replicate]"	"Term Source REF"	"Term Accession Number"
"Edi-342"	"Arabidopsis thaliana"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/3702"	"exometabolome"	""	""	"Sample collection"	"Edi-C-3"	"Edi"	""	""	"3"	""	""
"Hi-130"	"Arabidopsis thaliana"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/3702"	"exometabolome"	""	""	"Sample collection"	"Hi-C-1"	"Hi"	""	""	"1"	""	""
"Hi-131"	"Arabidopsis thaliana"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/3702"	"exometabolome"	""	""	"Sample collection"	"Hi-C-1"	"Hi"	""	""	"1"	""	""
"Hi-129"	"Arabidopsis thaliana"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/3702"	"exometabolome"	""	""	"Sample collection"	"Hi-C-1"	"Hi"	""	""	"1"	""	""
"Hi-132"	"Arabidopsis thaliana"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/3702"	"exometabolome"	""	""	"Sample collection"	"Hi-C-1"	"Hi"	""	""	"1"	""	""
"Hi-206"	"Arabidopsis thaliana"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/3702"	"exometabolome"	""	""	"Sample collection"	"Hi-C-2"	"Hi"	""	""	"2"	""	""
"Hi-207"	"Arabidopsis thaliana"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/3702"	"exometabolome"	""	""	"Sample collection"	"Hi-C-2"	"Hi"	""	""	"2"	""	""
"Hi-205"	"Arabidopsis thaliana"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/3702"	"exometabolome"	""	""	"Sample collection"	"Hi-C-2"	"Hi"	""	""	"2"	""	""
"Hi-208"	"Arabidopsis thaliana"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/3702"	"exometabolome"	""	""	"Sample collection"	"Hi-C-2"	"Hi"	""	""	"2"	""	""
"Hi-349"	"Arabidopsis thaliana"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/3702"	"exometabolome"	""	""	"Sample collection"	"Hi-C-3"	"Hi"	""	""	"3"	""	""
"Hi-351"	"Arabidopsis thaliana"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/3702"	"exometabolome"	""	""	"Sample collection"	"Hi-C-3"	"Hi"	""	""	"3"	""	""
"Hi-348"	"Arabidopsis thaliana"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/3702"	"exometabolome"	""	""	"Sample collection"	"Hi-C-3"	"Hi"	""	""	"3"	""	""
"Hi-350"	"Arabidopsis thaliana"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/3702"	"exometabolome"	""	""	"Sample collection"	"Hi-C-3"	"Hi"	""	""	"3"	""	""
"Kn-142"	"Arabidopsis thaliana"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/3702"	"exometabolome"	""	""	"Sample collection"	"Kn-C-1"	"Kn"	""	""	"1"	""	""
"Kn-144"	"Arabidopsis thaliana"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/3702"	"exometabolome"	""	""	"Sample collection"	"Kn-C-1"	"Kn"	""	""	"1"	""	""
"Kn-141"	"Arabidopsis thaliana"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/3702"	"exometabolome"	""	""	"Sample collection"	"Kn-C-1"	"Kn"	""	""	"1"	""	""
"Kn-143"	"Arabidopsis thaliana"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/3702"	"exometabolome"	""	""	"Sample collection"	"Kn-C-1"	"Kn"	""	""	"1"	""	""
"Kn-216"	"Arabidopsis thaliana"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/3702"	"exometabolome"	""	""	"Sample collection"	"Kn-C-2"	"Kn"	""	""	"2"	""	""
"Kn-215"	"Arabidopsis thaliana"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/3702"	"exometabolome"	""	""	"Sample collection"	"Kn-C-2"	"Kn"	""	""	"2"	""	""
