"Source Name"	"Characteristics[Organism]"	"Term Source REF"	"Term Accession Number"	"Characteristics[Organism part]"	"Term Source REF"	"Term Accession Number"	"Protocol REF"	"Sample Name"	"Factor Value[Coronatine treatment]"	"Unit"	"Term Source REF"	"Term Accession Number"	"Factor Value[Sampling time]"	"Unit"	"Term Source REF"	"Term Accession Number"
"4_5_1"	"Lemna paucicostata"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/89585"	"whole plant"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001461"	"Sample collection"	"Lemna_32_COR0_4_1"	"0"	"day"	"UO"	"http://purl.obolibrary.org/obo/UO_0000033"	"32"	"day"	"UO"	"http://purl.obolibrary.org/obo/UO_0000033"
"4_5_2"	"Lemna paucicostata"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/89585"	"whole plant"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001461"	"Sample collection"	"Lemna_32_COR0_4_2"	"0"	"day"	"UO"	"http://purl.obolibrary.org/obo/UO_0000033"	"32"	"day"	"UO"	"http://purl.obolibrary.org/obo/UO_0000033"
"9_2_1"	"Lemna paucicostata"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/89585"	"whole plant"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001461"	"Sample collection"	"Lemna_32_COR28_1_1"	"28"	"day"	"UO"	"http://purl.obolibrary.org/obo/UO_0000033"	"32"	"day"	"UO"	"http://purl.obolibrary.org/obo/UO_0000033"
"9_2_2"	"Lemna paucicostata"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/89585"	"whole plant"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001461"	"Sample collection"	"Lemna_32_COR28_1_2"	"28"	"day"	"UO"	"http://purl.obolibrary.org/obo/UO_0000033"	"32"	"day"	"UO"	"http://purl.obolibrary.org/obo/UO_0000033"
"9_3_1"	"Lemna paucicostata"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/89585"	"whole plant"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001461"	"Sample collection"	"Lemna_32_COR28_2_1"	"28"	"day"	"UO"	"http://purl.obolibrary.org/obo/UO_0000033"	"32"	"day"	"UO"	"http://purl.obolibrary.org/obo/UO_0000033"
"9_3_2"	"Lemna paucicostata"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/89585"	"whole plant"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001461"	"Sample collection"	"Lemna_32_COR28_2_2"	"28"	"day"	"UO"	"http://purl.obolibrary.org/obo/UO_0000033"	"32"	"day"	"UO"	"http://purl.obolibrary.org/obo/UO_0000033"
"9_4_1"	"Lemna paucicostata"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/89585"	"whole plant"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001461"	"Sample collection"	"Lemna_32_COR28_3_1"	"28"	"day"	"UO"	"http://purl.obolibrary.org/obo/UO_0000033"	"32"	"day"	"UO"	"http://purl.obolibrary.org/obo/UO_0000033"
"9_4_2"	"Lemna paucicostata"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/89585"	"whole plant"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001461"	"Sample collection"	"Lemna_32_COR28_3_2"	"28"	"day"	"UO"	"http://purl.obolibrary.org/obo/UO_0000033"	"32"	"day"	"UO"	"http://purl.obolibrary.org/obo/UO_0000033"
"9_5_1"	"Lemna paucicostata"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/89585"	"whole plant"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001461"	"Sample collection"	"Lemna_32_COR28_4_1"	"28"	"day"	"UO"	"http://purl.obolibrary.org/obo/UO_0000033"	"32"	"day"	"UO"	"http://purl.obolibrary.org/obo/UO_0000033"
"9_5_2"	"Lemna paucicostata"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/89585"	"whole plant"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001461"	"Sample collection"	"Lemna_32_COR28_4_2"	"28"	"day"	"UO"	"http://purl.obolibrary.org/obo/UO_0000033"	"32"	"day"	"UO"	"http://purl.obolibrary.org/obo/UO_0000033"
