"Source Name"	"Characteristics[Organism]"	"Term Source REF"	"Term Accession Number"	"Characteristics[Organism part]"	"Term Source REF"	"Term Accession Number"	"Protocol REF"	"Sample Name"	"Factor Value[Run order]"	"Term Source REF"	"Term Accession Number"	"Factor Value[Sample dry weight]"	"Unit"	"Term Source REF"	"Term Accession Number"	"Factor Value[Dose]"	"Unit"	"Term Source REF"	"Term Accession Number"	"Factor Value[Compound]"	"Term Source REF"	"Term Accession Number"
"IWM Lab"	"Eisenia fetida"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/6396"	"whole organism"	"EFO"	"http://purl.obolibrary.org/obo/UBERON_0000468"	"Sample collection"	"SAMP_B4_076"	"45"	""	""	"0.043"	"gram"	"UO"	"http://purl.obolibrary.org/obo/UO_0000021"	"16"	"milligram per kilogram"	"UO"	"http://purl.obolibrary.org/obo/UO_0000308"	"MeTCS"	""	""
"IWM Lab"	"Eisenia fetida"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/6396"	"whole organism"	"EFO"	"http://purl.obolibrary.org/obo/UBERON_0000468"	"Sample collection"	"SAMP_B5_073"	"50"	""	""	"0.037"	"gram"	"UO"	"http://purl.obolibrary.org/obo/UO_0000021"	"16"	"milligram per kilogram"	"UO"	"http://purl.obolibrary.org/obo/UO_0000308"	"MeTCS"	""	""
"IWM Lab"	"Eisenia fetida"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/6396"	"whole organism"	"EFO"	"http://purl.obolibrary.org/obo/UBERON_0000468"	"Sample collection"	"SAMP_B6_072"	"68"	""	""	"0.0433"	"gram"	"UO"	"http://purl.obolibrary.org/obo/UO_0000021"	"16"	"milligram per kilogram"	"UO"	"http://purl.obolibrary.org/obo/UO_0000308"	"MeTCS"	""	""
"IWM Lab"	"Eisenia fetida"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/6396"	"whole organism"	"EFO"	"http://purl.obolibrary.org/obo/UBERON_0000468"	"Sample collection"	"SAMP_B7_074"	"80"	""	""	"0.0404"	"gram"	"UO"	"http://purl.obolibrary.org/obo/UO_0000021"	"16"	"milligram per kilogram"	"UO"	"http://purl.obolibrary.org/obo/UO_0000308"	"MeTCS"	""	""
"IWM Lab"	"Eisenia fetida"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/6396"	"whole organism"	"EFO"	"http://purl.obolibrary.org/obo/UBERON_0000468"	"Sample collection"	"SAMP_B8_080"	"85"	""	""	"0.0575"	"gram"	"UO"	"http://purl.obolibrary.org/obo/UO_0000021"	"16"	"milligram per kilogram"	"UO"	"http://purl.obolibrary.org/obo/UO_0000308"	"MeTCS"	""	""
"IWM Lab"	"Eisenia fetida"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/6396"	"whole organism"	"EFO"	"http://purl.obolibrary.org/obo/UBERON_0000468"	"Sample collection"	"SAMP_B9_077"	"100"	""	""	"0.0398"	"gram"	"UO"	"http://purl.obolibrary.org/obo/UO_0000021"	"16"	"milligram per kilogram"	"UO"	"http://purl.obolibrary.org/obo/UO_0000308"	"MeTCS"	""	""
"IWM Lab"	"Eisenia fetida"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/6396"	"whole organism"	"EFO"	"http://purl.obolibrary.org/obo/UBERON_0000468"	"Sample collection"	"SAMP_B10_079"	"119"	""	""	"0.056"	"gram"	"UO"	"http://purl.obolibrary.org/obo/UO_0000021"	"16"	"milligram per kilogram"	"UO"	"http://purl.obolibrary.org/obo/UO_0000308"	"MeTCS"	""	""
"IWM Lab"	"Eisenia fetida"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/6396"	"whole organism"	"EFO"	"http://purl.obolibrary.org/obo/UBERON_0000468"	"Sample collection"	"SAMP_B1_064"	"11"	""	""	"0.0404"	"gram"	"UO"	"http://purl.obolibrary.org/obo/UO_0000021"	"64"	"milligram per kilogram"	"UO"	"http://purl.obolibrary.org/obo/UO_0000308"	"MeTCS"	""	""
"IWM Lab"	"Eisenia fetida"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/6396"	"whole organism"	"EFO"	"http://purl.obolibrary.org/obo/UBERON_0000468"	"Sample collection"	"SAMP_B2_066"	"22"	""	""	"0.0408"	"gram"	"UO"	"http://purl.obolibrary.org/obo/UO_0000021"	"64"	"milligram per kilogram"	"UO"	"http://purl.obolibrary.org/obo/UO_0000308"	"MeTCS"	""	""
"IWM Lab"	"Eisenia fetida"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/6396"	"whole organism"	"EFO"	"http://purl.obolibrary.org/obo/UBERON_0000468"	"Sample collection"	"SAMP_B3_067"	"27"	""	""	"0.0431"	"gram"	"UO"	"http://purl.obolibrary.org/obo/UO_0000021"	"64"	"milligram per kilogram"	"UO"	"http://purl.obolibrary.org/obo/UO_0000308"	"MeTCS"	""	""
"IWM Lab"	"Eisenia fetida"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/6396"	"whole organism"	"EFO"	"http://purl.obolibrary.org/obo/UBERON_0000468"	"Sample collection"	"SAMP_B4_062"	"43"	""	""	"0.0508"	"gram"	"UO"	"http://purl.obolibrary.org/obo/UO_0000021"	"64"	"milligram per kilogram"	"UO"	"http://purl.obolibrary.org/obo/UO_0000308"	"MeTCS"	""	""
"IWM Lab"	"Eisenia fetida"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/6396"	"whole organism"	"EFO"	"http://purl.obolibrary.org/obo/UBERON_0000468"	"Sample collection"	"SAMP_B5_061"	"55"	""	""	"0.0452"	"gram"	"UO"	"http://purl.obolibrary.org/obo/UO_0000021"	"64"	"milligram per kilogram"	"UO"	"http://purl.obolibrary.org/obo/UO_0000308"	"MeTCS"	""	""
"IWM Lab"	"Eisenia fetida"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/6396"	"whole organism"	"EFO"	"http://purl.obolibrary.org/obo/UBERON_0000468"	"Sample collection"	"SAMP_B6_065"	"66"	""	""	"0.045"	"gram"	"UO"	"http://purl.obolibrary.org/obo/UO_0000021"	"64"	"milligram per kilogram"	"UO"	"http://purl.obolibrary.org/obo/UO_0000308"	"MeTCS"	""	""
"IWM Lab"	"Eisenia fetida"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/6396"	"whole organism"	"EFO"	"http://purl.obolibrary.org/obo/UBERON_0000468"	"Sample collection"	"SAMP_B7_068"	"79"	""	""	"0.0472"	"gram"	"UO"	"http://purl.obolibrary.org/obo/UO_0000021"	"64"	"milligram per kilogram"	"UO"	"http://purl.obolibrary.org/obo/UO_0000308"	"MeTCS"	""	""
