"Source Name"	"Characteristics[Organism]"	"Term Source REF"	"Term Accession Number"	"Characteristics[Variant]"	"Term Source REF"	"Term Accession Number"	"Characteristics[Organism part]"	"Term Source REF"	"Term Accession Number"	"Protocol REF"	"Sample Name"	"Factor Value[variety]"	"Term Source REF"	"Term Accession Number"	"Factor Value[drought treatment]"	"Term Source REF"	"Term Accession Number"	"Factor Value[time point of drought duration]"	"Term Source REF"	"Term Accession Number"
"2V4LS3"	"Hordeum vulgare"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/4513"	"Hordeum vulgare subsp. vulgare"	""	""	"leaf"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000713"	"Sample collection"	"LUBUSKI10961"	"Lubuski"	""	""	"S3"	""	""	"V"	""	""
"2VII2LS3"	"Hordeum vulgare"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/4513"	"Hordeum vulgare subsp. vulgare"	""	""	"leaf"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000713"	"Sample collection"	"LUBUSKI11101"	"Lubuski"	""	""	"S3"	""	""	"VII"	""	""
"2VII3LS3"	"Hordeum vulgare"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/4513"	"Hordeum vulgare subsp. vulgare"	""	""	"leaf"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000713"	"Sample collection"	"LUBUSKI11106"	"Lubuski"	""	""	"S3"	""	""	"VII"	""	""
"2VII4LS3"	"Hordeum vulgare"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/4513"	"Hordeum vulgare subsp. vulgare"	""	""	"leaf"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000713"	"Sample collection"	"LUBUSKI11111"	"Lubuski"	""	""	"S3"	""	""	"VII"	""	""
"2VI4LS2"	"Hordeum vulgare"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/4513"	"Hordeum vulgare subsp. vulgare"	""	""	"leaf"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000713"	"Sample collection"	"LUBUSKI8136"	"Lubuski"	""	""	"S2"	""	""	"VI"	""	""
"2VIII2LK"	"Hordeum vulgare"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/4513"	"Hordeum vulgare subsp. vulgare"	""	""	"leaf"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000713"	"Sample collection"	"LUBUSKI8199"	"Lubuski"	""	""	"C"	""	""	"VIII"	""	""
"2VIII1LK"	"Hordeum vulgare"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/4513"	"Hordeum vulgare subsp. vulgare"	""	""	"leaf"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000713"	"Sample collection"	"LUBUSKI8213"	"Lubuski"	""	""	"C"	""	""	"VIII"	""	""
"2VIII3LK"	"Hordeum vulgare"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/4513"	"Hordeum vulgare subsp. vulgare"	""	""	"leaf"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000713"	"Sample collection"	"LUBUSKI8220"	"Lubuski"	""	""	"C"	""	""	"VIII"	""	""
"2IV1LK"	"Hordeum vulgare"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/4513"	"Hordeum vulgare subsp. vulgare"	""	""	"leaf"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000713"	"Sample collection"	"LUBUSKI8507"	"Lubuski"	""	""	"C"	""	""	"IV"	""	""
"2IV2LK"	"Hordeum vulgare"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/4513"	"Hordeum vulgare subsp. vulgare"	""	""	"leaf"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000713"	"Sample collection"	"LUBUSKI8514"	"Lubuski"	""	""	"C"	""	""	"IV"	""	""
"2IV3LK"	"Hordeum vulgare"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/4513"	"Hordeum vulgare subsp. vulgare"	""	""	"leaf"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000713"	"Sample collection"	"LUBUSKI8521"	"Lubuski"	""	""	"C"	""	""	"IV"	""	""
"2IV4LK"	"Hordeum vulgare"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/4513"	"Hordeum vulgare subsp. vulgare"	""	""	"leaf"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000713"	"Sample collection"	"LUBUSKI8528"	"Lubuski"	""	""	"C"	""	""	"IV"	""	""
"2IV2LS1"	"Hordeum vulgare"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/4513"	"Hordeum vulgare subsp. vulgare"	""	""	"leaf"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000713"	"Sample collection"	"LUBUSKI8675"	"Lubuski"	""	""	"S1"	""	""	"IV"	""	""
"2IV4LS1"	"Hordeum vulgare"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/4513"	"Hordeum vulgare subsp. vulgare"	""	""	"leaf"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000713"	"Sample collection"	"LUBUSKI8682"	"Lubuski"	""	""	"S1"	""	""	"IV"	""	""
"2IV1LS1"	"Hordeum vulgare"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/4513"	"Hordeum vulgare subsp. vulgare"	""	""	"leaf"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000713"	"Sample collection"	"LUBUSKI8737"	"Lubuski"	""	""	"S1"	""	""	"IV"	""	""
"2IV3LS1"	"Hordeum vulgare"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/4513"	"Hordeum vulgare subsp. vulgare"	""	""	"leaf"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000713"	"Sample collection"	"LUBUSKI8742"	"Lubuski"	""	""	"S1"	""	""	"IV"	""	""
"2VIII1LS2"	"Hordeum vulgare"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/4513"	"Hordeum vulgare subsp. vulgare"	""	""	"leaf"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000713"	"Sample collection"	"LUBUSKI8892"	"Lubuski"	""	""	"S2"	""	""	"VIII"	""	""
"2VIII2LS2"	"Hordeum vulgare"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/4513"	"Hordeum vulgare subsp. vulgare"	""	""	"leaf"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000713"	"Sample collection"	"LUBUSKI8897"	"Lubuski"	""	""	"S2"	""	""	"VIII"	""	""
"2VIII3LS2"	"Hordeum vulgare"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/4513"	"Hordeum vulgare subsp. vulgare"	""	""	"leaf"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000713"	"Sample collection"	"LUBUSKI8902"	"Lubuski"	""	""	"S2"	""	""	"VIII"	""	""
"2VIII4LS2"	"Hordeum vulgare"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/4513"	"Hordeum vulgare subsp. vulgare"	""	""	"leaf"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000713"	"Sample collection"	"LUBUSKI8907"	"Lubuski"	""	""	"S2"	""	""	"VIII"	""	""
"2III1LK"	"Hordeum vulgare"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/4513"	"Hordeum vulgare subsp. vulgare"	""	""	"leaf"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000713"	"Sample collection"	"LUBUSKI9041"	"Lubuski"	""	""	"C"	""	""	"III"	""	""
"2III4LK"	"Hordeum vulgare"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/4513"	"Hordeum vulgare subsp. vulgare"	""	""	"leaf"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000713"	"Sample collection"	"LUBUSKI9046"	"Lubuski"	""	""	"C"	""	""	"III"	""	""
"2III2LK"	"Hordeum vulgare"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/4513"	"Hordeum vulgare subsp. vulgare"	""	""	"leaf"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000713"	"Sample collection"	"LUBUSKI9066"	"Lubuski"	""	""	"C"	""	""	"III"	""	""
"2III3LK"	"Hordeum vulgare"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/4513"	"Hordeum vulgare subsp. vulgare"	""	""	"leaf"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000713"	"Sample collection"	"LUBUSKI9071"	"Lubuski"	""	""	"C"	""	""	"III"	""	""
"2VIII1LS3"	"Hordeum vulgare"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/4513"	"Hordeum vulgare subsp. vulgare"	""	""	"leaf"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000713"	"Sample collection"	"LUBUSKI9156"	"Lubuski"	""	""	"S3"	""	""	"VIII"	""	""
"2VIII2LS3"	"Hordeum vulgare"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/4513"	"Hordeum vulgare subsp. vulgare"	""	""	"leaf"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000713"	"Sample collection"	"LUBUSKI9161"	"Lubuski"	""	""	"S3"	""	""	"VIII"	""	""
"2III2LS1"	"Hordeum vulgare"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/4513"	"Hordeum vulgare subsp. vulgare"	""	""	"leaf"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000713"	"Sample collection"	"LUBUSKI9210"	"Lubuski"	""	""	"S1"	""	""	"III"	""	""
"2II1LS1"	"Hordeum vulgare"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/4513"	"Hordeum vulgare subsp. vulgare"	""	""	"leaf"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000713"	"Sample collection"	"LUBUSKI9309"	"Lubuski"	""	""	"S1"	""	""	"II"	""	""
"2II4LS1"	"Hordeum vulgare"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/4513"	"Hordeum vulgare subsp. vulgare"	""	""	"leaf"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000713"	"Sample collection"	"LUBUSKI9316"	"Lubuski"	""	""	"S1"	""	""	"II"	""	""
"2II3LS1"	"Hordeum vulgare"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/4513"	"Hordeum vulgare subsp. vulgare"	""	""	"leaf"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000713"	"Sample collection"	"LUBUSKI9435"	"Lubuski"	""	""	"S1"	""	""	"II"	""	""
"2III1LS1"	"Hordeum vulgare"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/4513"	"Hordeum vulgare subsp. vulgare"	""	""	"leaf"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000713"	"Sample collection"	"LUBUSKI9528"	"Lubuski"	""	""	"S1"	""	""	"III"	""	""
"2III3LS1"	"Hordeum vulgare"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/4513"	"Hordeum vulgare subsp. vulgare"	""	""	"leaf"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000713"	"Sample collection"	"LUBUSKI9533"	"Lubuski"	""	""	"S1"	""	""	"III"	""	""
"2III4LS1"	"Hordeum vulgare"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/4513"	"Hordeum vulgare subsp. vulgare"	""	""	"leaf"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000713"	"Sample collection"	"LUBUSKI9538"	"Lubuski"	""	""	"S1"	""	""	"III"	""	""
"2VI1LS2"	"Hordeum vulgare"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/4513"	"Hordeum vulgare subsp. vulgare"	""	""	"leaf"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000713"	"Sample collection"	"LUBUSKI9797"	"Lubuski"	""	""	"S2"	""	""	"VI"	""	""
"2VI2LS2"	"Hordeum vulgare"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/4513"	"Hordeum vulgare subsp. vulgare"	""	""	"leaf"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000713"	"Sample collection"	"LUBUSKI9802"	"Lubuski"	""	""	"S2"	""	""	"VI"	""	""
"2VI3LS2"	"Hordeum vulgare"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/4513"	"Hordeum vulgare subsp. vulgare"	""	""	"leaf"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000713"	"Sample collection"	"LUBUSKI9807"	"Lubuski"	""	""	"S2"	""	""	"VI"	""	""
"2VI1LS3"	"Hordeum vulgare"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/4513"	"Hordeum vulgare subsp. vulgare"	""	""	"leaf"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000713"	"Sample collection"	"LUBUSKI9912"	"Lubuski"	""	""	"S3"	""	""	"VI"	""	""
"2VI2LS3"	"Hordeum vulgare"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/4513"	"Hordeum vulgare subsp. vulgare"	""	""	"leaf"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000713"	"Sample collection"	"LUBUSKI9917"	"Lubuski"	""	""	"S3"	""	""	"VI"	""	""
"2VI3LS3"	"Hordeum vulgare"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/4513"	"Hordeum vulgare subsp. vulgare"	""	""	"leaf"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000713"	"Sample collection"	"LUBUSKI9922"	"Lubuski"	""	""	"S3"	""	""	"VI"	""	""
"2VI4LS3"	"Hordeum vulgare"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/4513"	"Hordeum vulgare subsp. vulgare"	""	""	"leaf"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000713"	"Sample collection"	"LUBUSKI9927"	"Lubuski"	""	""	"S3"	""	""	"VI"	""	""
"3VI1LK"	"Hordeum vulgare"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/4513"	"Hordeum vulgare subsp. vulgare"	""	""	"leaf"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000713"	"Sample collection"	"GEORGIA10092"	"Georgia"	""	""	"C"	""	""	"VI"	""	""
"3VI2LK"	"Hordeum vulgare"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/4513"	"Hordeum vulgare subsp. vulgare"	""	""	"leaf"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000713"	"Sample collection"	"GEORGIA10097"	"Georgia"	""	""	"C"	""	""	"VI"	""	""
"3VI3LK"	"Hordeum vulgare"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/4513"	"Hordeum vulgare subsp. vulgare"	""	""	"leaf"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000713"	"Sample collection"	"GEORGIA10102"	"Georgia"	""	""	"C"	""	""	"VI"	""	""
"3VI4LK"	"Hordeum vulgare"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/4513"	"Hordeum vulgare subsp. vulgare"	""	""	"leaf"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000713"	"Sample collection"	"GEORGIA10107"	"Georgia"	""	""	"C"	""	""	"VI"	""	""
"3VII1LS3"	"Hordeum vulgare"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/4513"	"Hordeum vulgare subsp. vulgare"	""	""	"leaf"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000713"	"Sample collection"	"GEORGIA10286"	"Georgia"	""	""	"S3"	""	""	"VII"	""	""
"3VII2LS3"	"Hordeum vulgare"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/4513"	"Hordeum vulgare subsp. vulgare"	""	""	"leaf"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000713"	"Sample collection"	"GEORGIA10291"	"Georgia"	""	""	"S3"	""	""	"VII"	""	""
"3VII1LS2"	"Hordeum vulgare"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/4513"	"Hordeum vulgare subsp. vulgare"	""	""	"leaf"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000713"	"Sample collection"	"GEORGIA10371"	"Georgia"	""	""	"S2"	""	""	"VII"	""	""
"3VII2LS2"	"Hordeum vulgare"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/4513"	"Hordeum vulgare subsp. vulgare"	""	""	"leaf"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000713"	"Sample collection"	"GEORGIA10376"	"Georgia"	""	""	"S2"	""	""	"VII"	""	""
"3VII3LS2"	"Hordeum vulgare"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/4513"	"Hordeum vulgare subsp. vulgare"	""	""	"leaf"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000713"	"Sample collection"	"GEORGIA10381"	"Georgia"	""	""	"S2"	""	""	"VII"	""	""
"3VII4LS2"	"Hordeum vulgare"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/4513"	"Hordeum vulgare subsp. vulgare"	""	""	"leaf"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000713"	"Sample collection"	"GEORGIA10386"	"Georgia"	""	""	"S2"	""	""	"VII"	""	""
"3VII1LK"	"Hordeum vulgare"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/4513"	"Hordeum vulgare subsp. vulgare"	""	""	"leaf"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000713"	"Sample collection"	"GEORGIA10551"	"Georgia"	""	""	"C"	""	""	"VII"	""	""
"3VII2LK"	"Hordeum vulgare"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/4513"	"Hordeum vulgare subsp. vulgare"	""	""	"leaf"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000713"	"Sample collection"	"GEORGIA10556"	"Georgia"	""	""	"C"	""	""	"VII"	""	""
"3VII3LK"	"Hordeum vulgare"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/4513"	"Hordeum vulgare subsp. vulgare"	""	""	"leaf"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000713"	"Sample collection"	"GEORGIA10561"	"Georgia"	""	""	"C"	""	""	"VII"	""	""
"3VII4LK"	"Hordeum vulgare"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/4513"	"Hordeum vulgare subsp. vulgare"	""	""	"leaf"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000713"	"Sample collection"	"GEORGIA10566"	"Georgia"	""	""	"C"	""	""	"VII"	""	""
"3V1LS2"	"Hordeum vulgare"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/4513"	"Hordeum vulgare subsp. vulgare"	""	""	"leaf"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000713"	"Sample collection"	"GEORGIA10786"	"Georgia"	""	""	"S2"	""	""	"V"	""	""
"3V2LS2"	"Hordeum vulgare"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/4513"	"Hordeum vulgare subsp. vulgare"	""	""	"leaf"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000713"	"Sample collection"	"GEORGIA10791"	"Georgia"	""	""	"S2"	""	""	"V"	""	""
"3V3LS2"	"Hordeum vulgare"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/4513"	"Hordeum vulgare subsp. vulgare"	""	""	"leaf"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000713"	"Sample collection"	"GEORGIA10796"	"Georgia"	""	""	"S2"	""	""	"V"	""	""
"3V4LS2"	"Hordeum vulgare"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/4513"	"Hordeum vulgare subsp. vulgare"	""	""	"leaf"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000713"	"Sample collection"	"GEORGIA10801"	"Georgia"	""	""	"S2"	""	""	"V"	""	""
"3V1LS3"	"Hordeum vulgare"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/4513"	"Hordeum vulgare subsp. vulgare"	""	""	"leaf"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000713"	"Sample collection"	"GEORGIA10966"	"Georgia"	""	""	"S3"	""	""	"V"	""	""
"3V2LS3"	"Hordeum vulgare"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/4513"	"Hordeum vulgare subsp. vulgare"	""	""	"leaf"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000713"	"Sample collection"	"GEORGIA10971"	"Georgia"	""	""	"S3"	""	""	"V"	""	""
"3V3LS3"	"Hordeum vulgare"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/4513"	"Hordeum vulgare subsp. vulgare"	""	""	"leaf"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000713"	"Sample collection"	"GEORGIA10976"	"Georgia"	""	""	"S3"	""	""	"V"	""	""
"3V4LS3"	"Hordeum vulgare"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/4513"	"Hordeum vulgare subsp. vulgare"	""	""	"leaf"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000713"	"Sample collection"	"GEORGIA10981"	"Georgia"	""	""	"S3"	""	""	"V"	""	""
"3VII4LS3"	"Hordeum vulgare"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/4513"	"Hordeum vulgare subsp. vulgare"	""	""	"leaf"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000713"	"Sample collection"	"GEORGIA11116"	"Georgia"	""	""	"S3"	""	""	"VII"	""	""
"3VII3LS3"	"Hordeum vulgare"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/4513"	"Hordeum vulgare subsp. vulgare"	""	""	"leaf"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000713"	"Sample collection"	"GEORGIA11121"	"Georgia"	""	""	"S3"	""	""	"VII"	""	""
"3VI1LS2"	"Hordeum vulgare"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/4513"	"Hordeum vulgare subsp. vulgare"	""	""	"leaf"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000713"	"Sample collection"	"GEORGIA8115"	"Georgia"	""	""	"S2"	""	""	"VI"	""	""
"3VI2LS2"	"Hordeum vulgare"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/4513"	"Hordeum vulgare subsp. vulgare"	""	""	"leaf"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000713"	"Sample collection"	"GEORGIA8143"	"Georgia"	""	""	"S2"	""	""	"VI"	""	""
"3VIII1LK"	"Hordeum vulgare"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/4513"	"Hordeum vulgare subsp. vulgare"	""	""	"leaf"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000713"	"Sample collection"	"GEORGIA8227"	"Georgia"	""	""	"C"	""	""	"VIII"	""	""
"3VIII2LK"	"Hordeum vulgare"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/4513"	"Hordeum vulgare subsp. vulgare"	""	""	"leaf"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000713"	"Sample collection"	"GEORGIA8234"	"Georgia"	""	""	"C"	""	""	"VIII"	""	""
"3VIII3LK"	"Hordeum vulgare"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/4513"	"Hordeum vulgare subsp. vulgare"	""	""	"leaf"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000713"	"Sample collection"	"GEORGIA8332"	"Georgia"	""	""	"C"	""	""	"VIII"	""	""
"3VIII4LK"	"Hordeum vulgare"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/4513"	"Hordeum vulgare subsp. vulgare"	""	""	"leaf"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000713"	"Sample collection"	"GEORGIA8339"	"Georgia"	""	""	"C"	""	""	"VIII"	""	""
"3III1LK"	"Hordeum vulgare"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/4513"	"Hordeum vulgare subsp. vulgare"	""	""	"leaf"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000713"	"Sample collection"	"GEORGIA8346"	"Georgia"	""	""	"C"	""	""	"III"	""	""
"3III3LK"	"Hordeum vulgare"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/4513"	"Hordeum vulgare subsp. vulgare"	""	""	"leaf"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000713"	"Sample collection"	"GEORGIA8353"	"Georgia"	""	""	"C"	""	""	"III"	""	""
"3IV1LK"	"Hordeum vulgare"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/4513"	"Hordeum vulgare subsp. vulgare"	""	""	"leaf"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000713"	"Sample collection"	"GEORGIA8535"	"Georgia"	""	""	"C"	""	""	"IV"	""	""
"3IV2LK"	"Hordeum vulgare"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/4513"	"Hordeum vulgare subsp. vulgare"	""	""	"leaf"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000713"	"Sample collection"	"GEORGIA8542"	"Georgia"	""	""	"C"	""	""	"IV"	""	""
"3IV3LK"	"Hordeum vulgare"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/4513"	"Hordeum vulgare subsp. vulgare"	""	""	"leaf"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000713"	"Sample collection"	"GEORGIA8549"	"Georgia"	""	""	"C"	""	""	"IV"	""	""
"3IV4LS1"	"Hordeum vulgare"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/4513"	"Hordeum vulgare subsp. vulgare"	""	""	"leaf"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000713"	"Sample collection"	"GEORGIA8689"	"Georgia"	""	""	"S1"	""	""	"IV"	""	""
"3IV1LS1"	"Hordeum vulgare"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/4513"	"Hordeum vulgare subsp. vulgare"	""	""	"leaf"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000713"	"Sample collection"	"GEORGIA8747"	"Georgia"	""	""	"S1"	""	""	"IV"	""	""
"3IV2LS1"	"Hordeum vulgare"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/4513"	"Hordeum vulgare subsp. vulgare"	""	""	"leaf"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000713"	"Sample collection"	"GEORGIA8752"	"Georgia"	""	""	"S1"	""	""	"IV"	""	""
"3IV3LS1"	"Hordeum vulgare"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/4513"	"Hordeum vulgare subsp. vulgare"	""	""	"leaf"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000713"	"Sample collection"	"GEORGIA8757"	"Georgia"	""	""	"S1"	""	""	"IV"	""	""
"3VIII1LS2"	"Hordeum vulgare"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/4513"	"Hordeum vulgare subsp. vulgare"	""	""	"leaf"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000713"	"Sample collection"	"GEORGIA8912"	"Georgia"	""	""	"S2"	""	""	"VIII"	""	""
