"Source Name"	"Characteristics[Organism]"	"Term Source REF"	"Term Accession Number"	"Characteristics[Variant]"	"Term Source REF"	"Term Accession Number"	"Characteristics[Organism part]"	"Term Source REF"	"Term Accession Number"	"Protocol REF"	"Sample Name"	"Factor Value[Tissue]"	"Term Source REF"	"Term Accession Number"	"Factor Value[Development stage]"	"Unit"	"Term Source REF"	"Term Accession Number"
"Tomato2006"	"Solanum lycopersicum"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/4081"	"Solanum lycopersicum cv. Ailsa Craig"	""	""	"pericarp"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001017"	"Sample collection"	"F20.2.1"	"Pericarp"	""	""	"20"	"day"	"UO"	"http://purl.obolibrary.org/obo/UO_0000033"
"Tomato2006"	"Solanum lycopersicum"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/4081"	"Solanum lycopersicum cv. Ailsa Craig"	""	""	"pericarp"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001017"	"Sample collection"	"F20.2.2"	"Pericarp"	""	""	"20"	"day"	"UO"	"http://purl.obolibrary.org/obo/UO_0000033"
"Tomato2006"	"Solanum lycopersicum"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/4081"	"Solanum lycopersicum cv. Ailsa Craig"	""	""	"pericarp"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001017"	"Sample collection"	"F20.3.1"	"Pericarp"	""	""	"20"	"day"	"UO"	"http://purl.obolibrary.org/obo/UO_0000033"
"Tomato2006"	"Solanum lycopersicum"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/4081"	"Solanum lycopersicum cv. Ailsa Craig"	""	""	"pericarp"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001017"	"Sample collection"	"F20.3.2"	"Pericarp"	""	""	"20"	"day"	"UO"	"http://purl.obolibrary.org/obo/UO_0000033"
"Tomato2006"	"Solanum lycopersicum"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/4081"	"Solanum lycopersicum cv. Ailsa Craig"	""	""	"pericarp"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001017"	"Sample collection"	"F35.1.1"	"Pericarp"	""	""	"35"	"day"	"UO"	"http://purl.obolibrary.org/obo/UO_0000033"
"Tomato2006"	"Solanum lycopersicum"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/4081"	"Solanum lycopersicum cv. Ailsa Craig"	""	""	"pericarp"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001017"	"Sample collection"	"F35.1.2"	"Pericarp"	""	""	"35"	"day"	"UO"	"http://purl.obolibrary.org/obo/UO_0000033"
"Tomato2006"	"Solanum lycopersicum"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/4081"	"Solanum lycopersicum cv. Ailsa Craig"	""	""	"pericarp"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001017"	"Sample collection"	"F35.2.1"	"Pericarp"	""	""	"35"	"day"	"UO"	"http://purl.obolibrary.org/obo/UO_0000033"
"Tomato2006"	"Solanum lycopersicum"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/4081"	"Solanum lycopersicum cv. Ailsa Craig"	""	""	"pericarp"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001017"	"Sample collection"	"F35.2.2"	"Pericarp"	""	""	"35"	"day"	"UO"	"http://purl.obolibrary.org/obo/UO_0000033"
"Tomato2006"	"Solanum lycopersicum"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/4081"	"Solanum lycopersicum cv. Ailsa Craig"	""	""	"pericarp"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001017"	"Sample collection"	"F35.3.1"	"Pericarp"	""	""	"35"	"day"	"UO"	"http://purl.obolibrary.org/obo/UO_0000033"
"Tomato2006"	"Solanum lycopersicum"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/4081"	"Solanum lycopersicum cv. Ailsa Craig"	""	""	"pericarp"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001017"	"Sample collection"	"F35.3.2"	"Pericarp"	""	""	"35"	"day"	"UO"	"http://purl.obolibrary.org/obo/UO_0000033"
"Tomato2006"	"Solanum lycopersicum"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/4081"	"Solanum lycopersicum cv. Ailsa Craig"	""	""	"pericarp"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001017"	"Sample collection"	"F45.1.1"	"Pericarp"	""	""	"45"	"day"	"UO"	"http://purl.obolibrary.org/obo/UO_0000033"
"Tomato2006"	"Solanum lycopersicum"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/4081"	"Solanum lycopersicum cv. Ailsa Craig"	""	""	"pericarp"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001017"	"Sample collection"	"F45.1.2"	"Pericarp"	""	""	"45"	"day"	"UO"	"http://purl.obolibrary.org/obo/UO_0000033"
"Tomato2006"	"Solanum lycopersicum"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/4081"	"Solanum lycopersicum cv. Ailsa Craig"	""	""	"pericarp"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001017"	"Sample collection"	"F45.2.2"	"Pericarp"	""	""	"45"	"day"	"UO"	"http://purl.obolibrary.org/obo/UO_0000033"
"Tomato2006"	"Solanum lycopersicum"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/4081"	"Solanum lycopersicum cv. Ailsa Craig"	""	""	"pericarp"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001017"	"Sample collection"	"F45.2.1"	"Pericarp"	""	""	"45"	"day"	"UO"	"http://purl.obolibrary.org/obo/UO_0000033"
"Tomato2006"	"Solanum lycopersicum"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/4081"	"Solanum lycopersicum cv. Ailsa Craig"	""	""	"pericarp"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001017"	"Sample collection"	"F45.3.1"	"Pericarp"	""	""	"45"	"day"	"UO"	"http://purl.obolibrary.org/obo/UO_0000033"
"Tomato2006"	"Solanum lycopersicum"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/4081"	"Solanum lycopersicum cv. Ailsa Craig"	""	""	"pericarp"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001017"	"Sample collection"	"F45.3.2"	"Pericarp"	""	""	"45"	"day"	"UO"	"http://purl.obolibrary.org/obo/UO_0000033"
