"Source Name"	"Characteristics[Organism]"	"Term Source REF"	"Term Accession Number"	"Characteristics[Variant]"	"Term Source REF"	"Term Accession Number"	"Characteristics[Organism part]"	"Term Source REF"	"Term Accession Number"	"Protocol REF"	"Sample Name"	"Factor Value[Dose]"	"Unit"	"Term Source REF"	"Term Accession Number"	"Factor Value[Replicate]"	"Term Source REF"	"Term Accession Number"	"Factor Value[Treatment]"	"Term Source REF"	"Term Accession Number"
"8"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	"C57BL/6"	"EFO"	""	"serum"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001239"	"Sample collection"	"TQS-RLN-20140623-035"	"0"	"microgram per kilogram"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0002899"	"5"	""	""	"Sesame Oil"	"NCIT"	"http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C66537"
"57"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	"C57BL/6"	"EFO"	""	"serum"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001239"	"Sample collection"	"TQS-RLN-20140623-036"	"3"	"microgram per kilogram"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0002899"	"1"	""	""	"Tetrachlorodibenzodioxin"	"NCIT"	"http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C864"
"58"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	"C57BL/6"	"EFO"	""	"serum"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001239"	"Sample collection"	"TQS-RLN-20140623-037"	"3"	"microgram per kilogram"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0002899"	"2"	""	""	"Tetrachlorodibenzodioxin"	"NCIT"	"http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C864"
"59"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	"C57BL/6"	"EFO"	""	"serum"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001239"	"Sample collection"	"TQS-RLN-20140623-038"	"3"	"microgram per kilogram"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0002899"	"3"	""	""	"Tetrachlorodibenzodioxin"	"NCIT"	"http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C864"
"60"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	"C57BL/6"	"EFO"	""	"serum"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001239"	"Sample collection"	"TQS-RLN-20140623-039"	"3"	"microgram per kilogram"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0002899"	"4"	""	""	"Tetrachlorodibenzodioxin"	"NCIT"	"http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C864"
"61"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	"C57BL/6"	"EFO"	""	"serum"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001239"	"Sample collection"	"TQS-RLN-20140623-040"	"3"	"microgram per kilogram"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0002899"	"5"	""	""	"Tetrachlorodibenzodioxin"	"NCIT"	"http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C864"
"65"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	"C57BL/6"	"EFO"	""	"serum"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001239"	"Sample collection"	"TQS-RLN-20140623-041"	"10"	"microgram per kilogram"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0002899"	"1"	""	""	"Tetrachlorodibenzodioxin"	"NCIT"	"http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C864"
"66"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	"C57BL/6"	"EFO"	""	"serum"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001239"	"Sample collection"	"TQS-RLN-20140623-042"	"10"	"microgram per kilogram"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0002899"	"2"	""	""	"Tetrachlorodibenzodioxin"	"NCIT"	"http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C864"
"70"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	"C57BL/6"	"EFO"	""	"serum"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001239"	"Sample collection"	"TQS-RLN-20140623-043"	"10"	"microgram per kilogram"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0002899"	"3"	""	""	"Tetrachlorodibenzodioxin"	"NCIT"	"http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C864"
"71"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	"C57BL/6"	"EFO"	""	"serum"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001239"	"Sample collection"	"TQS-RLN-20140623-044"	"10"	"microgram per kilogram"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0002899"	"4"	""	""	"Tetrachlorodibenzodioxin"	"NCIT"	"http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C864"
