"Source Name"	"Characteristics[Organism]"	"Term Source REF"	"Term Accession Number"	"Characteristics[Organism part]"	"Term Source REF"	"Term Accession Number"	"Factor Value[Plant development stage]"	"Term Source REF"	"Term Accession Number"	"Protocol REF"	"Sample Name"	"Factor Value[Species code]"	"Term Source REF"	"Term Accession Number"	"Factor Value[Exposition]"	"Term Source REF"	"Term Accession Number"	"Factor Value[Soil humidity]"	"Term Source REF"	"Term Accession Number"	"Factor Value[Light conditions]"	"Term Source REF"	"Term Accession Number"	"Factor Value[Substrate]"	"Term Source REF"	"Term Accession Number"	"Factor Value[Fresh weight]"	"Term Source REF"	"Term Accession Number"	"Factor Value[Sample batch number]"	"Term Source REF"	"Term Accession Number"	"Factor Value[LCMS date]"	"Term Source REF"	"Term Accession Number"	"Factor Value[Sample date]"	"Term Source REF"	"Term Accession Number"	"Factor Value[Collection Season]"	"Term Source REF"	"Term Accession Number"
"Autumn_Polstr_01"	"Polytrichum strictum"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/129214"	"shoot system"	"PO"	"http://purl.obolibrary.org/obo/PO_0009006"	"gametophyte vegetative stage"	"PO"	"http://purl.obolibrary.org/obo/PO_0025340"	"Sample collection"	"Autumn_Polstr_01"	"Polstr"	""	""	"S"	""	""	"wet"	""	""	"sunny"	""	""	"Soil"	""	""	"262.4"	""	""	"7"	""	""	"05/12/2016"	""	""	"09/11/2016"	""	""	"Autumn"	""	""
"Autumn_Polstr_02"	"Polytrichum strictum"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/129214"	"shoot system"	"PO"	"http://purl.obolibrary.org/obo/PO_0009006"	"gametophyte vegetative stage"	"PO"	"http://purl.obolibrary.org/obo/PO_0025340"	"Sample collection"	"Autumn_Polstr_02"	"Polstr"	""	""	"S"	""	""	"wet"	""	""	"sunny"	""	""	"Soil"	""	""	"196.4"	""	""	"8"	""	""	"05/12/2016"	""	""	"09/11/2016"	""	""	"Autumn"	""	""
"Autumn_Polstr_03"	"Polytrichum strictum"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/129214"	"shoot system"	"PO"	"http://purl.obolibrary.org/obo/PO_0009006"	"gametophyte vegetative stage"	"PO"	"http://purl.obolibrary.org/obo/PO_0025340"	"Sample collection"	"Autumn_Polstr_03"	"Polstr"	""	""	"S"	""	""	"wet"	""	""	"sunny"	""	""	"Soil"	""	""	"186.5"	""	""	"9"	""	""	"05/12/2016"	""	""	"09/11/2016"	""	""	"Autumn"	""	""
"Autumn_Hypcup_02"	"Hypnum cupressiforme"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/53011"	"shoot system"	"PO"	"http://purl.obolibrary.org/obo/PO_0009006"	"gametophyte vegetative stage"	"PO"	"http://purl.obolibrary.org/obo/PO_0025340"	"Sample collection"	"Autumn_Hypcup_02"	"Hypcup"	""	""	"SW"	""	""	"dry"	""	""	"sunny"	""	""	"Rock"	""	""	"281.9"	""	""	"10"	""	""	"05/12/2016"	""	""	"09/11/2016"	""	""	"Autumn"	""	""
"Autumn_Gripul_02"	"Grimmia pulvinata"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/115594"	"shoot system"	"PO"	"http://purl.obolibrary.org/obo/PO_0009006"	"gametophyte vegetative stage"	"PO"	"http://purl.obolibrary.org/obo/PO_0025340"	"Sample collection"	"Autumn_Gripul_02"	"Gripul"	""	""	"SW"	""	""	"dry"	""	""	"sunny"	""	""	"Rock"	""	""	"329.4"	""	""	"11"	""	""	"05/12/2016"	""	""	"09/11/2016"	""	""	"Autumn"	""	""
"Autumn_Brarut_02"	"Brachythecium rutabulum"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/53005"	"shoot system"	"PO"	"http://purl.obolibrary.org/obo/PO_0009006"	"gametophyte vegetative stage"	"PO"	"http://purl.obolibrary.org/obo/PO_0025340"	"Sample collection"	"Autumn_Brarut_02"	"Brarut"	""	""	"S"	""	""	"dry"	""	""	"half-shade"	""	""	"Rock_lean_soil"	""	""	"232.8"	""	""	"12"	""	""	"05/12/2016"	""	""	"09/11/2016"	""	""	"Autumn"	""	""
"Autumn_Plaund_01"	"Plagiomnium undulatum"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/95766"	"shoot system"	"PO"	"http://purl.obolibrary.org/obo/PO_0009006"	"gametophyte vegetative stage"	"PO"	"http://purl.obolibrary.org/obo/PO_0025340"	"Sample collection"	"Autumn_Plaund_01"	"Plaund"	""	""	"S"	""	""	"damp"	""	""	"half-shade"	""	""	"Soil"	""	""	"98.3"	""	""	"13"	""	""	"05/12/2016"	""	""	"09/11/2016"	""	""	"Autumn"	""	""
"Autumn_Plaund_02"	"Plagiomnium undulatum"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/95766"	"shoot system"	"PO"	"http://purl.obolibrary.org/obo/PO_0009006"	"gametophyte vegetative stage"	"PO"	"http://purl.obolibrary.org/obo/PO_0025340"	"Sample collection"	"Autumn_Plaund_02"	"Plaund"	""	""	"S"	""	""	"damp"	""	""	"half-shade"	""	""	"Soil"	""	""	"118.1"	""	""	"14"	""	""	"05/12/2016"	""	""	"09/11/2016"	""	""	"Autumn"	""	""
"Autumn_Plaund_03"	"Plagiomnium undulatum"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/95766"	"shoot system"	"PO"	"http://purl.obolibrary.org/obo/PO_0009006"	"gametophyte vegetative stage"	"PO"	"http://purl.obolibrary.org/obo/PO_0025340"	"Sample collection"	"Autumn_Plaund_03"	"Plaund"	""	""	"SO"	""	""	"damp"	""	""	"half-shade"	""	""	"Soil"	""	""	"100.4"	""	""	"15"	""	""	"05/12/2016"	""	""	"09/11/2016"	""	""	"Autumn"	""	""
"Autumn_Calcus_01"	"Calliergonella cuspidata"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/52999"	"shoot system"	"PO"	"http://purl.obolibrary.org/obo/PO_0009006"	"gametophyte vegetative stage"	"PO"	"http://purl.obolibrary.org/obo/PO_0025340"	"Sample collection"	"Autumn_Calcus_01"	"Calcus"	""	""	"S"	""	""	"fresh"	""	""	"half-shade"	""	""	"Soil"	""	""	"423.8"	""	""	"16"	""	""	"05/12/2016"	""	""	"09/11/2016"	""	""	"Autumn"	""	""
