"Source Name"	"Characteristics[Organism]"	"Term Source REF"	"Term Accession Number"	"Characteristics[Organism part]"	"Term Source REF"	"Term Accession Number"	"Protocol REF"	"Sample Name"	"Factor Value[Survival]"	"Term Source REF"	"Term Accession Number"	"Factor Value[Treatment]"	"Term Source REF"	"Term Accession Number"	"Factor Value[Timepoint]"	"Term Source REF"	"Term Accession Number"
"Pig Serum 318"	"Sus scrofa domesticus"	"NCBITAXON"	"http://purl.obolibrary.org/obo/NCBITaxon_9825"	"blood serum"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000133"	"Sample collection"	"M081009SFR2"	"Died"	""	""	"Prefed"	""	""	"FR2"	""	""
"Pig Serum 319"	"Sus scrofa domesticus"	"NCBITAXON"	"http://purl.obolibrary.org/obo/NCBITaxon_9825"	"blood serum"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000133"	"Sample collection"	"M081009SFR4"	"Died"	""	""	"Prefed"	""	""	"FR4"	""	""
"Pig Serum 320"	"Sus scrofa domesticus"	"NCBITAXON"	"http://purl.obolibrary.org/obo/NCBITaxon_9825"	"blood serum"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000133"	"Sample collection"	"M081009SS45"	"Died"	""	""	"Prefed"	""	""	"S45"	""	""
"Pig Serum 321"	"Sus scrofa domesticus"	"NCBITAXON"	"http://purl.obolibrary.org/obo/NCBITaxon_9825"	"blood serum"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000133"	"Sample collection"	"M081610SB"	"Lived"	""	""	"Control"	""	""	"B"	""	""
"Pig Serum 322"	"Sus scrofa domesticus"	"NCBITAXON"	"http://purl.obolibrary.org/obo/NCBITaxon_9825"	"blood serum"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000133"	"Sample collection"	"M081610SFR2"	"Lived"	""	""	"Control"	""	""	"FR2"	""	""
"Pig Serum 323"	"Sus scrofa domesticus"	"NCBITAXON"	"http://purl.obolibrary.org/obo/NCBITaxon_9825"	"blood serum"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000133"	"Sample collection"	"M081610SFR4"	"Lived"	""	""	"Control"	""	""	"FR4"	""	""
"Pig Serum 324"	"Sus scrofa domesticus"	"NCBITAXON"	"http://purl.obolibrary.org/obo/NCBITaxon_9825"	"blood serum"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000133"	"Sample collection"	"M081610SFR8"	"Lived"	""	""	"Control"	""	""	"FR8"	""	""
"Pig Serum 325"	"Sus scrofa domesticus"	"NCBITAXON"	"http://purl.obolibrary.org/obo/NCBITaxon_9825"	"blood serum"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000133"	"Sample collection"	"M081610SFR16"	"Lived"	""	""	"Control"	""	""	"FR16"	""	""
"Pig Serum 326"	"Sus scrofa domesticus"	"NCBITAXON"	"http://purl.obolibrary.org/obo/NCBITaxon_9825"	"blood serum"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000133"	"Sample collection"	"M081610SFR20"	"Lived"	""	""	"Control"	""	""	"FR20"	""	""
"Pig Serum 327"	"Sus scrofa domesticus"	"NCBITAXON"	"http://purl.obolibrary.org/obo/NCBITaxon_9825"	"blood serum"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000133"	"Sample collection"	"M081610SPR24"	"Lived"	""	""	"Control"	""	""	"PR24"	""	""
"Pig Serum 328"	"Sus scrofa domesticus"	"NCBITAXON"	"http://purl.obolibrary.org/obo/NCBITaxon_9825"	"blood serum"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000133"	"Sample collection"	"M081610SPR48"	"Lived"	""	""	"Control"	""	""	"PR48"	""	""
"Pig Serum 329"	"Sus scrofa domesticus"	"NCBITAXON"	"http://purl.obolibrary.org/obo/NCBITaxon_9825"	"blood serum"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000133"	"Sample collection"	"M081610SS45"	"Lived"	""	""	"Control"	""	""	"S45"	""	""
"Pig Serum 330"	"Sus scrofa domesticus"	"NCBITAXON"	"http://purl.obolibrary.org/obo/NCBITaxon_9825"	"blood serum"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000133"	"Sample collection"	"M081709SB"	"Died"	""	""	"Prefed"	""	""	"B"	""	""
"Pig Serum 331"	"Sus scrofa domesticus"	"NCBITAXON"	"http://purl.obolibrary.org/obo/NCBITaxon_9825"	"blood serum"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000133"	"Sample collection"	"M081709SS45"	"Died"	""	""	"Prefed"	""	""	"S45"	""	""
"Pig Serum 332"	"Sus scrofa domesticus"	"NCBITAXON"	"http://purl.obolibrary.org/obo/NCBITaxon_9825"	"blood serum"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000133"	"Sample collection"	"M082211SB"	"Lived"	""	""	"Control"	""	""	"B"	""	""
"Pig Serum 333"	"Sus scrofa domesticus"	"NCBITAXON"	"http://purl.obolibrary.org/obo/NCBITaxon_9825"	"blood serum"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000133"	"Sample collection"	"M082211SFR2"	"Lived"	""	""	"Control"	""	""	"FR2"	""	""
"Pig Serum 334"	"Sus scrofa domesticus"	"NCBITAXON"	"http://purl.obolibrary.org/obo/NCBITaxon_9825"	"blood serum"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000133"	"Sample collection"	"M082211SFR4"	"Lived"	""	""	"Control"	""	""	"FR4"	""	""
"Pig Serum 335"	"Sus scrofa domesticus"	"NCBITAXON"	"http://purl.obolibrary.org/obo/NCBITaxon_9825"	"blood serum"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000133"	"Sample collection"	"M082211SFR8"	"Lived"	""	""	"Control"	""	""	"FR8"	""	""
"Pig Serum 336"	"Sus scrofa domesticus"	"NCBITAXON"	"http://purl.obolibrary.org/obo/NCBITaxon_9825"	"blood serum"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000133"	"Sample collection"	"M082211SFR16"	"Lived"	""	""	"Control"	""	""	"FR16"	""	""
"Pig Serum 337"	"Sus scrofa domesticus"	"NCBITAXON"	"http://purl.obolibrary.org/obo/NCBITaxon_9825"	"blood serum"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000133"	"Sample collection"	"M082211SFR20"	"Lived"	""	""	"Control"	""	""	"FR20"	""	""
"Pig Serum 338"	"Sus scrofa domesticus"	"NCBITAXON"	"http://purl.obolibrary.org/obo/NCBITaxon_9825"	"blood serum"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000133"	"Sample collection"	"M082211SPR24"	"Lived"	""	""	"Control"	""	""	"PR24"	""	""
"Pig Serum 339"	"Sus scrofa domesticus"	"NCBITAXON"	"http://purl.obolibrary.org/obo/NCBITaxon_9825"	"blood serum"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000133"	"Sample collection"	"M082211SPR48"	"Lived"	""	""	"Control"	""	""	"PR48"	""	""
"Pig Serum 340"	"Sus scrofa domesticus"	"NCBITAXON"	"http://purl.obolibrary.org/obo/NCBITaxon_9825"	"blood serum"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000133"	"Sample collection"	"M082211SS45"	"Lived"	""	""	"Control"	""	""	"S45"	""	""
"Pig Serum 341"	"Sus scrofa domesticus"	"NCBITAXON"	"http://purl.obolibrary.org/obo/NCBITaxon_9825"	"blood serum"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000133"	"Sample collection"	"M082410SB"	"Lived"	""	""	"Fasted"	""	""	"B"	""	""
"Pig Serum 342"	"Sus scrofa domesticus"	"NCBITAXON"	"http://purl.obolibrary.org/obo/NCBITaxon_9825"	"blood serum"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000133"	"Sample collection"	"M082410SFR2"	"Lived"	""	""	"Fasted"	""	""	"FR2"	""	""
"Pig Serum 343"	"Sus scrofa domesticus"	"NCBITAXON"	"http://purl.obolibrary.org/obo/NCBITaxon_9825"	"blood serum"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000133"	"Sample collection"	"M082410SFR4"	"Lived"	""	""	"Fasted"	""	""	"FR4"	""	""
"Pig Serum 344"	"Sus scrofa domesticus"	"NCBITAXON"	"http://purl.obolibrary.org/obo/NCBITaxon_9825"	"blood serum"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000133"	"Sample collection"	"M082410SFR8"	"Lived"	""	""	"Fasted"	""	""	"FR8"	""	""
"Pig Serum 345"	"Sus scrofa domesticus"	"NCBITAXON"	"http://purl.obolibrary.org/obo/NCBITaxon_9825"	"blood serum"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000133"	"Sample collection"	"M082410SFR16"	"Lived"	""	""	"Fasted"	""	""	"FR16"	""	""
"Pig Serum 346"	"Sus scrofa domesticus"	"NCBITAXON"	"http://purl.obolibrary.org/obo/NCBITaxon_9825"	"blood serum"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000133"	"Sample collection"	"M082410SFR20"	"Lived"	""	""	"Fasted"	""	""	"FR20"	""	""
"Pig Serum 347"	"Sus scrofa domesticus"	"NCBITAXON"	"http://purl.obolibrary.org/obo/NCBITaxon_9825"	"blood serum"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000133"	"Sample collection"	"M082410SPR24"	"Lived"	""	""	"Fasted"	""	""	"PR24"	""	""
"Pig Serum 348"	"Sus scrofa domesticus"	"NCBITAXON"	"http://purl.obolibrary.org/obo/NCBITaxon_9825"	"blood serum"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000133"	"Sample collection"	"M082410SPR48"	"Lived"	""	""	"Fasted"	""	""	"PR48"	""	""
"Pig Serum 349"	"Sus scrofa domesticus"	"NCBITAXON"	"http://purl.obolibrary.org/obo/NCBITaxon_9825"	"blood serum"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000133"	"Sample collection"	"M082410SS45"	"Lived"	""	""	"Fasted"	""	""	"S45"	""	""
"Pig Serum 350"	"Sus scrofa domesticus"	"NCBITAXON"	"http://purl.obolibrary.org/obo/NCBITaxon_9825"	"blood serum"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000133"	"Sample collection"	"M082911SB"	"Died"	""	""	"Negative Control"	""	""	"B"	""	""
"Pig Serum 351"	"Sus scrofa domesticus"	"NCBITAXON"	"http://purl.obolibrary.org/obo/NCBITaxon_9825"	"blood serum"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000133"	"Sample collection"	"M082911SS45"	"Died"	""	""	"Negative Control"	""	""	"S45"	""	""
"Pig Serum 352"	"Sus scrofa domesticus"	"NCBITAXON"	"http://purl.obolibrary.org/obo/NCBITaxon_9825"	"blood serum"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000133"	"Sample collection"	"M091310SB"	"Lived"	""	""	"Prefed"	""	""	"B"	""	""
"Pig Serum 353"	"Sus scrofa domesticus"	"NCBITAXON"	"http://purl.obolibrary.org/obo/NCBITaxon_9825"	"blood serum"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000133"	"Sample collection"	"M091310SFR2"	"Lived"	""	""	"Prefed"	""	""	"FR2"	""	""
"Pig Serum 354"	"Sus scrofa domesticus"	"NCBITAXON"	"http://purl.obolibrary.org/obo/NCBITaxon_9825"	"blood serum"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000133"	"Sample collection"	"M091310SFR8"	"Lived"	""	""	"Prefed"	""	""	"FR8"	""	""
"Pig Serum 355"	"Sus scrofa domesticus"	"NCBITAXON"	"http://purl.obolibrary.org/obo/NCBITaxon_9825"	"blood serum"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000133"	"Sample collection"	"M091310SFR16"	"Lived"	""	""	"Prefed"	""	""	"FR16"	""	""
"Pig Serum 356"	"Sus scrofa domesticus"	"NCBITAXON"	"http://purl.obolibrary.org/obo/NCBITaxon_9825"	"blood serum"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000133"	"Sample collection"	"M091310SFR20"	"Lived"	""	""	"Prefed"	""	""	"FR20"	""	""
"Pig Serum 357"	"Sus scrofa domesticus"	"NCBITAXON"	"http://purl.obolibrary.org/obo/NCBITaxon_9825"	"blood serum"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000133"	"Sample collection"	"M091310SPR48"	"Lived"	""	""	"Prefed"	""	""	"PR48"	""	""
"Pig Serum 358"	"Sus scrofa domesticus"	"NCBITAXON"	"http://purl.obolibrary.org/obo/NCBITaxon_9825"	"blood serum"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000133"	"Sample collection"	"M091310SS45"	"Lived"	""	""	"Prefed"	""	""	"S45"	""	""
"Pig Serum 359"	"Sus scrofa domesticus"	"NCBITAXON"	"http://purl.obolibrary.org/obo/NCBITaxon_9825"	"blood serum"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000133"	"Sample collection"	"M091409SB"	"Lived"	""	""	"Prefed"	""	""	"B"	""	""
"Pig Serum 360"	"Sus scrofa domesticus"	"NCBITAXON"	"http://purl.obolibrary.org/obo/NCBITaxon_9825"	"blood serum"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000133"	"Sample collection"	"M091409SFR2"	"Lived"	""	""	"Prefed"	""	""	"FR2"	""	""
"Pig Serum 361"	"Sus scrofa domesticus"	"NCBITAXON"	"http://purl.obolibrary.org/obo/NCBITaxon_9825"	"blood serum"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000133"	"Sample collection"	"M091409SFR4"	"Lived"	""	""	"Prefed"	""	""	"FR4"	""	""
"Pig Serum 362"	"Sus scrofa domesticus"	"NCBITAXON"	"http://purl.obolibrary.org/obo/NCBITaxon_9825"	"blood serum"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000133"	"Sample collection"	"M091409SFR8"	"Lived"	""	""	"Prefed"	""	""	"FR8"	""	""
"Pig Serum 363"	"Sus scrofa domesticus"	"NCBITAXON"	"http://purl.obolibrary.org/obo/NCBITaxon_9825"	"blood serum"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000133"	"Sample collection"	"M091409SFR16"	"Lived"	""	""	"Prefed"	""	""	"FR16"	""	""
"Pig Serum 364"	"Sus scrofa domesticus"	"NCBITAXON"	"http://purl.obolibrary.org/obo/NCBITaxon_9825"	"blood serum"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000133"	"Sample collection"	"M091409SFR20"	"Lived"	""	""	"Prefed"	""	""	"FR20"	""	""
"Pig Serum 365"	"Sus scrofa domesticus"	"NCBITAXON"	"http://purl.obolibrary.org/obo/NCBITaxon_9825"	"blood serum"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000133"	"Sample collection"	"M091409SPR24"	"Lived"	""	""	"Prefed"	""	""	"PR24"	""	""
"Pig Serum 366"	"Sus scrofa domesticus"	"NCBITAXON"	"http://purl.obolibrary.org/obo/NCBITaxon_9825"	"blood serum"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000133"	"Sample collection"	"M091409SPR48"	"Lived"	""	""	"Prefed"	""	""	"PR48"	""	""
"Pig Serum 367"	"Sus scrofa domesticus"	"NCBITAXON"	"http://purl.obolibrary.org/obo/NCBITaxon_9825"	"blood serum"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000133"	"Sample collection"	"M091409SS45"	"Lived"	""	""	"Prefed"	""	""	"S45"	""	""
"Pig Serum 368"	"Sus scrofa domesticus"	"NCBITAXON"	"http://purl.obolibrary.org/obo/NCBITaxon_9825"	"blood serum"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000133"	"Sample collection"	"M092110SB"	"Died"	""	""	"Prefed"	""	""	"B"	""	""
"Pig Serum 369"	"Sus scrofa domesticus"	"NCBITAXON"	"http://purl.obolibrary.org/obo/NCBITaxon_9825"	"blood serum"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000133"	"Sample collection"	"M092110SFR2"	"Died"	""	""	"Prefed"	""	""	"FR2"	""	""
"Pig Serum 370"	"Sus scrofa domesticus"	"NCBITAXON"	"http://purl.obolibrary.org/obo/NCBITaxon_9825"	"blood serum"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000133"	"Sample collection"	"M092110SFR4"	"Died"	""	""	"Prefed"	""	""	"FR4"	""	""
"Pig Serum 371"	"Sus scrofa domesticus"	"NCBITAXON"	"http://purl.obolibrary.org/obo/NCBITaxon_9825"	"blood serum"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000133"	"Sample collection"	"M092110SFR8"	"Died"	""	""	"Prefed"	""	""	"FR8"	""	""
"Pig Serum 372"	"Sus scrofa domesticus"	"NCBITAXON"	"http://purl.obolibrary.org/obo/NCBITaxon_9825"	"blood serum"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000133"	"Sample collection"	"M092110SFR16"	"Died"	""	""	"Prefed"	""	""	"FR16"	""	""
"Pig Serum 373"	"Sus scrofa domesticus"	"NCBITAXON"	"http://purl.obolibrary.org/obo/NCBITaxon_9825"	"blood serum"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000133"	"Sample collection"	"M092110SFR20"	"Died"	""	""	"Prefed"	""	""	"FR20"	""	""
"Pig Serum 374"	"Sus scrofa domesticus"	"NCBITAXON"	"http://purl.obolibrary.org/obo/NCBITaxon_9825"	"blood serum"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000133"	"Sample collection"	"M092110SS45"	"Died"	""	""	"Prefed"	""	""	"S45"	""	""
"Pig Serum 375"	"Sus scrofa domesticus"	"NCBITAXON"	"http://purl.obolibrary.org/obo/NCBITaxon_9825"	"blood serum"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000133"	"Sample collection"	"M092109SB"	"Lived"	""	""	"Fasted"	""	""	"B"	""	""
"Pig Serum 376"	"Sus scrofa domesticus"	"NCBITAXON"	"http://purl.obolibrary.org/obo/NCBITaxon_9825"	"blood serum"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000133"	"Sample collection"	"M092109SFR2"	"Lived"	""	""	"Fasted"	""	""	"FR2"	""	""
"Pig Serum 377"	"Sus scrofa domesticus"	"NCBITAXON"	"http://purl.obolibrary.org/obo/NCBITaxon_9825"	"blood serum"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000133"	"Sample collection"	"M092109SFR4"	"Lived"	""	""	"Fasted"	""	""	"FR4"	""	""
"Pig Serum 378"	"Sus scrofa domesticus"	"NCBITAXON"	"http://purl.obolibrary.org/obo/NCBITaxon_9825"	"blood serum"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000133"	"Sample collection"	"M092109SFR8"	"Lived"	""	""	"Fasted"	""	""	"FR8"	""	""
"Pig Serum 379"	"Sus scrofa domesticus"	"NCBITAXON"	"http://purl.obolibrary.org/obo/NCBITaxon_9825"	"blood serum"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000133"	"Sample collection"	"M092109SFR16"	"Lived"	""	""	"Fasted"	""	""	"FR16"	""	""
"Pig Serum 380"	"Sus scrofa domesticus"	"NCBITAXON"	"http://purl.obolibrary.org/obo/NCBITaxon_9825"	"blood serum"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000133"	"Sample collection"	"M092109SFR20"	"Lived"	""	""	"Fasted"	""	""	"FR20"	""	""
"Pig Serum 381"	"Sus scrofa domesticus"	"NCBITAXON"	"http://purl.obolibrary.org/obo/NCBITaxon_9825"	"blood serum"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000133"	"Sample collection"	"M092109SPR24"	"Lived"	""	""	"Fasted"	""	""	"PR24"	""	""
"Pig Serum 382"	"Sus scrofa domesticus"	"NCBITAXON"	"http://purl.obolibrary.org/obo/NCBITaxon_9825"	"blood serum"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000133"	"Sample collection"	"M092109SPR48"	"Lived"	""	""	"Fasted"	""	""	"PR48"	""	""
"Pig Serum 383"	"Sus scrofa domesticus"	"NCBITAXON"	"http://purl.obolibrary.org/obo/NCBITaxon_9825"	"blood serum"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000133"	"Sample collection"	"M092109SS45"	"Lived"	""	""	"Fasted"	""	""	"S45"	""	""
"Pig Serum 384"	"Sus scrofa domesticus"	"NCBITAXON"	"http://purl.obolibrary.org/obo/NCBITaxon_9825"	"blood serum"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000133"	"Sample collection"	"M092710SB"	"Lived"	""	""	"Prefed"	""	""	"B"	""	""
"Pig Serum 385"	"Sus scrofa domesticus"	"NCBITAXON"	"http://purl.obolibrary.org/obo/NCBITaxon_9825"	"blood serum"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000133"	"Sample collection"	"M092710SFR2"	"Lived"	""	""	"Prefed"	""	""	"FR2"	""	""
"Pig Serum 386"	"Sus scrofa domesticus"	"NCBITAXON"	"http://purl.obolibrary.org/obo/NCBITaxon_9825"	"blood serum"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000133"	"Sample collection"	"M092710SFR4"	"Lived"	""	""	"Prefed"	""	""	"FR4"	""	""
"Pig Serum 387"	"Sus scrofa domesticus"	"NCBITAXON"	"http://purl.obolibrary.org/obo/NCBITaxon_9825"	"blood serum"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000133"	"Sample collection"	"M092710SFR8"	"Lived"	""	""	"Prefed"	""	""	"FR8"	""	""
"Pig Serum 388"	"Sus scrofa domesticus"	"NCBITAXON"	"http://purl.obolibrary.org/obo/NCBITaxon_9825"	"blood serum"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000133"	"Sample collection"	"M092710SFR16"	"Lived"	""	""	"Prefed"	""	""	"FR16"	""	""
"Pig Serum 389"	"Sus scrofa domesticus"	"NCBITAXON"	"http://purl.obolibrary.org/obo/NCBITaxon_9825"	"blood serum"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000133"	"Sample collection"	"M092710SFR20"	"Lived"	""	""	"Prefed"	""	""	"FR20"	""	""
"Pig Serum 390"	"Sus scrofa domesticus"	"NCBITAXON"	"http://purl.obolibrary.org/obo/NCBITaxon_9825"	"blood serum"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000133"	"Sample collection"	"M092710SPR24"	"Lived"	""	""	"Prefed"	""	""	"PR24"	""	""
"Pig Serum 391"	"Sus scrofa domesticus"	"NCBITAXON"	"http://purl.obolibrary.org/obo/NCBITaxon_9825"	"blood serum"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000133"	"Sample collection"	"M092710SPR48"	"Lived"	""	""	"Prefed"	""	""	"PR48"	""	""
"Pig Serum 392"	"Sus scrofa domesticus"	"NCBITAXON"	"http://purl.obolibrary.org/obo/NCBITaxon_9825"	"blood serum"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000133"	"Sample collection"	"M092710SS45"	"Lived"	""	""	"Prefed"	""	""	"S45"	""	""
"Pig Serum 393"	"Sus scrofa domesticus"	"NCBITAXON"	"http://purl.obolibrary.org/obo/NCBITaxon_9825"	"blood serum"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000133"	"Sample collection"	"M100410SB"	"Lived"	""	""	"Control"	""	""	"B"	""	""
"Pig Serum 394"	"Sus scrofa domesticus"	"NCBITAXON"	"http://purl.obolibrary.org/obo/NCBITaxon_9825"	"blood serum"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000133"	"Sample collection"	"M100410SFR2"	"Lived"	""	""	"Control"	""	""	"FR2"	""	""
"Pig Serum 395"	"Sus scrofa domesticus"	"NCBITAXON"	"http://purl.obolibrary.org/obo/NCBITaxon_9825"	"blood serum"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000133"	"Sample collection"	"M100410SFR4"	"Lived"	""	""	"Control"	""	""	"FR4"	""	""
"Pig Serum 396"	"Sus scrofa domesticus"	"NCBITAXON"	"http://purl.obolibrary.org/obo/NCBITaxon_9825"	"blood serum"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000133"	"Sample collection"	"M100410SFR8"	"Lived"	""	""	"Control"	""	""	"FR8"	""	""
"Pig Serum 397"	"Sus scrofa domesticus"	"NCBITAXON"	"http://purl.obolibrary.org/obo/NCBITaxon_9825"	"blood serum"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000133"	"Sample collection"	"M100410SFR16"	"Lived"	""	""	"Control"	""	""	"FR16"	""	""
"Pig Serum 398"	"Sus scrofa domesticus"	"NCBITAXON"	"http://purl.obolibrary.org/obo/NCBITaxon_9825"	"blood serum"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000133"	"Sample collection"	"M100410SFR20"	"Lived"	""	""	"Control"	""	""	"FR20"	""	""
"Pig Serum 399"	"Sus scrofa domesticus"	"NCBITAXON"	"http://purl.obolibrary.org/obo/NCBITaxon_9825"	"blood serum"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000133"	"Sample collection"	"M100410SPR24"	"Lived"	""	""	"Control"	""	""	"PR24"	""	""
"Pig Serum 400"	"Sus scrofa domesticus"	"NCBITAXON"	"http://purl.obolibrary.org/obo/NCBITaxon_9825"	"blood serum"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000133"	"Sample collection"	"M100410SPR48"	"Lived"	""	""	"Control"	""	""	"PR48"	""	""
"Pig Serum 401"	"Sus scrofa domesticus"	"NCBITAXON"	"http://purl.obolibrary.org/obo/NCBITaxon_9825"	"blood serum"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000133"	"Sample collection"	"M100410SS45"	"Lived"	""	""	"Control"	""	""	"S45"	""	""
"Pig Serum 402"	"Sus scrofa domesticus"	"NCBITAXON"	"http://purl.obolibrary.org/obo/NCBITaxon_9825"	"blood serum"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000133"	"Sample collection"	"M101111SB"	"Lived"	""	""	"Fasted"	""	""	"B"	""	""
"Pig Serum 403"	"Sus scrofa domesticus"	"NCBITAXON"	"http://purl.obolibrary.org/obo/NCBITaxon_9825"	"blood serum"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000133"	"Sample collection"	"M101111SFR2"	"Lived"	""	""	"Fasted"	""	""	"FR2"	""	""
"Pig Serum 404"	"Sus scrofa domesticus"	"NCBITAXON"	"http://purl.obolibrary.org/obo/NCBITaxon_9825"	"blood serum"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000133"	"Sample collection"	"M101111SFR4"	"Lived"	""	""	"Fasted"	""	""	"FR4"	""	""
"Pig Serum 405"	"Sus scrofa domesticus"	"NCBITAXON"	"http://purl.obolibrary.org/obo/NCBITaxon_9825"	"blood serum"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000133"	"Sample collection"	"M101111SFR8"	"Lived"	""	""	"Fasted"	""	""	"FR8"	""	""
"Pig Serum 406"	"Sus scrofa domesticus"	"NCBITAXON"	"http://purl.obolibrary.org/obo/NCBITaxon_9825"	"blood serum"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000133"	"Sample collection"	"M101111SFR16"	"Lived"	""	""	"Fasted"	""	""	"FR16"	""	""
"Pig Serum 407"	"Sus scrofa domesticus"	"NCBITAXON"	"http://purl.obolibrary.org/obo/NCBITaxon_9825"	"blood serum"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000133"	"Sample collection"	"M101111SFR20"	"Lived"	""	""	"Fasted"	""	""	"FR20"	""	""
"Pig Serum 408"	"Sus scrofa domesticus"	"NCBITAXON"	"http://purl.obolibrary.org/obo/NCBITaxon_9825"	"blood serum"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000133"	"Sample collection"	"M101111SPR24"	"Lived"	""	""	"Fasted"	""	""	"PR24"	""	""
