"Source Name"	"Characteristics[Organism]"	"Term Source REF"	"Term Accession Number"	"Characteristics[Variant]"	"Term Source REF"	"Term Accession Number"	"Characteristics[Organism part]"	"Term Source REF"	"Term Accession Number"	"Protocol REF"	"Sample Name"	"Factor Value[Treatment ]"	"Term Source REF"	"Term Accession Number"	"Factor Value[Diet ]"	"Term Source REF"	"Term Accession Number"
"Treated Lean Group- Subject 7"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	"C57BL/6J"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0000606"	"blood plasma"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000131"	"Sample Collection"	"7C"	"PEG-OB(Cys10,Cys13)"	""	""	"Standard Laboratory Diet"	""	""
"Treated Lean Group- Subject 8"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	"C57BL/6J"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0000606"	"blood plasma"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000131"	"Sample Collection"	"8A"	"PEG-OB(Cys10,Cys13)"	""	""	"Standard Laboratory Diet"	""	""
"Treated Lean Group- Subject 8"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	"C57BL/6J"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0000606"	"blood plasma"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000131"	"Sample Collection"	"8B"	"PEG-OB(Cys10,Cys13)"	""	""	"Standard Laboratory Diet"	""	""
"Treated Lean Group- Subject 8"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	"C57BL/6J"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0000606"	"blood plasma"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000131"	"Sample Collection"	"8C"	"PEG-OB(Cys10,Cys13)"	""	""	"Standard Laboratory Diet"	""	""
"Treated Lean Group- Subject 9"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	"C57BL/6J"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0000606"	"blood plasma"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000131"	"Sample Collection"	"9A"	"PEG-OB(Cys10,Cys13)"	""	""	"Standard Laboratory Diet"	""	""
"Treated Lean Group- Subject 9"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	"C57BL/6J"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0000606"	"blood plasma"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000131"	"Sample Collection"	"9B"	"PEG-OB(Cys10,Cys13)"	""	""	"Standard Laboratory Diet"	""	""
"Treated Lean Group- Subject 9"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	"C57BL/6J"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0000606"	"blood plasma"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000131"	"Sample Collection"	"9C"	"PEG-OB(Cys10,Cys13)"	""	""	"Standard Laboratory Diet"	""	""
"Treated Lean Group- Subject 10"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	"C57BL/6J"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0000606"	"blood plasma"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000131"	"Sample Collection"	"10A"	"PEG-OB(Cys10,Cys13)"	""	""	"Standard Laboratory Diet"	""	""
"Treated Lean Group- Subject 10"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	"C57BL/6J"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0000606"	"blood plasma"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000131"	"Sample Collection"	"10B"	"PEG-OB(Cys10,Cys13)"	""	""	"Standard Laboratory Diet"	""	""
"Treated Lean Group- Subject 10"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	"C57BL/6J"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0000606"	"blood plasma"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000131"	"Sample Collection"	"10C"	"PEG-OB(Cys10,Cys13)"	""	""	"Standard Laboratory Diet"	""	""
"Treated Lean Group- Subject 11"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	"C57BL/6J"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0000606"	"blood plasma"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000131"	"Sample Collection"	"11A"	"PEG-OB(Cys10,Cys13)"	""	""	"Standard Laboratory Diet"	""	""
"Treated Lean Group- Subject 11"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	"C57BL/6J"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0000606"	"blood plasma"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000131"	"Sample Collection"	"11B"	"PEG-OB(Cys10,Cys13)"	""	""	"Standard Laboratory Diet"	""	""
"Treated Lean Group- Subject 11"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	"C57BL/6J"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0000606"	"blood plasma"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000131"	"Sample Collection"	"11C"	"PEG-OB(Cys10,Cys13)"	""	""	"Standard Laboratory Diet"	""	""
"Treated Lean Group- Subject 12"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	"C57BL/6J"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0000606"	"blood plasma"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000131"	"Sample Collection"	"12A"	"PEG-OB(Cys10,Cys13)"	""	""	"Standard Laboratory Diet"	""	""
"Treated Lean Group- Subject 12"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	"C57BL/6J"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0000606"	"blood plasma"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000131"	"Sample Collection"	"12B"	"PEG-OB(Cys10,Cys13)"	""	""	"Standard Laboratory Diet"	""	""
"Treated Lean Group- Subject 12"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	"C57BL/6J"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0000606"	"blood plasma"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000131"	"Sample Collection"	"12C"	"PEG-OB(Cys10,Cys13)"	""	""	"Standard Laboratory Diet"	""	""
"Untreated Diet Induced Obesity Group- Subject 1"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	"C57BL/6J"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0000606"	"blood plasma"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000131"	"Sample Collection"	"1A"	"saline"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0002677"	"High Fat Diet"	""	""
"Untreated Diet Induced Obesity Group- Subject 1"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	"C57BL/6J"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0000606"	"blood plasma"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000131"	"Sample Collection"	"1B "	"saline"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0002677"	"High Fat Diet"	""	""
