"Source Name"	"Characteristics[Organism]"	"Term Source REF"	"Term Accession Number"	"Characteristics[Variant]"	"Term Source REF"	"Term Accession Number"	"Characteristics[Organism part]"	"Term Source REF"	"Term Accession Number"	"Protocol REF"	"Sample Name"	"Factor Value[genotype]"	"Term Source REF"	"Term Accession Number"	"Factor Value[stimulus]"	"Term Source REF"	"Term Accession Number"
"3.DM.H_LrH.n8"	"Arabidopsis thaliana"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/3702"	"Arabidopsis thaliana str. Col-0"	""	""	"rosette leaf"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0003086"	"Sample collection"	"3.DM.H_LrH.n8"	"pip2;1 pip2;2 double mutant (DM)"	""	""	"Heat stress with low relative air humidity (H_LrH)"	""	""
"3.DM.H_LrH.n9"	"Arabidopsis thaliana"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/3702"	"Arabidopsis thaliana str. Col-0"	""	""	"rosette leaf"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0003086"	"Sample collection"	"3.DM.H_LrH.n9"	"pip2;1 pip2;2 double mutant (DM)"	""	""	"Heat stress with low relative air humidity (H_LrH)"	""	""
"3.DM.H_LrH.1"	"Arabidopsis thaliana"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/3702"	"Arabidopsis thaliana str. Col-0"	""	""	"rosette leaf"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0003086"	"Sample collection"	"3.DM.H_LrH.1"	"pip2;1 pip2;2 double mutant (DM)"	""	""	"Heat stress with low relative air humidity (H_LrH)"	""	""
"2.WT.D.3"	"Arabidopsis thaliana"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/3702"	"Arabidopsis thaliana str. Col-0"	""	""	"rosette leaf"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0003086"	"Sample collection"	"2.WT.D.3"	"Col-0 wild type (WT)"	""	""	"Drought stress (D)"	""	""
"2.WT.D.2"	"Arabidopsis thaliana"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/3702"	"Arabidopsis thaliana str. Col-0"	""	""	"rosette leaf"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0003086"	"Sample collection"	"2.WT.D.2"	"Col-0 wild type (WT)"	""	""	"Drought stress (D)"	""	""
"2.WT.D.n3"	"Arabidopsis thaliana"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/3702"	"Arabidopsis thaliana str. Col-0"	""	""	"rosette leaf"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0003086"	"Sample collection"	"2.WT.D.n3"	"Col-0 wild type (WT)"	""	""	"Drought stress (D)"	""	""
"2.WT.D.1"	"Arabidopsis thaliana"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/3702"	"Arabidopsis thaliana str. Col-0"	""	""	"rosette leaf"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0003086"	"Sample collection"	"2.WT.D.1"	"Col-0 wild type (WT)"	""	""	"Drought stress (D)"	""	""
"2.WT.D.n5"	"Arabidopsis thaliana"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/3702"	"Arabidopsis thaliana str. Col-0"	""	""	"rosette leaf"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0003086"	"Sample collection"	"2.WT.D.n5"	"Col-0 wild type (WT)"	""	""	"Drought stress (D)"	""	""
"2.WT.Control.1"	"Arabidopsis thaliana"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/3702"	"Arabidopsis thaliana str. Col-0"	""	""	"rosette leaf"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0003086"	"Sample collection"	"2.WT.Control.1"	"Col-0 wild type (WT)"	""	""	"Control"	""	""
"3.WT.Control.n10"	"Arabidopsis thaliana"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/3702"	"Arabidopsis thaliana str. Col-0"	""	""	"rosette leaf"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0003086"	"Sample collection"	"3.WT.Control.n10"	"Col-0 wild type (WT)"	""	""	"Control"	""	""
"2.WT.Control.3"	"Arabidopsis thaliana"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/3702"	"Arabidopsis thaliana str. Col-0"	""	""	"rosette leaf"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0003086"	"Sample collection"	"2.WT.Control.3"	"Col-0 wild type (WT)"	""	""	"Control"	""	""
"2.WT.Control.n3"	"Arabidopsis thaliana"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/3702"	"Arabidopsis thaliana str. Col-0"	""	""	"rosette leaf"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0003086"	"Sample collection"	"2.WT.Control.n3"	"Col-0 wild type (WT)"	""	""	"Control"	""	""
"2.WT.Control.2"	"Arabidopsis thaliana"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/3702"	"Arabidopsis thaliana str. Col-0"	""	""	"rosette leaf"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0003086"	"Sample collection"	"2.WT.Control.2"	"Col-0 wild type (WT)"	""	""	"Control"	""	""
"2.WT.Control.n5"	"Arabidopsis thaliana"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/3702"	"Arabidopsis thaliana str. Col-0"	""	""	"rosette leaf"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0003086"	"Sample collection"	"2.WT.Control.n5"	"Col-0 wild type (WT)"	""	""	"Control"	""	""
"3.WT.Control.3"	"Arabidopsis thaliana"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/3702"	"Arabidopsis thaliana str. Col-0"	""	""	"rosette leaf"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0003086"	"Sample collection"	"3.WT.Control.3"	"Col-0 wild type (WT)"	""	""	"Control"	""	""
"3.WT.Control.1"	"Arabidopsis thaliana"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/3702"	"Arabidopsis thaliana str. Col-0"	""	""	"rosette leaf"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0003086"	"Sample collection"	"3.WT.Control.1"	"Col-0 wild type (WT)"	""	""	"Control"	""	""
"2.WT.DH_HrH.2"	"Arabidopsis thaliana"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/3702"	"Arabidopsis thaliana str. Col-0"	""	""	"rosette leaf"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0003086"	"Sample collection"	"2.WT.DH_HrH.2"	"Col-0 wild type (WT)"	""	""	"Drought stress plus heat stress with high relative air humidity (DH_HrH)"	""	""
"3.WT.DH_HrH.n10"	"Arabidopsis thaliana"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/3702"	"Arabidopsis thaliana str. Col-0"	""	""	"rosette leaf"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0003086"	"Sample collection"	"3.WT.DH_HrH.n10"	"Col-0 wild type (WT)"	""	""	"Drought stress plus heat stress with high relative air humidity (DH_HrH)"	""	""
"2.WT.DH_HrH.1"	"Arabidopsis thaliana"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/3702"	"Arabidopsis thaliana str. Col-0"	""	""	"rosette leaf"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0003086"	"Sample collection"	"2.WT.DH_HrH.1"	"Col-0 wild type (WT)"	""	""	"Drought stress plus heat stress with high relative air humidity (DH_HrH)"	""	""
"2.WT.DH_HrH.3"	"Arabidopsis thaliana"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/3702"	"Arabidopsis thaliana str. Col-0"	""	""	"rosette leaf"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0003086"	"Sample collection"	"2.WT.DH_HrH.3"	"Col-0 wild type (WT)"	""	""	"Drought stress plus heat stress with high relative air humidity (DH_HrH)"	""	""
"2.WT.DH_HrH.n4"	"Arabidopsis thaliana"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/3702"	"Arabidopsis thaliana str. Col-0"	""	""	"rosette leaf"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0003086"	"Sample collection"	"2.WT.DH_HrH.n4"	"Col-0 wild type (WT)"	""	""	"Drought stress plus heat stress with high relative air humidity (DH_HrH)"	""	""
"2.WT.DH_HrH.n5"	"Arabidopsis thaliana"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/3702"	"Arabidopsis thaliana str. Col-0"	""	""	"rosette leaf"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0003086"	"Sample collection"	"2.WT.DH_HrH.n5"	"Col-0 wild type (WT)"	""	""	"Drought stress plus heat stress with high relative air humidity (DH_HrH)"	""	""
"3.WT.DH_HrH.2"	"Arabidopsis thaliana"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/3702"	"Arabidopsis thaliana str. Col-0"	""	""	"rosette leaf"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0003086"	"Sample collection"	"3.WT.DH_HrH.2"	"Col-0 wild type (WT)"	""	""	"Drought stress plus heat stress with high relative air humidity (DH_HrH)"	""	""
"3.WT.DH_HrH.n9"	"Arabidopsis thaliana"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/3702"	"Arabidopsis thaliana str. Col-0"	""	""	"rosette leaf"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0003086"	"Sample collection"	"3.WT.DH_HrH.n9"	"Col-0 wild type (WT)"	""	""	"Drought stress plus heat stress with high relative air humidity (DH_HrH)"	""	""
"2.WT.H_HrH.2"	"Arabidopsis thaliana"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/3702"	"Arabidopsis thaliana str. Col-0"	""	""	"rosette leaf"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0003086"	"Sample collection"	"2.WT.H_HrH.2"	"Col-0 wild type (WT)"	""	""	"Heat stress with high relative air humidity (H_HrH)"	""	""
"3.WT.H_HrH.2"	"Arabidopsis thaliana"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/3702"	"Arabidopsis thaliana str. Col-0"	""	""	"rosette leaf"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0003086"	"Sample collection"	"3.WT.H_HrH.2"	"Col-0 wild type (WT)"	""	""	"Heat stress with high relative air humidity (H_HrH)"	""	""
"2.WT.H_HrH.n2"	"Arabidopsis thaliana"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/3702"	"Arabidopsis thaliana str. Col-0"	""	""	"rosette leaf"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0003086"	"Sample collection"	"2.WT.H_HrH.n2"	"Col-0 wild type (WT)"	""	""	"Heat stress with high relative air humidity (H_HrH)"	""	""
"2.WT.H_HrH.3"	"Arabidopsis thaliana"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/3702"	"Arabidopsis thaliana str. Col-0"	""	""	"rosette leaf"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0003086"	"Sample collection"	"2.WT.H_HrH.3"	"Col-0 wild type (WT)"	""	""	"Heat stress with high relative air humidity (H_HrH)"	""	""
"2.WT.H_HrH.n4"	"Arabidopsis thaliana"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/3702"	"Arabidopsis thaliana str. Col-0"	""	""	"rosette leaf"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0003086"	"Sample collection"	"2.WT.H_HrH.n4"	"Col-0 wild type (WT)"	""	""	"Heat stress with high relative air humidity (H_HrH)"	""	""
"2.WT.H_HrH.1"	"Arabidopsis thaliana"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/3702"	"Arabidopsis thaliana str. Col-0"	""	""	"rosette leaf"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0003086"	"Sample collection"	"2.WT.H_HrH.1"	"Col-0 wild type (WT)"	""	""	"Heat stress with high relative air humidity (H_HrH)"	""	""
"3.WT.H_HrH.n8"	"Arabidopsis thaliana"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/3702"	"Arabidopsis thaliana str. Col-0"	""	""	"rosette leaf"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0003086"	"Sample collection"	"3.WT.H_HrH.n8"	"Col-0 wild type (WT)"	""	""	"Heat stress with high relative air humidity (H_HrH)"	""	""
"3.WT.H_HrH.n9"	"Arabidopsis thaliana"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/3702"	"Arabidopsis thaliana str. Col-0"	""	""	"rosette leaf"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0003086"	"Sample collection"	"3.WT.H_HrH.n9"	"Col-0 wild type (WT)"	""	""	"Heat stress with high relative air humidity (H_HrH)"	""	""
"3.WT.DH_LrH.1"	"Arabidopsis thaliana"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/3702"	"Arabidopsis thaliana str. Col-0"	""	""	"rosette leaf"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0003086"	"Sample collection"	"3.WT.DH_LrH.1"	"Col-0 wild type (WT)"	""	""	"Drought stress plus heat stress with low relative air humidity (DH_LrH)"	""	""
"3.WT.DH_LrH.n9"	"Arabidopsis thaliana"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/3702"	"Arabidopsis thaliana str. Col-0"	""	""	"rosette leaf"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0003086"	"Sample collection"	"3.WT.DH_LrH.n9"	"Col-0 wild type (WT)"	""	""	"Drought stress plus heat stress with low relative air humidity (DH_LrH)"	""	""
"3.WT.DH_LrH.n10"	"Arabidopsis thaliana"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/3702"	"Arabidopsis thaliana str. Col-0"	""	""	"rosette leaf"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0003086"	"Sample collection"	"3.WT.DH_LrH.n10"	"Col-0 wild type (WT)"	""	""	"Drought stress plus heat stress with low relative air humidity (DH_LrH)"	""	""
"3.WT.H_LrH.3"	"Arabidopsis thaliana"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/3702"	"Arabidopsis thaliana str. Col-0"	""	""	"rosette leaf"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0003086"	"Sample collection"	"3.WT.H_LrH.3"	"Col-0 wild type (WT)"	""	""	"Heat stress with low relative air humidity (H_LrH)"	""	""
"3.WT.H_LrH.1"	"Arabidopsis thaliana"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/3702"	"Arabidopsis thaliana str. Col-0"	""	""	"rosette leaf"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0003086"	"Sample collection"	"3.WT.H_LrH.1"	"Col-0 wild type (WT)"	""	""	"Heat stress with low relative air humidity (H_LrH)"	""	""
"3.WT.H_LrH.n10"	"Arabidopsis thaliana"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/3702"	"Arabidopsis thaliana str. Col-0"	""	""	"rosette leaf"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0003086"	"Sample collection"	"3.WT.H_LrH.n10"	"Col-0 wild type (WT)"	""	""	"Heat stress with low relative air humidity (H_LrH)"	""	""
"4.DM.Control.1"	"Arabidopsis thaliana"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/3702"	"Arabidopsis thaliana str. Col-0"	""	""	"rosette leaf"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0003086"	"Sample collection"	"4.DM.Control.1"	"pip2;1 pip2;2 double mutant (DM)"	""	""	"Control"	""	""
"4.DM.Control.2"	"Arabidopsis thaliana"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/3702"	"Arabidopsis thaliana str. Col-0"	""	""	"rosette leaf"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0003086"	"Sample collection"	"4.DM.Control.2"	"pip2;1 pip2;2 double mutant (DM)"	""	""	"Control"	""	""
"4.DM.Control.s88"	"Arabidopsis thaliana"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/3702"	"Arabidopsis thaliana str. Col-0"	""	""	"rosette leaf"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0003086"	"Sample collection"	"4.DM.Control.s88"	"pip2;1 pip2;2 double mutant (DM)"	""	""	"Control"	""	""
"4.DM.Control.3"	"Arabidopsis thaliana"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/3702"	"Arabidopsis thaliana str. Col-0"	""	""	"rosette leaf"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0003086"	"Sample collection"	"4.DM.Control.3"	"pip2;1 pip2;2 double mutant (DM)"	""	""	"Control"	""	""
"4.DM.Control.s90"	"Arabidopsis thaliana"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/3702"	"Arabidopsis thaliana str. Col-0"	""	""	"rosette leaf"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0003086"	"Sample collection"	"4.DM.Control.s90"	"pip2;1 pip2;2 double mutant (DM)"	""	""	"Control"	""	""
"4.WT.Control.s156"	"Arabidopsis thaliana"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/3702"	"Arabidopsis thaliana str. Col-0"	""	""	"rosette leaf"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0003086"	"Sample collection"	"4.WT.Control.s156"	"Col-0 wild type (WT)"	""	""	"Control"	""	""
"4.WT.Control.s157"	"Arabidopsis thaliana"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/3702"	"Arabidopsis thaliana str. Col-0"	""	""	"rosette leaf"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0003086"	"Sample collection"	"4.WT.Control.s157"	"Col-0 wild type (WT)"	""	""	"Control"	""	""
"4.WT.Control.1"	"Arabidopsis thaliana"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/3702"	"Arabidopsis thaliana str. Col-0"	""	""	"rosette leaf"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0003086"	"Sample collection"	"4.WT.Control.1"	"Col-0 wild type (WT)"	""	""	"Control"	""	""
"4.WT.Control.2"	"Arabidopsis thaliana"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/3702"	"Arabidopsis thaliana str. Col-0"	""	""	"rosette leaf"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0003086"	"Sample collection"	"4.WT.Control.2"	"Col-0 wild type (WT)"	""	""	"Control"	""	""
"4.WT.Control.3"	"Arabidopsis thaliana"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/3702"	"Arabidopsis thaliana str. Col-0"	""	""	"rosette leaf"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0003086"	"Sample collection"	"4.WT.Control.3"	"Col-0 wild type (WT)"	""	""	"Control"	""	""
"4.DM.D.s71"	"Arabidopsis thaliana"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/3702"	"Arabidopsis thaliana str. Col-0"	""	""	"rosette leaf"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0003086"	"Sample collection"	"4.DM.D.s71"	"pip2;1 pip2;2 double mutant (DM)"	""	""	"Drought stress (D)"	""	""
"4.DM.D.1"	"Arabidopsis thaliana"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/3702"	"Arabidopsis thaliana str. Col-0"	""	""	"rosette leaf"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0003086"	"Sample collection"	"4.DM.D.1"	"pip2;1 pip2;2 double mutant (DM)"	""	""	"Drought stress (D)"	""	""
"4.DM.D.2"	"Arabidopsis thaliana"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/3702"	"Arabidopsis thaliana str. Col-0"	""	""	"rosette leaf"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0003086"	"Sample collection"	"4.DM.D.2"	"pip2;1 pip2;2 double mutant (DM)"	""	""	"Drought stress (D)"	""	""
"4.DM.D.3"	"Arabidopsis thaliana"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/3702"	"Arabidopsis thaliana str. Col-0"	""	""	"rosette leaf"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0003086"	"Sample collection"	"4.DM.D.3"	"pip2;1 pip2;2 double mutant (DM)"	""	""	"Drought stress (D)"	""	""
"4.DM.D.s75"	"Arabidopsis thaliana"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/3702"	"Arabidopsis thaliana str. Col-0"	""	""	"rosette leaf"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0003086"	"Sample collection"	"4.DM.D.s75"	"pip2;1 pip2;2 double mutant (DM)"	""	""	"Drought stress (D)"	""	""
"4.WT.D.1"	"Arabidopsis thaliana"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/3702"	"Arabidopsis thaliana str. Col-0"	""	""	"rosette leaf"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0003086"	"Sample collection"	"4.WT.D.1"	"Col-0 wild type (WT)"	""	""	"Drought stress (D)"	""	""
"4.WT.D.2"	"Arabidopsis thaliana"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/3702"	"Arabidopsis thaliana str. Col-0"	""	""	"rosette leaf"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0003086"	"Sample collection"	"4.WT.D.2"	"Col-0 wild type (WT)"	""	""	"Drought stress (D)"	""	""
"4.WT.D.3"	"Arabidopsis thaliana"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/3702"	"Arabidopsis thaliana str. Col-0"	""	""	"rosette leaf"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0003086"	"Sample collection"	"4.WT.D.3"	"Col-0 wild type (WT)"	""	""	"Drought stress (D)"	""	""
"4.WT.D.s144"	"Arabidopsis thaliana"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/3702"	"Arabidopsis thaliana str. Col-0"	""	""	"rosette leaf"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0003086"	"Sample collection"	"4.WT.D.s144"	"Col-0 wild type (WT)"	""	""	"Drought stress (D)"	""	""
"4.WT.D.s145"	"Arabidopsis thaliana"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/3702"	"Arabidopsis thaliana str. Col-0"	""	""	"rosette leaf"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0003086"	"Sample collection"	"4.WT.D.s145"	"Col-0 wild type (WT)"	""	""	"Drought stress (D)"	""	""
