"Source Name"	"Characteristics[Organism]"	"Term Source REF"	"Term Accession Number"	"Characteristics[Organism part]"	"Term Source REF"	"Term Accession Number"	"Protocol REF"	"Sample Name"	"Factor Value[EthAc percentage]"	"Unit"	"Term Source REF"	"Term Accession Number"	"Factor Value[Sample type]"	"Term Source REF"	"Term Accession Number"
"Leaf extract"	"Manihot esculenta"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/3983"	"leaf"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000713"	"Sample collection"	"E095_C_054"	"95"	"percent"	"UO"	"http://purl.obolibrary.org/obo/UO_0000187"	"Cassave extract"	""	""
"Leaf extract"	"Manihot esculenta"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/3983"	"leaf"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000713"	"Sample collection"	"E040_B_055"	"10"	"percent"	"UO"	"http://purl.obolibrary.org/obo/UO_0000187"	"Cassave extract"	""	""
"Leaf extract"	"Manihot esculenta"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/3983"	"leaf"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000713"	"Sample collection"	"E070_B_058"	"70"	"percent"	"UO"	"http://purl.obolibrary.org/obo/UO_0000187"	"Cassave extract"	""	""
"Leaf extract"	"Manihot esculenta"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/3983"	"leaf"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000713"	"Sample collection"	"E095_B_059"	"95"	"percent"	"UO"	"http://purl.obolibrary.org/obo/UO_0000187"	"Cassave extract"	""	""
"Leaf extract"	"Manihot esculenta"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/3983"	"leaf"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000713"	"Sample collection"	"E015_A_060"	"15"	"percent"	"UO"	"http://purl.obolibrary.org/obo/UO_0000187"	"Cassave extract"	""	""
"Leaf extract"	"Manihot esculenta"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/3983"	"leaf"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000713"	"Sample collection"	"E000_B_061"	"0"	"percent"	"UO"	"http://purl.obolibrary.org/obo/UO_0000187"	"Cassave extract"	""	""
"Leaf extract"	"Manihot esculenta"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/3983"	"leaf"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000713"	"Sample collection"	"E090_B_062"	"90"	"percent"	"UO"	"http://purl.obolibrary.org/obo/UO_0000187"	"Cassave extract"	""	""
"Leaf extract"	"Manihot esculenta"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/3983"	"leaf"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000713"	"Sample collection"	"E065_B_064"	"65"	"percent"	"UO"	"http://purl.obolibrary.org/obo/UO_0000187"	"Cassave extract"	""	""
"Leaf extract"	"Manihot esculenta"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/3983"	"leaf"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000713"	"Sample collection"	"E045_B_065"	"45"	"percent"	"UO"	"http://purl.obolibrary.org/obo/UO_0000187"	"Cassave extract"	""	""
"Leaf extract"	"Manihot esculenta"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/3983"	"leaf"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000713"	"Sample collection"	"E005_C_067"	"5"	"percent"	"UO"	"http://purl.obolibrary.org/obo/UO_0000187"	"Cassave extract"	""	""
"Leaf extract"	"Manihot esculenta"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/3983"	"leaf"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000713"	"Sample collection"	"E100_B_068"	"100"	"percent"	"UO"	"http://purl.obolibrary.org/obo/UO_0000187"	"Cassave extract"	""	""
"Leaf extract"	"Manihot esculenta"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/3983"	"leaf"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000713"	"Sample collection"	"E080_A_069"	"80"	"percent"	"UO"	"http://purl.obolibrary.org/obo/UO_0000187"	"Cassave extract"	""	""
"Leaf extract"	"Manihot esculenta"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/3983"	"leaf"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000713"	"Sample collection"	"E015_B_070"	"15"	"percent"	"UO"	"http://purl.obolibrary.org/obo/UO_0000187"	"Cassave extract"	""	""
