Source Name	Characteristics[organism]	Term Source REF	Term Accession Number	Characteristics[organism part]	Term Source REF	Term Accession Number	Protocol REF	Sample Name	Factor Value[genotype]	Factor Value[sex]	Factor Value[animal generation]
Outbred1069	Rattus norvegicus	NCBITaxon	NCBITaxon:10116	multi-cellular organism	UBERON	UBERON:0000468	Animals	Outbred1069	Outbred1069	M	68
Outbred107	Rattus norvegicus	NCBITaxon	NCBITaxon:10116	multi-cellular organism	UBERON	UBERON:0000468	Animals	Outbred107	Outbred107	M	64
Outbred1070	Rattus norvegicus	NCBITaxon	NCBITaxon:10116	multi-cellular organism	UBERON	UBERON:0000468	Animals	Outbred1070	Outbred1070	M	68
Outbred1071	Rattus norvegicus	NCBITaxon	NCBITaxon:10116	multi-cellular organism	UBERON	UBERON:0000468	Animals	Outbred1071	Outbred1071	M	68
Outbred1072	Rattus norvegicus	NCBITaxon	NCBITaxon:10116	multi-cellular organism	UBERON	UBERON:0000468	Animals	Outbred1072	Outbred1072	M	68
Outbred1073	Rattus norvegicus	NCBITaxon	NCBITaxon:10116	multi-cellular organism	UBERON	UBERON:0000468	Animals	Outbred1073	Outbred1073	M	68
Outbred1074	Rattus norvegicus	NCBITaxon	NCBITaxon:10116	multi-cellular organism	UBERON	UBERON:0000468	Animals	Outbred1074	Outbred1074	M	68
Outbred1075	Rattus norvegicus	NCBITaxon	NCBITaxon:10116	multi-cellular organism	UBERON	UBERON:0000468	Animals	Outbred1075	Outbred1075	M	68
Outbred1076	Rattus norvegicus	NCBITaxon	NCBITaxon:10116	multi-cellular organism	UBERON	UBERON:0000468	Animals	Outbred1076	Outbred1076	M	68
Outbred1077	Rattus norvegicus	NCBITaxon	NCBITaxon:10116	multi-cellular organism	UBERON	UBERON:0000468	Animals	Outbred1077	Outbred1077	M	68
Outbred1078	Rattus norvegicus	NCBITaxon	NCBITaxon:10116	multi-cellular organism	UBERON	UBERON:0000468	Animals	Outbred1078	Outbred1078	M	68
Outbred1079	Rattus norvegicus	NCBITaxon	NCBITaxon:10116	multi-cellular organism	UBERON	UBERON:0000468	Animals	Outbred1079	Outbred1079	M	68
Outbred108	Rattus norvegicus	NCBITaxon	NCBITaxon:10116	multi-cellular organism	UBERON	UBERON:0000468	Animals	Outbred108	Outbred108	M	64
Outbred1080	Rattus norvegicus	NCBITaxon	NCBITaxon:10116	multi-cellular organism	UBERON	UBERON:0000468	Animals	Outbred1080	Outbred1080	M	68
Outbred1081	Rattus norvegicus	NCBITaxon	NCBITaxon:10116	multi-cellular organism	UBERON	UBERON:0000468	Animals	Outbred1081	Outbred1081	M	68
Outbred1082	Rattus norvegicus	NCBITaxon	NCBITaxon:10116	multi-cellular organism	UBERON	UBERON:0000468	Animals	Outbred1082	Outbred1082	M	68
Outbred1083	Rattus norvegicus	NCBITaxon	NCBITaxon:10116	multi-cellular organism	UBERON	UBERON:0000468	Animals	Outbred1083	Outbred1083	M	68
Outbred1084	Rattus norvegicus	NCBITaxon	NCBITaxon:10116	multi-cellular organism	UBERON	UBERON:0000468	Animals	Outbred1084	Outbred1084	M	68
Outbred1085	Rattus norvegicus	NCBITaxon	NCBITaxon:10116	multi-cellular organism	UBERON	UBERON:0000468	Animals	Outbred1085	Outbred1085	M	68
Outbred1086	Rattus norvegicus	NCBITaxon	NCBITaxon:10116	multi-cellular organism	UBERON	UBERON:0000468	Animals	Outbred1086	Outbred1086	M	68
Outbred1087	Rattus norvegicus	NCBITaxon	NCBITaxon:10116	multi-cellular organism	UBERON	UBERON:0000468	Animals	Outbred1087	Outbred1087	M	68
Outbred1088	Rattus norvegicus	NCBITaxon	NCBITaxon:10116	multi-cellular organism	UBERON	UBERON:0000468	Animals	Outbred1088	Outbred1088	M	68
Outbred1089	Rattus norvegicus	NCBITaxon	NCBITaxon:10116	multi-cellular organism	UBERON	UBERON:0000468	Animals	Outbred1089	Outbred1089	M	68
Outbred109	Rattus norvegicus	NCBITaxon	NCBITaxon:10116	multi-cellular organism	UBERON	UBERON:0000468	Animals	Outbred109	Outbred109	M	64
