"Source Name"	"Characteristics[Organism]"	"Term Source REF"	"Term Accession Number"	"Characteristics[Variant]"	"Term Source REF"	"Term Accession Number"	"Characteristics[Organism part]"	"Term Source REF"	"Term Accession Number"	"Protocol REF"	"Sample Name"	"Factor Value[tissue type]"	"Term Source REF"	"Term Accession Number"	"Factor Value[genotype]"	"Term Source REF"	"Term Accession Number"	"Factor Value[sampling time]"	"Unit"	"Term Source REF"	"Term Accession Number"
"WB_CC_BAT_24"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	"Mus musculus str. Arntl-/-"	""	""	"brown adipose tissue"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000156"	"Sample collection"	"WB_CC_BAT_24"	"brown adipose tissue"	""	""	"Arntl-/-"	""	""	"6"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"
"WB_CC_BAT_25"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	"Mus musculus str. Arntl-/-"	""	""	"brown adipose tissue"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000156"	"Sample collection"	"WB_CC_BAT_25"	"brown adipose tissue"	""	""	"Arntl-/-"	""	""	"12"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"
"WB_CC_BAT_26"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	"Mus musculus str. Arntl-/-"	""	""	"brown adipose tissue"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000156"	"Sample collection"	"WB_CC_BAT_26"	"brown adipose tissue"	""	""	"Arntl-/-"	""	""	"18"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"
"WB_CC_BAT_28"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	""	""	""	"brown adipose tissue"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000156"	"Sample collection"	"WB_CC_BAT_28"	"brown adipose tissue"	""	""	"WT"	""	""	"0"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"
"WB_CC_BAT_29"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	""	""	""	"brown adipose tissue"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000156"	"Sample collection"	"WB_CC_BAT_29"	"brown adipose tissue"	""	""	"WT"	""	""	"6"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"
"WB_CC_BAT_30"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	""	""	""	"brown adipose tissue"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000156"	"Sample collection"	"WB_CC_BAT_30"	"brown adipose tissue"	""	""	"WT"	""	""	"12"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"
"WB_CC_BAT_31"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	""	""	""	"brown adipose tissue"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000156"	"Sample collection"	"WB_CC_BAT_31"	"brown adipose tissue"	""	""	"WT"	""	""	"18"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"
"WB_CC_BAT_32"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	"Mus musculus str. Arntl-/-"	""	""	"brown adipose tissue"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000156"	"Sample collection"	"WB_CC_BAT_32"	"brown adipose tissue"	""	""	"Arntl-/-"	""	""	"0"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"
"WB_CC_BAT_33"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	"Mus musculus str. Arntl-/-"	""	""	"brown adipose tissue"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000156"	"Sample collection"	"WB_CC_BAT_33"	"brown adipose tissue"	""	""	"Arntl-/-"	""	""	"6"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"
"WB_CC_BAT_34"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	"Mus musculus str. Arntl-/-"	""	""	"brown adipose tissue"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000156"	"Sample collection"	"WB_CC_BAT_34"	"brown adipose tissue"	""	""	"Arntl-/-"	""	""	"12"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"
"WB_CC_BAT_35"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	"Mus musculus str. Arntl-/-"	""	""	"brown adipose tissue"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000156"	"Sample collection"	"WB_CC_BAT_35"	"brown adipose tissue"	""	""	"Arntl-/-"	""	""	"18"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"
"WB_CC_BAT_36"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	""	""	""	"brown adipose tissue"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000156"	"Sample collection"	"WB_CC_BAT_36"	"brown adipose tissue"	""	""	"WT"	""	""	"0"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"
"WB_CC_BAT_37"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	""	""	""	"brown adipose tissue"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000156"	"Sample collection"	"WB_CC_BAT_37"	"brown adipose tissue"	""	""	"WT"	""	""	"6"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"
"WB_CC_BAT_39"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	""	""	""	"brown adipose tissue"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000156"	"Sample collection"	"WB_CC_BAT_39"	"brown adipose tissue"	""	""	"WT"	""	""	"12"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"
"WB_CC_BAT_40"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	""	""	""	"brown adipose tissue"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000156"	"Sample collection"	"WB_CC_BAT_40"	"brown adipose tissue"	""	""	"WT"	""	""	"18"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"
"WB_CC_BAT_41"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	"Mus musculus str. Arntl-/-"	""	""	"brown adipose tissue"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000156"	"Sample collection"	"WB_CC_BAT_41"	"brown adipose tissue"	""	""	"Arntl-/-"	""	""	"0"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"
"WB_CC_BAT_42"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	"Mus musculus str. Arntl-/-"	""	""	"brown adipose tissue"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000156"	"Sample collection"	"WB_CC_BAT_42"	"brown adipose tissue"	""	""	"Arntl-/-"	""	""	"6"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"
"WB_CC_BAT_43"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	"Mus musculus str. Arntl-/-"	""	""	"brown adipose tissue"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000156"	"Sample collection"	"WB_CC_BAT_43"	"brown adipose tissue"	""	""	"Arntl-/-"	""	""	"12"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"
"WB_CC_BAT_44"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	"Mus musculus str. Arntl-/-"	""	""	"brown adipose tissue"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000156"	"Sample collection"	"WB_CC_BAT_44"	"brown adipose tissue"	""	""	"Arntl-/-"	""	""	"18"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"
"WB_CC_BAT_45"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	""	""	""	"brown adipose tissue"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000156"	"Sample collection"	"WB_CC_BAT_45"	"brown adipose tissue"	""	""	"WT"	""	""	"0"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"
"WB_CC_BAT_46"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	""	""	""	"brown adipose tissue"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000156"	"Sample collection"	"WB_CC_BAT_46"	"brown adipose tissue"	""	""	"WT"	""	""	"6"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"
"WB_CC_BAT_47"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	""	""	""	"brown adipose tissue"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000156"	"Sample collection"	"WB_CC_BAT_47"	"brown adipose tissue"	""	""	"WT"	""	""	"12"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"
"WB_CC_BAT_48"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	""	""	""	"brown adipose tissue"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000156"	"Sample collection"	"WB_CC_BAT_48"	"brown adipose tissue"	""	""	"WT"	""	""	"18"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"
"WB_CC_BAT_50"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	"Mus musculus str. Arntl-/-"	""	""	"brown adipose tissue"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000156"	"Sample collection"	"WB_CC_BAT_50"	"brown adipose tissue"	""	""	"Arntl-/-"	""	""	"0"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"
"WB_CC_BAT_51"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	"Mus musculus str. Arntl-/-"	""	""	"brown adipose tissue"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000156"	"Sample collection"	"WB_CC_BAT_51"	"brown adipose tissue"	""	""	"Arntl-/-"	""	""	"6"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"
"WB_CC_BAT_52"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	"Mus musculus str. Arntl-/-"	""	""	"brown adipose tissue"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000156"	"Sample collection"	"WB_CC_BAT_52"	"brown adipose tissue"	""	""	"Arntl-/-"	""	""	"12"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"
"WB_CC_BAT_53"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	"Mus musculus str. Arntl-/-"	""	""	"brown adipose tissue"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000156"	"Sample collection"	"WB_CC_BAT_53"	"brown adipose tissue"	""	""	"Arntl-/-"	""	""	"18"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"
"WB_CC_BAT_54"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	""	""	""	"brown adipose tissue"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000156"	"Sample collection"	"WB_CC_BAT_54"	"brown adipose tissue"	""	""	"WT"	""	""	"0"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"
"WB_CC_BAT_55"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	""	""	""	"brown adipose tissue"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000156"	"Sample collection"	"WB_CC_BAT_55"	"brown adipose tissue"	""	""	"WT"	""	""	"6"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"
"WB_CC_BAT_56"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	""	""	""	"brown adipose tissue"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000156"	"Sample collection"	"WB_CC_BAT_56"	"brown adipose tissue"	""	""	"WT"	""	""	"12"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"
"WB_CC_BAT_57"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	""	""	""	"brown adipose tissue"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000156"	"Sample collection"	"WB_CC_BAT_57"	"brown adipose tissue"	""	""	"WT"	""	""	"18"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"
