"Source Name"	"Characteristics[Organism]"	"Term Source REF"	"Term Accession Number"	"Characteristics[Organism part]"	"Term Source REF"	"Term Accession Number"	"Protocol REF"	"Sample Name"	"Factor Value[Age]"	"Unit"	"Term Source REF"	"Term Accession Number"	"Factor Value[Gender]"	"Term Source REF"	"Term Accession Number"	"Factor Value[Genotype]"	"Term Source REF"	"Term Accession Number"
"callipyge_plasma_137"	"Ovis aries"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9940"	"blood plasma"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000131"	"Sample collection"	"callipyge_plasma_137"	"12"	"week"	"UO"	"http://purl.obolibrary.org/obo/UO_0000034"	"Male"	""	""	"Normal"	""	""
"callipyge_plasma_138"	"Ovis aries"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9940"	"blood plasma"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000131"	"Sample collection"	"callipyge_plasma_138"	"12"	"week"	"UO"	"http://purl.obolibrary.org/obo/UO_0000034"	"Male"	""	""	"Callipyge"	""	""
"callipyge_plasma_139"	"Ovis aries"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9940"	"blood plasma"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000131"	"Sample collection"	"callipyge_plasma_139"	"12"	"week"	"UO"	"http://purl.obolibrary.org/obo/UO_0000034"	"Female"	""	""	"Callipyge"	""	""
"callipyge_plasma_140"	"Ovis aries"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9940"	"blood plasma"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000131"	"Sample collection"	"callipyge_plasma_140"	"12"	"week"	"UO"	"http://purl.obolibrary.org/obo/UO_0000034"	"Male"	""	""	"Normal"	""	""
"callipyge_plasma_142"	"Ovis aries"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9940"	"blood plasma"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000131"	"Sample collection"	"callipyge_plasma_142"	"12"	"week"	"UO"	"http://purl.obolibrary.org/obo/UO_0000034"	"Male"	""	""	"Normal"	""	""
"callipyge_plasma_143"	"Ovis aries"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9940"	"blood plasma"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000131"	"Sample collection"	"callipyge_plasma_143"	"12"	"week"	"UO"	"http://purl.obolibrary.org/obo/UO_0000034"	"Male"	""	""	"Callipyge"	""	""
"callipyge_plasma_144"	"Ovis aries"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9940"	"blood plasma"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000131"	"Sample collection"	"callipyge_plasma_144"	"12"	"week"	"UO"	"http://purl.obolibrary.org/obo/UO_0000034"	"Male"	""	""	"Normal"	""	""
"callipyge_plasma_145"	"Ovis aries"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9940"	"blood plasma"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000131"	"Sample collection"	"callipyge_plasma_145"	"12"	"week"	"UO"	"http://purl.obolibrary.org/obo/UO_0000034"	"Male"	""	""	"Callipyge"	""	""
"callipyge_plasma_146"	"Ovis aries"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9940"	"blood plasma"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000131"	"Sample collection"	"callipyge_plasma_146"	"12"	"week"	"UO"	"http://purl.obolibrary.org/obo/UO_0000034"	"Male"	""	""	"Normal"	""	""
"callipyge_plasma_147"	"Ovis aries"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9940"	"blood plasma"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000131"	"Sample collection"	"callipyge_plasma_147"	"12"	"week"	"UO"	"http://purl.obolibrary.org/obo/UO_0000034"	"Male"	""	""	"Callipyge"	""	""
