"Source Name"	"Characteristics[Organism]"	"Term Source REF"	"Term Accession Number"	"Characteristics[Variant]"	"Term Source REF"	"Term Accession Number"	"Characteristics[Organism part]"	"Term Source REF"	"Term Accession Number"	"Protocol REF"	"Sample Name"	"Factor Value[Apple number]"	"Term Source REF"	"Term Accession Number"	"Factor Value[Injection number]"	"Term Source REF"	"Term Accession Number"	"Factor Value[Replicate]"	"Term Source REF"	"Term Accession Number"	"Factor Value[Batch]"	"Term Source REF"	"Term Accession Number"	"Factor Value[Sample type]"	"Term Source REF"	"Term Accession Number"
"FEM collection"	"Malus domestica"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/3750"	"Malus x domestica Borkh. cv. Ruby Gala"	""	""	"fruit"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000486"	"Sample collection"	"nr203_01"	"3"	""	""	"126"	""	""	"1"	""	""	"1"	""	""	"Ruby Gala"	""	""
"FEM collection"	"Malus domestica"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/3750"	"Malus x domestica Borkh. cv. Ruby Gala"	""	""	"fruit"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000486"	"Sample collection"	"nr204_01"	"4"	""	""	"21"	""	""	"1"	""	""	"1"	""	""	"Ruby Gala"	""	""
"FEM collection"	"Malus domestica"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/3750"	"Malus x domestica Borkh. cv. Ruby Gala"	""	""	"fruit"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000486"	"Sample collection"	"nr205_01"	"5"	""	""	"114"	""	""	"1"	""	""	"1"	""	""	"Ruby Gala"	""	""
"FEM collection"	"Malus domestica"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/3750"	"Malus x domestica Borkh. cv. Ruby Gala"	""	""	"fruit"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000486"	"Sample collection"	"nr206_01"	"6"	""	""	"64"	""	""	"1"	""	""	"1"	""	""	"Ruby Gala"	""	""
"FEM collection"	"Malus domestica"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/3750"	"Malus x domestica Borkh. cv. Ruby Gala"	""	""	"fruit"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000486"	"Sample collection"	"nr207_01"	"7"	""	""	"98"	""	""	"1"	""	""	"1"	""	""	"Ruby Gala"	""	""
"FEM collection"	"Malus domestica"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/3750"	"Malus x domestica Borkh. cv. Ruby Gala"	""	""	"fruit"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000486"	"Sample collection"	"nr208_01"	"8"	""	""	"70"	""	""	"1"	""	""	"1"	""	""	"Ruby Gala"	""	""
"FEM collection"	"Malus domestica"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/3750"	"Malus x domestica Borkh. cv. Ruby Gala"	""	""	"fruit"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000486"	"Sample collection"	"nr209_01"	"9"	""	""	"37"	""	""	"1"	""	""	"1"	""	""	"Ruby Gala"	""	""
"FEM collection"	"Malus domestica"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/3750"	"Malus x domestica Borkh. cv. Ruby Gala"	""	""	"fruit"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000486"	"Sample collection"	"nr210_01"	"10"	""	""	"42"	""	""	"1"	""	""	"1"	""	""	"Ruby Gala"	""	""
"FEM collection"	"Malus domestica"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/3750"	"Malus x domestica Borkh. cv. Ruby Gala"	""	""	"fruit"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000486"	"Sample collection"	"nr211_01"	"11"	""	""	"67"	""	""	"1"	""	""	"1"	""	""	"Ruby Gala"	""	""
"FEM collection"	"Malus domestica"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/3750"	"Malus x domestica Borkh. cv. Ruby Gala"	""	""	"fruit"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000486"	"Sample collection"	"nr212_01"	"12"	""	""	"57"	""	""	"1"	""	""	"1"	""	""	"Ruby Gala"	""	""
"FEM collection"	"Malus domestica"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/3750"	"Malus x domestica Borkh. cv. Ruby Gala"	""	""	"fruit"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000486"	"Sample collection"	"nr213_01"	"13"	""	""	"26"	""	""	"1"	""	""	"1"	""	""	"Ruby Gala"	""	""
"FEM collection"	"Malus domestica"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/3750"	"Malus x domestica Borkh. cv. Ruby Gala"	""	""	"fruit"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000486"	"Sample collection"	"nr214_01"	"14"	""	""	"134"	""	""	"1"	""	""	"1"	""	""	"Ruby Gala"	""	""
"FEM collection"	"Malus domestica"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/3750"	"Malus x domestica Borkh. cv. Ruby Gala"	""	""	"fruit"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000486"	"Sample collection"	"nr215_01"	"15"	""	""	"136"	""	""	"1"	""	""	"1"	""	""	"Ruby Gala"	""	""
"FEM collection"	"Malus domestica"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/3750"	"Malus x domestica Borkh. cv. Fendela de Carli"	""	""	"fruit"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000486"	"Sample collection"	"nr301_01"	"1"	""	""	"11"	""	""	"1"	""	""	"1"	""	""	"Fendela de Carli"	""	""
