"Source Name"	"Characteristics[Organism]"	"Term Source REF"	"Term Accession Number"	"Characteristics[Organism part]"	"Term Source REF"	"Term Accession Number"	"Protocol REF"	"Sample Name"	"Factor Value[Time Point]"	"Term Source REF"	"Term Accession Number"
"1999129"	"Macaca mulatta;NCBITAXON:Plasmodium cynomolgi"	"NCBITAXON"	""	"blood plasma"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000131"	"Sample collection"	"1999129"	"Daily Meta"	""	""
"2003626"	"Macaca mulatta;NCBITAXON:Plasmodium cynomolgi"	"NCBITAXON"	""	"blood plasma"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000131"	"Sample collection"	"2003626"	"Daily Meta"	""	""
"2003631"	"Macaca mulatta;NCBITAXON:Plasmodium cynomolgi"	"NCBITAXON"	""	"blood plasma"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000131"	"Sample collection"	"2003631"	"Daily Meta"	""	""
"2003636"	"Macaca mulatta;NCBITAXON:Plasmodium cynomolgi"	"NCBITAXON"	""	"blood plasma"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000131"	"Sample collection"	"2003636"	"Daily Meta"	""	""
"2003641"	"Macaca mulatta;NCBITAXON:Plasmodium cynomolgi"	"NCBITAXON"	""	"blood plasma"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000131"	"Sample collection"	"2003641"	"Daily Meta"	""	""
"2005631"	"Macaca mulatta;NCBITAXON:Plasmodium cynomolgi"	"NCBITAXON"	""	"blood plasma"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000131"	"Sample collection"	"2005631"	"Daily Meta"	""	""
"2005636"	"Macaca mulatta;NCBITAXON:Plasmodium cynomolgi"	"NCBITAXON"	""	"blood plasma"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000131"	"Sample collection"	"2005636"	"Daily Meta"	""	""
"2005641"	"Macaca mulatta;NCBITAXON:Plasmodium cynomolgi"	"NCBITAXON"	""	"blood plasma"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000131"	"Sample collection"	"2005641"	"TimePoint 3"	""	""
"2005646"	"Macaca mulatta;NCBITAXON:Plasmodium cynomolgi"	"NCBITAXON"	""	"blood plasma"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000131"	"Sample collection"	"2005646"	"Daily Meta"	""	""
"2005890"	"Macaca mulatta;NCBITAXON:Plasmodium cynomolgi"	"NCBITAXON"	""	"blood plasma"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000131"	"Sample collection"	"2005890"	"Daily Meta"	""	""
"2005895"	"Macaca mulatta;NCBITAXON:Plasmodium cynomolgi"	"NCBITAXON"	""	"blood plasma"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000131"	"Sample collection"	"2005895"	"Daily Meta"	""	""
"2005900"	"Macaca mulatta;NCBITAXON:Plasmodium cynomolgi"	"NCBITAXON"	""	"blood plasma"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000131"	"Sample collection"	"2005900"	"Daily Meta"	""	""
"2005905"	"Macaca mulatta;NCBITAXON:Plasmodium cynomolgi"	"NCBITAXON"	""	"blood plasma"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000131"	"Sample collection"	"2005905"	"TimePoint 3"	""	""
"2006374"	"Macaca mulatta;NCBITAXON:Plasmodium cynomolgi"	"NCBITAXON"	""	"blood plasma"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000131"	"Sample collection"	"2006374"	"TimePoint 3"	""	""
