"Source Name"	"Characteristics[Organism]"	"Term Source REF"	"Term Accession Number"	"Characteristics[Organism part]"	"Term Source REF"	"Term Accession Number"	"Protocol REF"	"Sample Name"	"Factor Value[tissue type]"	"Term Source REF"	"Term Accession Number"	"Factor Value[collision energy]"	"Term Source REF"	"Term Accession Number"	"Factor Value[Methanol extraction]"	"Unit"	"Term Source REF"	"Term Accession Number"
"ITB Tissue idMS/MS"	"Nicotiana attenuata"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/49451"	"rosette leaf"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0003086"	"Sample collection"	"LEA2_30EV"	"rosette leaf"	""	""	"30EV"	""	""	"80"	"volume percentage"	"UO"	"http://purl.obolibrary.org/obo/UO_0000165"
"ITB Tissue idMS/MS"	"Nicotiana attenuata"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/49451"	"rosette leaf"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0003086"	"Sample collection"	"LEA2_40EV"	"rosette leaf"	""	""	"40EV"	""	""	"80"	"volume percentage"	"UO"	"http://purl.obolibrary.org/obo/UO_0000165"
"ITB Tissue idMS/MS"	"Nicotiana attenuata"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/49451"	"rosette leaf"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0003086"	"Sample collection"	"LEA2_50EV"	"rosette leaf"	""	""	"50EV"	""	""	"80"	"volume percentage"	"UO"	"http://purl.obolibrary.org/obo/UO_0000165"
"ITB Tissue idMS/MS"	"Nicotiana attenuata"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/49451"	"corolla limb"	""	""	"Sample collection"	"LIM1_MS"	"corolla limb"	""	""	"N/A"	""	""	"20"	"volume percentage"	"UO"	"http://purl.obolibrary.org/obo/UO_0000165"
"ITB Tissue idMS/MS"	"Nicotiana attenuata"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/49451"	"corolla limb"	""	""	"Sample collection"	"LIM1_20EV"	"corolla limb"	""	""	"20EV"	""	""	"20"	"volume percentage"	"UO"	"http://purl.obolibrary.org/obo/UO_0000165"
"ITB Tissue idMS/MS"	"Nicotiana attenuata"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/49451"	"corolla limb"	""	""	"Sample collection"	"LIM1_30EV"	"corolla limb"	""	""	"30EV"	""	""	"20"	"volume percentage"	"UO"	"http://purl.obolibrary.org/obo/UO_0000165"
"ITB Tissue idMS/MS"	"Nicotiana attenuata"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/49451"	"corolla limb"	""	""	"Sample collection"	"LIM1_40EV"	"corolla limb"	""	""	"40EV"	""	""	"20"	"volume percentage"	"UO"	"http://purl.obolibrary.org/obo/UO_0000165"
"ITB Tissue idMS/MS"	"Nicotiana attenuata"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/49451"	"corolla limb"	""	""	"Sample collection"	"LIM1_50EV"	"corolla limb"	""	""	"50EV"	""	""	"20"	"volume percentage"	"UO"	"http://purl.obolibrary.org/obo/UO_0000165"
"ITB Tissue idMS/MS"	"Nicotiana attenuata"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/49451"	"corolla limb"	""	""	"Sample collection"	"LIM2_MS"	"corolla limb"	""	""	"N/A"	""	""	"80"	"volume percentage"	"UO"	"http://purl.obolibrary.org/obo/UO_0000165"
"ITB Tissue idMS/MS"	"Nicotiana attenuata"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/49451"	"corolla limb"	""	""	"Sample collection"	"LIM2_20EV"	"corolla limb"	""	""	"20EV"	""	""	"80"	"volume percentage"	"UO"	"http://purl.obolibrary.org/obo/UO_0000165"
"ITB Tissue idMS/MS"	"Nicotiana attenuata"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/49451"	"corolla limb"	""	""	"Sample collection"	"LIM2_30EV"	"corolla limb"	""	""	"30EV"	""	""	"80"	"volume percentage"	"UO"	"http://purl.obolibrary.org/obo/UO_0000165"
"ITB Tissue idMS/MS"	"Nicotiana attenuata"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/49451"	"corolla limb"	""	""	"Sample collection"	"LIM2_40EV"	"corolla limb"	""	""	"40EV"	""	""	"80"	"volume percentage"	"UO"	"http://purl.obolibrary.org/obo/UO_0000165"
"ITB Tissue idMS/MS"	"Nicotiana attenuata"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/49451"	"corolla limb"	""	""	"Sample collection"	"LIM2_50EV"	"corolla limb"	""	""	"50EV"	""	""	"80"	"volume percentage"	"UO"	"http://purl.obolibrary.org/obo/UO_0000165"
"ITB Tissue idMS/MS"	"Nicotiana attenuata"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/49451"	"nectary"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000357"	"Sample collection"	"NEC1_MS"	"nectary"	""	""	"N/A"	""	""	"20"	"volume percentage"	"UO"	"http://purl.obolibrary.org/obo/UO_0000165"
"ITB Tissue idMS/MS"	"Nicotiana attenuata"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/49451"	"nectary"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000357"	"Sample collection"	"NEC1_20EV"	"nectary"	""	""	"20EV"	""	""	"20"	"volume percentage"	"UO"	"http://purl.obolibrary.org/obo/UO_0000165"
"ITB Tissue idMS/MS"	"Nicotiana attenuata"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/49451"	"nectary"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000357"	"Sample collection"	"NEC1_30EV"	"nectary"	""	""	"30EV"	""	""	"20"	"volume percentage"	"UO"	"http://purl.obolibrary.org/obo/UO_0000165"
"ITB Tissue idMS/MS"	"Nicotiana attenuata"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/49451"	"nectary"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000357"	"Sample collection"	"NEC1_40EV"	"nectary"	""	""	"40EV"	""	""	"20"	"volume percentage"	"UO"	"http://purl.obolibrary.org/obo/UO_0000165"
"ITB Tissue idMS/MS"	"Nicotiana attenuata"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/49451"	"nectary"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000357"	"Sample collection"	"NEC1_50EV"	"nectary"	""	""	"50EV"	""	""	"20"	"volume percentage"	"UO"	"http://purl.obolibrary.org/obo/UO_0000165"
"ITB Tissue idMS/MS"	"Nicotiana attenuata"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/49451"	"nectary"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000357"	"Sample collection"	"NEC2_MS"	"nectary"	""	""	"N/A"	""	""	"80"	"volume percentage"	"UO"	"http://purl.obolibrary.org/obo/UO_0000165"
"ITB Tissue idMS/MS"	"Nicotiana attenuata"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/49451"	"nectary"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000357"	"Sample collection"	"NEC2_20EV"	"nectary"	""	""	"20EV"	""	""	"80"	"volume percentage"	"UO"	"http://purl.obolibrary.org/obo/UO_0000165"
"ITB Tissue idMS/MS"	"Nicotiana attenuata"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/49451"	"nectary"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000357"	"Sample collection"	"NEC2_30EV"	"nectary"	""	""	"30EV"	""	""	"80"	"volume percentage"	"UO"	"http://purl.obolibrary.org/obo/UO_0000165"
"ITB Tissue idMS/MS"	"Nicotiana attenuata"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/49451"	"nectary"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000357"	"Sample collection"	"NEC2_40EV"	"nectary"	""	""	"40EV"	""	""	"80"	"volume percentage"	"UO"	"http://purl.obolibrary.org/obo/UO_0000165"
"ITB Tissue idMS/MS"	"Nicotiana attenuata"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/49451"	"nectary"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000357"	"Sample collection"	"NEC2_50EV"	"nectary"	""	""	"50EV"	""	""	"80"	"volume percentage"	"UO"	"http://purl.obolibrary.org/obo/UO_0000165"
"ITB Tissue idMS/MS"	"Nicotiana attenuata"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/49451"	"plant ovary"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000750"	"Sample collection"	"OVA1_MS"	"plant ovary"	""	""	"N/A"	""	""	"20"	"volume percentage"	"UO"	"http://purl.obolibrary.org/obo/UO_0000165"
