"Source Name"	"Characteristics[Organism]"	"Term Source REF"	"Term Accession Number"	"Characteristics[Organism part]"	"Term Source REF"	"Term Accession Number"	"Protocol REF"	"Sample Name"	"Factor Value[Addition of TEA]"	"Term Source REF"	"Term Accession Number"	"Factor Value[Storage]"	"Unit"	"Term Source REF"	"Term Accession Number"
"Grape extract"	"Vitis vinifera"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/29760"	"berry"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000119"	"Sample collection"	"Tday00a"	"yes"	""	""	"0"	"day"	"UO"	"http://purl.obolibrary.org/obo/UO_0000033"
"Grape extract"	"Vitis vinifera"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/29760"	"berry"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000119"	"Sample collection"	"Tday00b"	"yes"	""	""	"0"	"day"	"UO"	"http://purl.obolibrary.org/obo/UO_0000033"
"Grape extract"	"Vitis vinifera"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/29760"	"berry"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000119"	"Sample collection"	"Tday01"	"yes"	""	""	"1"	"day"	"UO"	"http://purl.obolibrary.org/obo/UO_0000033"
"Grape extract"	"Vitis vinifera"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/29760"	"berry"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000119"	"Sample collection"	"Tday03"	"yes"	""	""	"3"	"day"	"UO"	"http://purl.obolibrary.org/obo/UO_0000033"
"Grape extract"	"Vitis vinifera"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/29760"	"berry"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000119"	"Sample collection"	"Tday04"	"yes"	""	""	"4"	"day"	"UO"	"http://purl.obolibrary.org/obo/UO_0000033"
"Grape extract"	"Vitis vinifera"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/29760"	"berry"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000119"	"Sample collection"	"Tday09"	"yes"	""	""	"9"	"day"	"UO"	"http://purl.obolibrary.org/obo/UO_0000033"
"Grape extract"	"Vitis vinifera"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/29760"	"berry"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000119"	"Sample collection"	"Tday10"	"yes"	""	""	"10"	"day"	"UO"	"http://purl.obolibrary.org/obo/UO_0000033"
"Grape extract"	"Vitis vinifera"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/29760"	"berry"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000119"	"Sample collection"	"Tday11"	"yes"	""	""	"11"	"day"	"UO"	"http://purl.obolibrary.org/obo/UO_0000033"
"Grape extract"	"Vitis vinifera"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/29760"	"berry"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000119"	"Sample collection"	"Tday13"	"yes"	""	""	"13"	"day"	"UO"	"http://purl.obolibrary.org/obo/UO_0000033"
"Grape extract"	"Vitis vinifera"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/29760"	"berry"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000119"	"Sample collection"	"Tday15"	"yes"	""	""	"15"	"day"	"UO"	"http://purl.obolibrary.org/obo/UO_0000033"
"Grape extract"	"Vitis vinifera"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/29760"	"berry"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000119"	"Sample collection"	"Tday17"	"yes"	""	""	"17"	"day"	"UO"	"http://purl.obolibrary.org/obo/UO_0000033"
"Grape extract"	"Vitis vinifera"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/29760"	"berry"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000119"	"Sample collection"	"Tday21"	"yes"	""	""	"21"	"day"	"UO"	"http://purl.obolibrary.org/obo/UO_0000033"
"Grape extract"	"Vitis vinifera"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/29760"	"berry"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000119"	"Sample collection"	"Tday24"	"yes"	""	""	"24"	"day"	"UO"	"http://purl.obolibrary.org/obo/UO_0000033"
"Grape extract"	"Vitis vinifera"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/29760"	"berry"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000119"	"Sample collection"	"Tday28"	"yes"	""	""	"28"	"day"	"UO"	"http://purl.obolibrary.org/obo/UO_0000033"
