"Source Name"	"Characteristics[Organism]"	"Term Source REF"	"Term Accession Number"	"Characteristics[Organism part]"	"Term Source REF"	"Term Accession Number"	"Protocol REF"	"Sample Name"
"2181240"	"Macaca mulatta;NCBITAXON:Plasmodium coatneyi"	"NCBITAXON"	""	"blood plasma"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000131"	"Sample collection"	"2181240"
"2181245"	"Macaca mulatta;NCBITAXON:Plasmodium coatneyi"	"NCBITAXON"	""	"blood plasma"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000131"	"Sample collection"	"2181245"
"2181250"	"Macaca mulatta;NCBITAXON:Plasmodium coatneyi"	"NCBITAXON"	""	"blood plasma"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000131"	"Sample collection"	"2181250"
"2193662"	"Macaca mulatta;NCBITAXON:Plasmodium coatneyi"	"NCBITAXON"	""	"blood plasma"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000131"	"Sample collection"	"2193662"
"2193667"	"Macaca mulatta;NCBITAXON:Plasmodium coatneyi"	"NCBITAXON"	""	"blood plasma"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000131"	"Sample collection"	"2193667"
"2193672"	"Macaca mulatta;NCBITAXON:Plasmodium coatneyi"	"NCBITAXON"	""	"blood plasma"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000131"	"Sample collection"	"2193672"
"2193677"	"Macaca mulatta;NCBITAXON:Plasmodium coatneyi"	"NCBITAXON"	""	"blood plasma"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000131"	"Sample collection"	"2193677"
"2193682"	"Macaca mulatta;NCBITAXON:Plasmodium coatneyi"	"NCBITAXON"	""	"blood plasma"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000131"	"Sample collection"	"2193682"
"2169537"	"Macaca mulatta;NCBITAXON:Plasmodium coatneyi"	"NCBITAXON"	""	"blood plasma"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000131"	"Sample collection"	"2169537"
"2129577"	"Macaca mulatta;NCBITAXON:Plasmodium coatneyi"	"NCBITAXON"	""	"blood plasma"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000131"	"Sample collection"	"2129577"
"2129582"	"Macaca mulatta;NCBITAXON:Plasmodium coatneyi"	"NCBITAXON"	""	"blood plasma"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000131"	"Sample collection"	"2129582"
"2129592"	"Macaca mulatta;NCBITAXON:Plasmodium coatneyi"	"NCBITAXON"	""	"blood plasma"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000131"	"Sample collection"	"2129592"
"2129597"	"Macaca mulatta;NCBITAXON:Plasmodium coatneyi"	"NCBITAXON"	""	"blood plasma"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000131"	"Sample collection"	"2129597"
"2129986"	"Macaca mulatta;NCBITAXON:Plasmodium coatneyi"	"NCBITAXON"	""	"blood plasma"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000131"	"Sample collection"	"2129986"
"2158694"	"Macaca mulatta;NCBITAXON:Plasmodium coatneyi"	"NCBITAXON"	""	"blood plasma"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000131"	"Sample collection"	"2158694"
"2161103"	"Macaca mulatta;NCBITAXON:Plasmodium coatneyi"	"NCBITAXON"	""	"blood plasma"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000131"	"Sample collection"	"2161103"
"2161196"	"Macaca mulatta;NCBITAXON:Plasmodium coatneyi"	"NCBITAXON"	""	"blood plasma"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000131"	"Sample collection"	"2161196"
"2161113"	"Macaca mulatta;NCBITAXON:Plasmodium coatneyi"	"NCBITAXON"	""	"blood plasma"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000131"	"Sample collection"	"2161113"
"2161118"	"Macaca mulatta;NCBITAXON:Plasmodium coatneyi"	"NCBITAXON"	""	"blood plasma"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000131"	"Sample collection"	"2161118"
"2181255"	"Macaca mulatta;NCBITAXON:Plasmodium coatneyi"	"NCBITAXON"	""	"blood plasma"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000131"	"Sample collection"	"2181255"
"2181260"	"Macaca mulatta;NCBITAXON:Plasmodium coatneyi"	"NCBITAXON"	""	"blood plasma"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000131"	"Sample collection"	"2181260"
"2181261"	"Macaca mulatta;NCBITAXON:Plasmodium coatneyi"	"NCBITAXON"	""	"blood plasma"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000131"	"Sample collection"	"2181261"
"2181265"	"Macaca mulatta;NCBITAXON:Plasmodium coatneyi"	"NCBITAXON"	""	"blood plasma"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000131"	"Sample collection"	"2181265"
"2181264"	"Macaca mulatta;NCBITAXON:Plasmodium coatneyi"	"NCBITAXON"	""	"blood plasma"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000131"	"Sample collection"	"2181264"
"2189997"	"Macaca mulatta;NCBITAXON:Plasmodium coatneyi"	"NCBITAXON"	""	"blood plasma"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000131"	"Sample collection"	"2189997"
"2190001"	"Macaca mulatta;NCBITAXON:Plasmodium coatneyi"	"NCBITAXON"	""	"blood plasma"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000131"	"Sample collection"	"2190001"
