"Source Name"	"Characteristics[Organism]"	"Term Source REF"	"Term Accession Number"	"Characteristics[Variant]"	"Term Source REF"	"Term Accession Number"	"Characteristics[Organism part]"	"Term Source REF"	"Term Accession Number"	"Protocol REF"	"Sample Name"	"Factor Value[Cultivars]"	"Term Source REF"	"Term Accession Number"	"Factor Value[Sample Time]"	"Unit"	"Term Source REF"	"Term Accession Number"	"Factor Value[Batch]"	"Term Source REF"	"Term Accession Number"
"monogenic mutant, ripening inhibited"	"Solanum lycopersicum"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/4081"	"Solanum lycopersicum cv. Ailsa Craig"	""	""	"fruit"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000486"	"Sample collection"	"03_RIN_54"	"RIN"	""	""	"54"	"day"	"UO"	"http://purl.obolibrary.org/obo/UO_0000033"	"3"	""	""
"ailsa craig"	"Solanum lycopersicum"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/4081"	"Solanum lycopersicum cv. Ailsa Craig"	""	""	"fruit"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000486"	"Sample collection"	"03_AC+_54"	"AC+"	""	""	"54"	"day"	"UO"	"http://purl.obolibrary.org/obo/UO_0000033"	"3"	""	""
"monogenic mutant, ripening inhibited"	"Solanum lycopersicum"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/4081"	"Solanum lycopersicum cv. Ailsa Craig"	""	""	"fruit"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000486"	"Sample collection"	"03_RIN_50"	"RIN"	""	""	"50"	"day"	"UO"	"http://purl.obolibrary.org/obo/UO_0000033"	"3"	""	""
"ailsa craig"	"Solanum lycopersicum"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/4081"	"Solanum lycopersicum cv. Ailsa Craig"	""	""	"fruit"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000486"	"Sample collection"	"03_AC+_50"	"AC+"	""	""	"50"	"day"	"UO"	"http://purl.obolibrary.org/obo/UO_0000033"	"3"	""	""
"monogenic mutant, colourless non-ripe"	"Solanum lycopersicum"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/4081"	"Solanum lycopersicum cv. Ailsa Craig"	""	""	"fruit"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000486"	"Sample collection"	"03_CNR_50"	"CNR"	""	""	"50"	"day"	"UO"	"http://purl.obolibrary.org/obo/UO_0000033"	"3"	""	""
"monogenic mutant, non ripening locus"	"Solanum lycopersicum"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/4081"	"Solanum lycopersicum cv. Ailsa Craig"	""	""	"fruit"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000486"	"Sample collection"	"03_NOR_50"	"NOR"	""	""	"50"	"day"	"UO"	"http://purl.obolibrary.org/obo/UO_0000033"	"3"	""	""
"monogenic mutant, non ripening locus"	"Solanum lycopersicum"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/4081"	"Solanum lycopersicum cv. Ailsa Craig"	""	""	"fruit"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000486"	"Sample collection"	"03_NOR_48"	"NOR"	""	""	"48"	"day"	"UO"	"http://purl.obolibrary.org/obo/UO_0000033"	"3"	""	""
"monogenic mutant, ripening inhibited"	"Solanum lycopersicum"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/4081"	"Solanum lycopersicum cv. Ailsa Craig"	""	""	"fruit"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000486"	"Sample collection"	"03_RIN_48"	"RIN"	""	""	"48"	"day"	"UO"	"http://purl.obolibrary.org/obo/UO_0000033"	"3"	""	""
"monogenic mutant, colourless non-ripe"	"Solanum lycopersicum"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/4081"	"Solanum lycopersicum cv. Ailsa Craig"	""	""	"fruit"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000486"	"Sample collection"	"03_CNR_48"	"CNR"	""	""	"48"	"day"	"UO"	"http://purl.obolibrary.org/obo/UO_0000033"	"3"	""	""
"ailsa craig"	"Solanum lycopersicum"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/4081"	"Solanum lycopersicum cv. Ailsa Craig"	""	""	"fruit"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000486"	"Sample collection"	"03_AC+_48"	"AC+"	""	""	"48"	"day"	"UO"	"http://purl.obolibrary.org/obo/UO_0000033"	"3"	""	""
"monogenic mutant, non ripening locus"	"Solanum lycopersicum"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/4081"	"Solanum lycopersicum cv. Ailsa Craig"	""	""	"fruit"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000486"	"Sample collection"	"03_NOR_51"	"NOR"	""	""	"51"	"day"	"UO"	"http://purl.obolibrary.org/obo/UO_0000033"	"3"	""	""
"ailsa craig"	"Solanum lycopersicum"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/4081"	"Solanum lycopersicum cv. Ailsa Craig"	""	""	"fruit"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000486"	"Sample collection"	"03_AC+_51"	"AC+"	""	""	"51"	"day"	"UO"	"http://purl.obolibrary.org/obo/UO_0000033"	"3"	""	""
"monogenic mutant, ripening inhibited"	"Solanum lycopersicum"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/4081"	"Solanum lycopersicum cv. Ailsa Craig"	""	""	"fruit"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000486"	"Sample collection"	"03_RIN_51"	"RIN"	""	""	"51"	"day"	"UO"	"http://purl.obolibrary.org/obo/UO_0000033"	"3"	""	""
"monogenic mutant, colourless non-ripe"	"Solanum lycopersicum"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/4081"	"Solanum lycopersicum cv. Ailsa Craig"	""	""	"fruit"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000486"	"Sample collection"	"03_CNR_51"	"CNR"	""	""	"51"	"day"	"UO"	"http://purl.obolibrary.org/obo/UO_0000033"	"3"	""	""
"ailsa craig"	"Solanum lycopersicum"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/4081"	"Solanum lycopersicum cv. Ailsa Craig"	""	""	"fruit"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000486"	"Sample collection"	"03_AC+_20"	"AC+"	""	""	"20"	"day"	"UO"	"http://purl.obolibrary.org/obo/UO_0000033"	"3"	""	""
"monogenic mutant, ripening inhibited"	"Solanum lycopersicum"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/4081"	"Solanum lycopersicum cv. Ailsa Craig"	""	""	"fruit"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000486"	"Sample collection"	"03_RIN_20"	"RIN"	""	""	"20"	"day"	"UO"	"http://purl.obolibrary.org/obo/UO_0000033"	"3"	""	""
"monogenic mutant, colourless non-ripe"	"Solanum lycopersicum"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/4081"	"Solanum lycopersicum cv. Ailsa Craig"	""	""	"fruit"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000486"	"Sample collection"	"03_CNR_20"	"CNR"	""	""	"20"	"day"	"UO"	"http://purl.obolibrary.org/obo/UO_0000033"	"3"	""	""
"monogenic mutant, non ripening locus"	"Solanum lycopersicum"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/4081"	"Solanum lycopersicum cv. Ailsa Craig"	""	""	"fruit"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000486"	"Sample collection"	"03_NOR_20"	"NOR"	""	""	"20"	"day"	"UO"	"http://purl.obolibrary.org/obo/UO_0000033"	"3"	""	""
"ailsa craig"	"Solanum lycopersicum"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/4081"	"Solanum lycopersicum cv. Ailsa Craig"	""	""	"fruit"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000486"	"Sample collection"	"03_AC+_25"	"AC+"	""	""	"25"	"day"	"UO"	"http://purl.obolibrary.org/obo/UO_0000033"	"3"	""	""
"monogenic mutant, non ripening locus"	"Solanum lycopersicum"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/4081"	"Solanum lycopersicum cv. Ailsa Craig"	""	""	"fruit"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000486"	"Sample collection"	"03_NOR_25"	"NOR"	""	""	"25"	"day"	"UO"	"http://purl.obolibrary.org/obo/UO_0000033"	"3"	""	""
"monogenic mutant, colourless non-ripe"	"Solanum lycopersicum"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/4081"	"Solanum lycopersicum cv. Ailsa Craig"	""	""	"fruit"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000486"	"Sample collection"	"03_CNR_25"	"CNR"	""	""	"25"	"day"	"UO"	"http://purl.obolibrary.org/obo/UO_0000033"	"3"	""	""
"monogenic mutant, ripening inhibited"	"Solanum lycopersicum"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/4081"	"Solanum lycopersicum cv. Ailsa Craig"	""	""	"fruit"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000486"	"Sample collection"	"03_RIN_25"	"RIN"	""	""	"25"	"day"	"UO"	"http://purl.obolibrary.org/obo/UO_0000033"	"3"	""	""
"monogenic mutant, non ripening locus"	"Solanum lycopersicum"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/4081"	"Solanum lycopersicum cv. Ailsa Craig"	""	""	"fruit"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000486"	"Sample collection"	"03_NOR_49"	"NOR"	""	""	"49"	"day"	"UO"	"http://purl.obolibrary.org/obo/UO_0000033"	"3"	""	""
"monogenic mutant, colourless non-ripe"	"Solanum lycopersicum"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/4081"	"Solanum lycopersicum cv. Ailsa Craig"	""	""	"fruit"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000486"	"Sample collection"	"03_CNR_49"	"CNR"	""	""	"49"	"day"	"UO"	"http://purl.obolibrary.org/obo/UO_0000033"	"3"	""	""
"ailsa craig"	"Solanum lycopersicum"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/4081"	"Solanum lycopersicum cv. Ailsa Craig"	""	""	"fruit"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000486"	"Sample collection"	"03_AC+_49"	"AC+"	""	""	"49"	"day"	"UO"	"http://purl.obolibrary.org/obo/UO_0000033"	"3"	""	""
"monogenic mutant, ripening inhibited"	"Solanum lycopersicum"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/4081"	"Solanum lycopersicum cv. Ailsa Craig"	""	""	"fruit"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000486"	"Sample collection"	"03_RIN_49"	"RIN"	""	""	"49"	"day"	"UO"	"http://purl.obolibrary.org/obo/UO_0000033"	"3"	""	""
"monogenic mutant, colourless non-ripe"	"Solanum lycopersicum"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/4081"	"Solanum lycopersicum cv. Ailsa Craig"	""	""	"fruit"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000486"	"Sample collection"	"03_CNR_40"	"CNR"	""	""	"40"	"day"	"UO"	"http://purl.obolibrary.org/obo/UO_0000033"	"3"	""	""
"ailsa craig"	"Solanum lycopersicum"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/4081"	"Solanum lycopersicum cv. Ailsa Craig"	""	""	"fruit"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000486"	"Sample collection"	"03_AC+_40"	"AC+"	""	""	"40"	"day"	"UO"	"http://purl.obolibrary.org/obo/UO_0000033"	"3"	""	""
"monogenic mutant, ripening inhibited"	"Solanum lycopersicum"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/4081"	"Solanum lycopersicum cv. Ailsa Craig"	""	""	"fruit"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000486"	"Sample collection"	"03_RIN_40"	"RIN"	""	""	"40"	"day"	"UO"	"http://purl.obolibrary.org/obo/UO_0000033"	"3"	""	""
"monogenic mutant, non ripening locus"	"Solanum lycopersicum"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/4081"	"Solanum lycopersicum cv. Ailsa Craig"	""	""	"fruit"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000486"	"Sample collection"	"03_NOR_40"	"NOR"	""	""	"40"	"day"	"UO"	"http://purl.obolibrary.org/obo/UO_0000033"	"3"	""	""
"monogenic mutant, colourless non-ripe"	"Solanum lycopersicum"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/4081"	"Solanum lycopersicum cv. Ailsa Craig"	""	""	"fruit"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000486"	"Sample collection"	"03_CNR_15"	"CNR"	""	""	"15"	"day"	"UO"	"http://purl.obolibrary.org/obo/UO_0000033"	"3"	""	""
"monogenic mutant, non ripening locus"	"Solanum lycopersicum"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/4081"	"Solanum lycopersicum cv. Ailsa Craig"	""	""	"fruit"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000486"	"Sample collection"	"03_NOR_15"	"NOR"	""	""	"15"	"day"	"UO"	"http://purl.obolibrary.org/obo/UO_0000033"	"3"	""	""
"ailsa craig"	"Solanum lycopersicum"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/4081"	"Solanum lycopersicum cv. Ailsa Craig"	""	""	"fruit"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000486"	"Sample collection"	"03_AC+_15"	"AC+"	""	""	"15"	"day"	"UO"	"http://purl.obolibrary.org/obo/UO_0000033"	"3"	""	""
"monogenic mutant, ripening inhibited"	"Solanum lycopersicum"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/4081"	"Solanum lycopersicum cv. Ailsa Craig"	""	""	"fruit"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000486"	"Sample collection"	"03_RIN_15"	"RIN"	""	""	"15"	"day"	"UO"	"http://purl.obolibrary.org/obo/UO_0000033"	"3"	""	""
