"Source Name"	"Characteristics[Organism]"	"Term Source REF"	"Term Accession Number"	"Characteristics[Organism part]"	"Term Source REF"	"Term Accession Number"	"Protocol REF"	"Sample Name"	"Factor Value[MeJA treatment ]"	"Term Source REF"	"Term Accession Number"	"Factor Value[Experimental Group]"	"Unit"	"Term Source REF"	"Term Accession Number"
"Intracellular "	"Centella asiatica"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/48106"	"stem"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001300"	"Sample collection"	"MeJA100uMA2b"	"Treated"	""	""	"100.0"	"micromolar"	"UO"	"http://purl.obolibrary.org/obo/UO_0000064"
"Intracellular "	"Centella asiatica"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/48106"	"stem"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001300"	"Sample collection"	"MeJA100uMA3b"	"Treated"	""	""	"100.0"	"micromolar"	"UO"	"http://purl.obolibrary.org/obo/UO_0000064"
"Intracellular "	"Centella asiatica"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/48106"	"stem"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001300"	"Sample collection"	"MeJA100uMB1b"	"Treated"	""	""	"100.0"	"micromolar"	"UO"	"http://purl.obolibrary.org/obo/UO_0000064"
"Intracellular "	"Centella asiatica"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/48106"	"stem"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001300"	"Sample collection"	"MeJA100uMB2b"	"Treated"	""	""	"100.0"	"micromolar"	"UO"	"http://purl.obolibrary.org/obo/UO_0000064"
"Intracellular "	"Centella asiatica"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/48106"	"stem"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001300"	"Sample collection"	"MeJA100uMB3b"	"Treated"	""	""	"100.0"	"micromolar"	"UO"	"http://purl.obolibrary.org/obo/UO_0000064"
"Intracellular "	"Centella asiatica"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/48106"	"stem"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001300"	"Sample collection"	"MeJA100uMC1b"	"Treated"	""	""	"100.0"	"micromolar"	"UO"	"http://purl.obolibrary.org/obo/UO_0000064"
"Intracellular "	"Centella asiatica"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/48106"	"stem"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001300"	"Sample collection"	"MeJA100uMC2b"	"Treated"	""	""	"100.0"	"micromolar"	"UO"	"http://purl.obolibrary.org/obo/UO_0000064"
"Intracellular "	"Centella asiatica"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/48106"	"stem"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001300"	"Sample collection"	"MeJA100uMC3b"	"Treated"	""	""	"100.0"	"micromolar"	"UO"	"http://purl.obolibrary.org/obo/UO_0000064"
"Intracellular "	"Centella asiatica"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/48106"	"stem"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001300"	"Sample collection"	"MeJA200uMA1b"	"Treated"	""	""	"200.0"	"micromolar"	"UO"	"http://purl.obolibrary.org/obo/UO_0000064"
"Intracellular "	"Centella asiatica"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/48106"	"stem"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001300"	"Sample collection"	"MeJA200uMA2b"	"Treated"	""	""	"200.0"	"micromolar"	"UO"	"http://purl.obolibrary.org/obo/UO_0000064"
