"Source Name"	"Characteristics[Organism]"	"Term Source REF"	"Term Accession Number"	"Characteristics[Organism part]"	"Term Source REF"	"Term Accession Number"	"Protocol REF"	"Sample Name"	"Factor Value[Adipose tissue]"	"Term Source REF"	"Term Accession Number"	"Factor Value[Connective tissue]"	"Term Source REF"	"Term Accession Number"	"Factor Value[Glandular tissue]"	"Term Source REF"	"Term Accession Number"	"Factor Value[Stroma tissue]"	"Term Source REF"	"Term Accession Number"	"Factor Value[Tumour]"	"Term Source REF"	"Term Accession Number"
"BRB09"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"breast cancer cell"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000150"	"Sample collection"	"BRB09S"	"1"	""	""	"1"	""	""	"1"	""	""	"0"	""	""	"0"	""	""
"BRB09"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"breast cancer cell"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000150"	"Sample collection"	"BRB09W"	"1"	""	""	"1"	""	""	"1"	""	""	"0"	""	""	"0"	""	""
"BRB10"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"breast cancer cell"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000150"	"Sample collection"	"BRB10D"	"0"	""	""	"1"	""	""	"1"	""	""	"0"	""	""	"0"	""	""
"BRB10"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"breast cancer cell"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000150"	"Sample collection"	"BRB10E"	"1"	""	""	"1"	""	""	"1"	""	""	"0"	""	""	"0"	""	""
"BRB10"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"breast cancer cell"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000150"	"Sample collection"	"BRB10N"	"0"	""	""	"1"	""	""	"1"	""	""	"0"	""	""	"0"	""	""
"BRB10"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"breast cancer cell"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000150"	"Sample collection"	"BRB10S"	"1"	""	""	"1"	""	""	"1"	""	""	"0"	""	""	"0"	""	""
"BRB10"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"breast cancer cell"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000150"	"Sample collection"	"BRB10W"	"1"	""	""	"1"	""	""	"0"	""	""	"0"	""	""	"0"	""	""
"BRB11"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"breast cancer cell"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000150"	"Sample collection"	"BRB11D"	"1"	""	""	"1"	""	""	"0"	""	""	"0"	""	""	"0"	""	""
"BRB11"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"breast cancer cell"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000150"	"Sample collection"	"BRB11E"	"1"	""	""	"1"	""	""	"1"	""	""	"0"	""	""	"0"	""	""
"BRB11"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"breast cancer cell"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000150"	"Sample collection"	"BRB11N"	"1"	""	""	"0"	""	""	"0"	""	""	"0"	""	""	"0"	""	""
"BRB11"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"breast cancer cell"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000150"	"Sample collection"	"BRB11S"	"1"	""	""	"1"	""	""	"0"	""	""	"0"	""	""	"0"	""	""
"BRB11"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"breast cancer cell"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000150"	"Sample collection"	"BRB11W"	"1"	""	""	"1"	""	""	"1"	""	""	"0"	""	""	"0"	""	""
"BRB12"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"breast cancer cell"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000150"	"Sample collection"	"BRB12D"	"1"	""	""	"0"	""	""	"0"	""	""	"0"	""	""	"0"	""	""
"BRB12"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"breast cancer cell"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000150"	"Sample collection"	"BRB12E"	"1"	""	""	"1"	""	""	"0"	""	""	"0"	""	""	"0"	""	""
"BRB12"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"breast cancer cell"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000150"	"Sample collection"	"BRB12N"	"1"	""	""	"1"	""	""	"1"	""	""	"0"	""	""	"0"	""	""
"BRB12"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"breast cancer cell"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000150"	"Sample collection"	"BRB12S"	"1"	""	""	"1"	""	""	"0"	""	""	"0"	""	""	"0"	""	""
"BRB12"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"breast cancer cell"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000150"	"Sample collection"	"BRB12W"	"1"	""	""	"1"	""	""	"1"	""	""	"0"	""	""	"0"	""	""
"BRB13"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"breast cancer cell"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000150"	"Sample collection"	"BRB13D"	"1"	""	""	"0"	""	""	"0"	""	""	"0"	""	""	"0"	""	""
"BRB13"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"breast cancer cell"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000150"	"Sample collection"	"BRB13E"	"1"	""	""	"1"	""	""	"1"	""	""	"0"	""	""	"0"	""	""
"BRB13"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"breast cancer cell"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000150"	"Sample collection"	"BRB13N"	"1"	""	""	"1"	""	""	"1"	""	""	"0"	""	""	"0"	""	""
