"Source Name"	"Characteristics[Organism]"	"Term Source REF"	"Term Accession Number"	"Characteristics[Variant]"	"Term Source REF"	"Term Accession Number"	"Characteristics[Organism part]"	"Term Source REF"	"Term Accession Number"	"Protocol REF"	"Sample Name"	"Factor Value[variety]"	"Term Source REF"	"Term Accession Number"	"Factor Value[location]"	"Term Source REF"	"Term Accession Number"
"Group-11.Subject-1"	"Ficus deltoidea"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/182111"	"Ficus deltoidea var. terengganu"	""	""	"leaf"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000713"	"Sample collection"	"FD085"	"var. terengganu"	""	""	"Mercang"	""	""
"Group-11.Subject-2"	"Ficus deltoidea"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/182111"	"Ficus deltoidea var. terengganu"	""	""	"leaf"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000713"	"Sample collection"	"FD086"	"var. terengganu"	""	""	"Mercang"	""	""
"Group-11.Subject-3"	"Ficus deltoidea"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/182111"	"Ficus deltoidea var. terengganu"	""	""	"leaf"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000713"	"Sample collection"	"FD087"	"var. terengganu"	""	""	"Mercang"	""	""
"Group-11.Subject-4"	"Ficus deltoidea"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/182111"	"Ficus deltoidea var. terengganu"	""	""	"leaf"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000713"	"Sample collection"	"FD088"	"var. terengganu"	""	""	"Mercang"	""	""
"Group-11.Subject-5"	"Ficus deltoidea"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/182111"	"Ficus deltoidea var. terengganu"	""	""	"leaf"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000713"	"Sample collection"	"FD089"	"var. terengganu"	""	""	"Mercang"	""	""
"Group-11.Subject-6"	"Ficus deltoidea"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/182111"	"Ficus deltoidea var. terengganu"	""	""	"leaf"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000713"	"Sample collection"	"FD090"	"var. terengganu"	""	""	"Mercang"	""	""
"Group-11.Subject-7"	"Ficus deltoidea"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/182111"	"Ficus deltoidea var. terengganu"	""	""	"leaf"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000713"	"Sample collection"	"FD093"	"var. terengganu"	""	""	"Mercang"	""	""
"Group-12.Subject-1"	"Ficus deltoidea"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/182111"	"Ficus deltoidea var. angustifolia"	""	""	"leaf"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000713"	"Sample collection"	"FD094"	"var. angustifolia"	""	""	"Klang"	""	""
"Group-12.Subject-2"	"Ficus deltoidea"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/182111"	"Ficus deltoidea var. angustifolia"	""	""	"leaf"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000713"	"Sample collection"	"FD095"	"var. angustifolia"	""	""	"Klang"	""	""
"Group-12.Subject-3"	"Ficus deltoidea"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/182111"	"Ficus deltoidea var. angustifolia"	""	""	"leaf"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000713"	"Sample collection"	"FD097"	"var. angustifolia"	""	""	"Klang"	""	""
"Group-12.Subject-4"	"Ficus deltoidea"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/182111"	"Ficus deltoidea var. angustifolia"	""	""	"leaf"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000713"	"Sample collection"	"FD098"	"var. angustifolia"	""	""	"Klang"	""	""
"Group-12.Subject-5"	"Ficus deltoidea"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/182111"	"Ficus deltoidea var. angustifolia"	""	""	"leaf"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000713"	"Sample collection"	"FD099"	"var. angustifolia"	""	""	"Klang"	""	""
"Group-12.Subject-6"	"Ficus deltoidea"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/182111"	"Ficus deltoidea var. angustifolia"	""	""	"leaf"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000713"	"Sample collection"	"FD100"	"var. angustifolia"	""	""	"Klang"	""	""
"Group-12.Subject-7"	"Ficus deltoidea"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/182111"	"Ficus deltoidea var. angustifolia"	""	""	"leaf"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000713"	"Sample collection"	"FD101"	"var. angustifolia"	""	""	"Klang"	""	""
"Group-12.Subject-8"	"Ficus deltoidea"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/182111"	"Ficus deltoidea var. angustifolia"	""	""	"leaf"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000713"	"Sample collection"	"FD102"	"var. angustifolia"	""	""	"Klang"	""	""
"Group-12.Subject-9"	"Ficus deltoidea"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/182111"	"Ficus deltoidea var. angustifolia"	""	""	"leaf"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000713"	"Sample collection"	"FD103"	"var. angustifolia"	""	""	"Klang"	""	""
"Group-13.Subject-1"	"Ficus deltoidea"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/182111"	"Ficus deltoidea var. bilobata"	""	""	"leaf"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000713"	"Sample collection"	"FD105"	"var. bilobata"	""	""	"Kuala Terengganu"	""	""
"Group-13.Subject-2"	"Ficus deltoidea"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/182111"	"Ficus deltoidea var. bilobata"	""	""	"leaf"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000713"	"Sample collection"	"FD106"	"var. bilobata"	""	""	"Kuala Terengganu"	""	""
