"Source Name"	"Characteristics[Organism]"	"Term Source REF"	"Term Accession Number"	"Characteristics[Variant]"	"Term Source REF"	"Term Accession Number"	"Characteristics[Organism part]"	"Term Source REF"	"Term Accession Number"	"Protocol REF"	"Sample Name"	"Factor Value[Sample Time]"	"Unit"	"Term Source REF"	"Term Accession Number"	"Factor Value[Cultivars]"	"Term Source REF"	"Term Accession Number"	"Factor Value[Batch]"	"Term Source REF"	"Term Accession Number"
"R136 monogenic mutant, ripening inhibited"	"Solanum lycopersicum"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/4081"	"Solanum lycopersicum cv. Ailsa Craig"	""	""	"fruit"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000486"	"Sample collection"	"R136"	"49"	"day"	"UO"	"http://purl.obolibrary.org/obo/UO_0000033"	"RIN"	""	""	"2"	""	""
"R137 monogenic mutant, ripening inhibited"	"Solanum lycopersicum"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/4081"	"Solanum lycopersicum cv. Ailsa Craig"	""	""	"fruit"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000486"	"Sample collection"	"R137"	"49"	"day"	"UO"	"http://purl.obolibrary.org/obo/UO_0000033"	"RIN"	""	""	"3"	""	""
"R138 monogenic mutant, ripening inhibited"	"Solanum lycopersicum"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/4081"	"Solanum lycopersicum cv. Ailsa Craig"	""	""	"fruit"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000486"	"Sample collection"	"R138"	"49"	"day"	"UO"	"http://purl.obolibrary.org/obo/UO_0000033"	"RIN"	""	""	"1"	""	""
"R142 monogenic mutant, ripening inhibited"	"Solanum lycopersicum"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/4081"	"Solanum lycopersicum cv. Ailsa Craig"	""	""	"fruit"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000486"	"Sample collection"	"R142"	"20"	"day"	"UO"	"http://purl.obolibrary.org/obo/UO_0000033"	"RIN"	""	""	"2"	""	""
"R143 monogenic mutant, ripening inhibited"	"Solanum lycopersicum"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/4081"	"Solanum lycopersicum cv. Ailsa Craig"	""	""	"fruit"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000486"	"Sample collection"	"R143"	"20"	"day"	"UO"	"http://purl.obolibrary.org/obo/UO_0000033"	"RIN"	""	""	"3"	""	""
"R144 monogenic mutant, ripening inhibited"	"Solanum lycopersicum"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/4081"	"Solanum lycopersicum cv. Ailsa Craig"	""	""	"fruit"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000486"	"Sample collection"	"R144"	"20"	"day"	"UO"	"http://purl.obolibrary.org/obo/UO_0000033"	"RIN"	""	""	"1"	""	""
"R041 monogenic mutant, colourless non-ripe"	"Solanum lycopersicum"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/4081"	"Solanum lycopersicum cv. Ailsa Craig"	""	""	"fruit"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000486"	"Sample collection"	"R041"	"25"	"day"	"UO"	"http://purl.obolibrary.org/obo/UO_0000033"	"NOR"	""	""	"3"	""	""
"R042 monogenic mutant, colourless non-ripe"	"Solanum lycopersicum"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/4081"	"Solanum lycopersicum cv. Ailsa Craig"	""	""	"fruit"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000486"	"Sample collection"	"R042"	"54"	"day"	"UO"	"http://purl.obolibrary.org/obo/UO_0000033"	"NOR"	""	""	"3"	""	""
"R043 monogenic mutant, colourless non-ripe"	"Solanum lycopersicum"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/4081"	"Solanum lycopersicum cv. Ailsa Craig"	""	""	"fruit"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000486"	"Sample collection"	"R043"	"15"	"day"	"UO"	"http://purl.obolibrary.org/obo/UO_0000033"	"NOR"	""	""	"3"	""	""
"R044 monogenic mutant, colourless non-ripe"	"Solanum lycopersicum"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/4081"	"Solanum lycopersicum cv. Ailsa Craig"	""	""	"fruit"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000486"	"Sample collection"	"R044"	"48"	"day"	"UO"	"http://purl.obolibrary.org/obo/UO_0000033"	"NOR"	""	""	"3"	""	""
"R045 monogenic mutant, colourless non-ripe"	"Solanum lycopersicum"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/4081"	"Solanum lycopersicum cv. Ailsa Craig"	""	""	"fruit"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000486"	"Sample collection"	"R045"	"50"	"day"	"UO"	"http://purl.obolibrary.org/obo/UO_0000033"	"NOR"	""	""	"3"	""	""
"R046 monogenic mutant, colourless non-ripe"	"Solanum lycopersicum"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/4081"	"Solanum lycopersicum cv. Ailsa Craig"	""	""	"fruit"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000486"	"Sample collection"	"R046"	"40"	"day"	"UO"	"http://purl.obolibrary.org/obo/UO_0000033"	"NOR"	""	""	"3"	""	""
"R047 monogenic mutant, colourless non-ripe"	"Solanum lycopersicum"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/4081"	"Solanum lycopersicum cv. Ailsa Craig"	""	""	"fruit"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000486"	"Sample collection"	"R047"	"52"	"day"	"UO"	"http://purl.obolibrary.org/obo/UO_0000033"	"NOR"	""	""	"3"	""	""
"R048 monogenic mutant, colourless non-ripe"	"Solanum lycopersicum"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/4081"	"Solanum lycopersicum cv. Ailsa Craig"	""	""	"fruit"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000486"	"Sample collection"	"R048"	"47"	"day"	"UO"	"http://purl.obolibrary.org/obo/UO_0000033"	"NOR"	""	""	"3"	""	""
"R065 monogenic mutant, colourless non-ripe"	"Solanum lycopersicum"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/4081"	"Solanum lycopersicum cv. Ailsa Craig"	""	""	"fruit"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000486"	"Sample collection"	"R065"	"48"	"day"	"UO"	"http://purl.obolibrary.org/obo/UO_0000033"	"NOR"	""	""	"2"	""	""
"R066 monogenic mutant, colourless non-ripe"	"Solanum lycopersicum"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/4081"	"Solanum lycopersicum cv. Ailsa Craig"	""	""	"fruit"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000486"	"Sample collection"	"R066"	"50"	"day"	"UO"	"http://purl.obolibrary.org/obo/UO_0000033"	"NOR"	""	""	"2"	""	""
"R067 monogenic mutant, colourless non-ripe"	"Solanum lycopersicum"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/4081"	"Solanum lycopersicum cv. Ailsa Craig"	""	""	"fruit"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000486"	"Sample collection"	"R067"	"25"	"day"	"UO"	"http://purl.obolibrary.org/obo/UO_0000033"	"NOR"	""	""	"2"	""	""
"R068 monogenic mutant, colourless non-ripe"	"Solanum lycopersicum"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/4081"	"Solanum lycopersicum cv. Ailsa Craig"	""	""	"fruit"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000486"	"Sample collection"	"R068"	"40"	"day"	"UO"	"http://purl.obolibrary.org/obo/UO_0000033"	"NOR"	""	""	"2"	""	""
"R069 monogenic mutant, colourless non-ripe"	"Solanum lycopersicum"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/4081"	"Solanum lycopersicum cv. Ailsa Craig"	""	""	"fruit"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000486"	"Sample collection"	"R069"	"47"	"day"	"UO"	"http://purl.obolibrary.org/obo/UO_0000033"	"NOR"	""	""	"2"	""	""
"R070 monogenic mutant, colourless non-ripe"	"Solanum lycopersicum"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/4081"	"Solanum lycopersicum cv. Ailsa Craig"	""	""	"fruit"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000486"	"Sample collection"	"R070"	"52"	"day"	"UO"	"http://purl.obolibrary.org/obo/UO_0000033"	"NOR"	""	""	"2"	""	""
"R071 monogenic mutant, colourless non-ripe"	"Solanum lycopersicum"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/4081"	"Solanum lycopersicum cv. Ailsa Craig"	""	""	"fruit"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000486"	"Sample collection"	"R071"	"54"	"day"	"UO"	"http://purl.obolibrary.org/obo/UO_0000033"	"NOR"	""	""	"2"	""	""
"R072 monogenic mutant, colourless non-ripe"	"Solanum lycopersicum"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/4081"	"Solanum lycopersicum cv. Ailsa Craig"	""	""	"fruit"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000486"	"Sample collection"	"R072"	"15"	"day"	"UO"	"http://purl.obolibrary.org/obo/UO_0000033"	"NOR"	""	""	"2"	""	""
"R082 monogenic mutant, colourless non-ripe"	"Solanum lycopersicum"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/4081"	"Solanum lycopersicum cv. Ailsa Craig"	""	""	"fruit"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000486"	"Sample collection"	"R082"	"50"	"day"	"UO"	"http://purl.obolibrary.org/obo/UO_0000033"	"NOR"	""	""	"1"	""	""
"R083 monogenic mutant, colourless non-ripe"	"Solanum lycopersicum"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/4081"	"Solanum lycopersicum cv. Ailsa Craig"	""	""	"fruit"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000486"	"Sample collection"	"R083"	"25"	"day"	"UO"	"http://purl.obolibrary.org/obo/UO_0000033"	"NOR"	""	""	"1"	""	""
"R084 monogenic mutant, colourless non-ripe"	"Solanum lycopersicum"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/4081"	"Solanum lycopersicum cv. Ailsa Craig"	""	""	"fruit"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000486"	"Sample collection"	"R084"	"47"	"day"	"UO"	"http://purl.obolibrary.org/obo/UO_0000033"	"NOR"	""	""	"1"	""	""
"R085 monogenic mutant, colourless non-ripe"	"Solanum lycopersicum"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/4081"	"Solanum lycopersicum cv. Ailsa Craig"	""	""	"fruit"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000486"	"Sample collection"	"R085"	"40"	"day"	"UO"	"http://purl.obolibrary.org/obo/UO_0000033"	"NOR"	""	""	"1"	""	""
"R087 monogenic mutant, colourless non-ripe"	"Solanum lycopersicum"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/4081"	"Solanum lycopersicum cv. Ailsa Craig"	""	""	"fruit"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000486"	"Sample collection"	"R087"	"54"	"day"	"UO"	"http://purl.obolibrary.org/obo/UO_0000033"	"NOR"	""	""	"1"	""	""
"R097 monogenic mutant, colourless non-ripe"	"Solanum lycopersicum"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/4081"	"Solanum lycopersicum cv. Ailsa Craig"	""	""	"fruit"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000486"	"Sample collection"	"R097"	"15"	"day"	"UO"	"http://purl.obolibrary.org/obo/UO_0000033"	"NOR"	""	""	"1"	""	""
