"Source Name"	"Characteristics[Organism]"	"Term Source REF"	"Term Accession Number"	"Characteristics[Variant]"	"Term Source REF"	"Term Accession Number"	"Characteristics[Organism part]"	"Term Source REF"	"Term Accession Number"	"Protocol REF"	"Sample Name"	"Factor Value[Location]"	"Term Source REF"	"Term Accession Number"	"Factor Value[Elevation]"	"Unit"	"Term Source REF"	"Term Accession Number"	"Factor Value[Season]"	"Term Source REF"	"Term Accession Number"	"Factor Value[Month of collection]"	"Term Source REF"	"Term Accession Number"	"Factor Value[Year of collection]"	"Term Source REF"	"Term Accession Number"
"Espeletia37"	"Espeletia"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/185152"	"Espeletia sp 2"	""	""	"rosette leaf"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0003086"	"Sample collection"	"37"	"P. of Cundinamarca"	""	""	"3144"	"meter"	"UO"	"http://purl.obolibrary.org/obo/UO_0000008"	"Rainy season to Dry Season"	""	""	"10"	""	""	"2009"	""	""
"Espeletia38"	"Espeletia"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/185152"	"Espeletia sp 2"	""	""	"rosette leaf"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0003086"	"Sample collection"	"38"	"P. of Cundinamarca"	""	""	"3155"	"meter"	"UO"	"http://purl.obolibrary.org/obo/UO_0000008"	"Rainy season to Dry Season"	""	""	"10"	""	""	"2009"	""	""
"Espeletia50"	"Espeletia"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/185152"	"Espeletia grandiflora Humb. & Bonpl."	""	""	"rosette leaf"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0003086"	"Sample collection"	"50"	"P. of Cundinamarca"	""	""	"3496"	"meter"	"UO"	"http://purl.obolibrary.org/obo/UO_0000008"	"Rainy season"	""	""	"9"	""	""	"2009"	""	""
"Espeletia51"	"Espeletia"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/185152"	"Espeletia grandiflora Humb. & Bonpl."	""	""	"rosette leaf"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0003086"	"Sample collection"	"51"	"P. of Cundinamarca"	""	""	"3785"	"meter"	"UO"	"http://purl.obolibrary.org/obo/UO_0000008"	"Rainy season to Dry Season"	""	""	"10"	""	""	"2009"	""	""
"Espeletia52"	"Espeletia"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/185152"	"Espeletia grandiflora Humb. & Bonpl."	""	""	"rosette leaf"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0003086"	"Sample collection"	"52"	"P. of Cundinamarca"	""	""	"3712"	"meter"	"UO"	"http://purl.obolibrary.org/obo/UO_0000008"	"Rainy season to Dry Season"	""	""	"10"	""	""	"2009"	""	""
"Espeletia53"	"Espeletia"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/185152"	"Espeletia grandiflora Humb. & Bonpl."	""	""	"rosette leaf"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0003086"	"Sample collection"	"53"	"P. of Cundinamarca"	""	""	"3333"	"meter"	"UO"	"http://purl.obolibrary.org/obo/UO_0000008"	"Rainy season"	""	""	"9"	""	""	"2009"	""	""
"Espeletia63"	"Espeletia"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/185152"	"Espeletia killipii var. chisacana Cuatrec."	""	""	"rosette leaf"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0003086"	"Sample collection"	"63"	"P. of Cundinamarca"	""	""	"3389"	"meter"	"UO"	"http://purl.obolibrary.org/obo/UO_0000008"	"Rainy season"	""	""	"9"	""	""	"2009"	""	""
"Espeletia64"	"Espeletia"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/185152"	"Espeletia killipii var. chisacana Cuatrec."	""	""	"rosette leaf"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0003086"	"Sample collection"	"64"	"P. of Cundinamarca"	""	""	"3752"	"meter"	"UO"	"http://purl.obolibrary.org/obo/UO_0000008"	"Rainy season"	""	""	"9"	""	""	"2009"	""	""
"Espeletia65"	"Espeletia"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/185152"	"Espeletia sp 3"	""	""	"rosette leaf"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0003086"	"Sample collection"	"65"	"P. of Cundinamarca"	""	""	"3677"	"meter"	"UO"	"http://purl.obolibrary.org/obo/UO_0000008"	"Rainy season"	""	""	"9"	""	""	"2009"	""	""
"Espeletia66"	"Espeletia"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/185152"	"Espeletia sp 3"	""	""	"rosette leaf"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0003086"	"Sample collection"	"66"	"P. of Cundinamarca"	""	""	"3363"	"meter"	"UO"	"http://purl.obolibrary.org/obo/UO_0000008"	"Dry season"	""	""	"12"	""	""	"2007"	""	""
"Espeletia74"	"Espeletia"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/185152"	"Espeletia murilloi Cuatrec."	""	""	"rosette leaf"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0003086"	"Sample collection"	"74"	"P. of Cundinamarca"	""	""	"3415"	"meter"	"UO"	"http://purl.obolibrary.org/obo/UO_0000008"	"Dry season"	""	""	"12"	""	""	"2007"	""	""
"Espeletia108"	"Espeletia"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/185152"	"Espeletia summapacis Cuatrec."	""	""	"rosette leaf"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0003086"	"Sample collection"	"108"	"P. of Cundinamarca"	""	""	"3408"	"meter"	"UO"	"http://purl.obolibrary.org/obo/UO_0000008"	"Dry season"	""	""	"12"	""	""	"2007"	""	""
"Espeletia109"	"Espeletia"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/185152"	"Espeletia summapacis Cuatrec."	""	""	"rosette leaf"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0003086"	"Sample collection"	"109"	"P. of Cundinamarca"	""	""	"3643"	"meter"	"UO"	"http://purl.obolibrary.org/obo/UO_0000008"	"Rainy season"	""	""	"12"	""	""	"2007"	""	""
"Espeletia118"	"Espeletia"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/185152"	"Espeletia uribei Cuatrec."	""	""	"rosette leaf"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0003086"	"Sample collection"	"118"	"P. of Cundinamarca"	""	""	"3342"	"meter"	"UO"	"http://purl.obolibrary.org/obo/UO_0000008"	"Rainy season"	""	""	"8"	""	""	"2011"	""	""
"Espeletia119"	"Espeletia"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/185152"	"Espeletia uribei Cuatrec."	""	""	"rosette leaf"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0003086"	"Sample collection"	"119"	"P. of Cundinamarca"	""	""	"3447"	"meter"	"UO"	"http://purl.obolibrary.org/obo/UO_0000008"	"Rainy season"	""	""	"8"	""	""	"2011"	""	""
