"Source Name"	"Characteristics[Organism]"	"Term Source REF"	"Term Accession Number"	"Characteristics[Organism part]"	"Term Source REF"	"Term Accession Number"	"Protocol REF"	"Sample Name"	"Factor Value[Incubation Time]"	"Unit"	"Term Source REF"	"Term Accession Number"	"Factor Value[Cell Number]"	"Term Source REF"	"Term Accession Number"	"Factor Value[NS]"	"Term Source REF"	"Term Accession Number"	"Factor Value[Neutrophil Activation]"	"Term Source REF"	"Term Accession Number"
"Neutrophil"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"neutrophil"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000130"	"Sample collection"	"62"	"0"	"minute"	"UO"	"http://purl.obolibrary.org/obo/UO_0000031"	"3500000"	""	""	"1024"	""	""	"no"	""	""
"Neutrophil"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"neutrophil"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000130"	"Sample collection"	"63"	"0"	"minute"	"UO"	"http://purl.obolibrary.org/obo/UO_0000031"	"3500000"	""	""	"1024"	""	""	"no"	""	""
"Neutrophil"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"neutrophil"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000130"	"Sample collection"	"64"	"0"	"minute"	"UO"	"http://purl.obolibrary.org/obo/UO_0000031"	"9700000"	""	""	"1024"	""	""	"no"	""	""
"Neutrophil"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"neutrophil"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000130"	"Sample collection"	"65"	"0"	"minute"	"UO"	"http://purl.obolibrary.org/obo/UO_0000031"	"9700000"	""	""	"1024"	""	""	"no"	""	""
"Neutrophil"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"neutrophil"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000130"	"Sample collection"	"66"	"0"	"minute"	"UO"	"http://purl.obolibrary.org/obo/UO_0000031"	"9700000"	""	""	"1024"	""	""	"no"	""	""
"Neutrophil"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"neutrophil"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000130"	"Sample collection"	"67"	"0"	"minute"	"UO"	"http://purl.obolibrary.org/obo/UO_0000031"	"2500000"	""	""	"1024"	""	""	"no"	""	""
"Neutrophil"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"neutrophil"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000130"	"Sample collection"	"68"	"0"	"minute"	"UO"	"http://purl.obolibrary.org/obo/UO_0000031"	"2500000"	""	""	"1024"	""	""	"no"	""	""
"Neutrophil"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"neutrophil"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000130"	"Sample collection"	"69"	"0"	"minute"	"UO"	"http://purl.obolibrary.org/obo/UO_0000031"	"2500000"	""	""	"2048"	""	""	"no"	""	""
"Neutrophil"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"neutrophil"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000130"	"Sample collection"	"70"	"0"	"minute"	"UO"	"http://purl.obolibrary.org/obo/UO_0000031"	"3500000"	""	""	"2048"	""	""	"no"	""	""
"Neutrophil"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"neutrophil"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000130"	"Sample collection"	"71"	"0"	"minute"	"UO"	"http://purl.obolibrary.org/obo/UO_0000031"	"3500000"	""	""	"2048"	""	""	"no"	""	""
"Neutrophil"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"neutrophil"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000130"	"Sample collection"	"72"	"0"	"minute"	"UO"	"http://purl.obolibrary.org/obo/UO_0000031"	"3500000"	""	""	"2048"	""	""	"no"	""	""
"Neutrophil"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"neutrophil"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000130"	"Sample collection"	"73"	"0"	"minute"	"UO"	"http://purl.obolibrary.org/obo/UO_0000031"	"9700000"	""	""	"2048"	""	""	"no"	""	""
"Neutrophil"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"neutrophil"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000130"	"Sample collection"	"74"	"0"	"minute"	"UO"	"http://purl.obolibrary.org/obo/UO_0000031"	"9700000"	""	""	"2048"	""	""	"no"	""	""
