"Source Name"	"Characteristics[Organism]"	"Term Source REF"	"Term Accession Number"	"Characteristics[Organism part]"	"Term Source REF"	"Term Accession Number"	"Protocol REF"	"Sample Name"	"Factor Value[Genotype]"	"Term Source REF"	"Term Accession Number"	"Factor Value[Replicate]"	"Term Source REF"	"Term Accession Number"	"Factor Value[Country of origin]"	"Term Source REF"	"Term Accession Number"	"Factor Value[Population ID]"	"Term Source REF"	"Term Accession Number"	"Factor Value[MFFGC accession no.]"	"Term Source REF"	"Term Accession Number"	"Factor Value[Type]"	"Term Source REF"	"Term Accession Number"
"C18_Neg_Batch_1"	"Lolium perenne"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/4522"	"leaf"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000713"	"Sample collection"	"PG0300_2"	"PG0300"	""	""	"2"	""	""	"NZ"	""	""	"GIL009"	""	""	""	""	""	"NZ elite breeding pool"	""	""
"C18_Neg_Batch_1"	"Lolium perenne"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/4522"	"leaf"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000713"	"Sample collection"	"PG0341_2"	"PG0341"	""	""	"2"	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"C18_Neg_Batch_1"	"Lolium perenne"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/4522"	"leaf"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000713"	"Sample collection"	"PG0363_2"	"PG0363"	""	""	"2"	""	""	"NZ"	""	""	"GIL005"	""	""	""	""	""	"NZ elite breeding pool"	""	""
"C18_Neg_Batch_1"	"Lolium perenne"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/4522"	"leaf"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000713"	"Sample collection"	"PG0377_2"	"PG0377"	""	""	"2"	""	""	"NZ"	""	""	"GIL005"	""	""	""	""	""	"NZ elite breeding pool"	""	""
"C18_Neg_Batch_1"	"Lolium perenne"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/4522"	"leaf"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000713"	"Sample collection"	"PG0396_2"	"PG0396"	""	""	"2"	""	""	"NZ"	""	""	"GIL003"	""	""	""	""	""	"NZ elite breeding pool"	""	""
"C18_Neg_Batch_1"	"Lolium perenne"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/4522"	"leaf"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000713"	"Sample collection"	"PG0404_2"	"PG0404"	""	""	"2"	""	""	"NZ"	""	""	"GIL004"	""	""	""	""	""	"NZ elite breeding pool"	""	""
"C18_Neg_Batch_1"	"Lolium perenne"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/4522"	"leaf"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000713"	"Sample collection"	"PG0411_2"	"PG0411"	""	""	"2"	""	""	"NZ"	""	""	"GIL004"	""	""	""	""	""	"NZ elite breeding pool"	""	""
"C18_Neg_Batch_1"	"Lolium perenne"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/4522"	"leaf"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000713"	"Sample collection"	"PG0438_2"	"PG0438"	""	""	"2"	""	""	"NZ"	""	""	"GIL002"	""	""	""	""	""	"NZ elite breeding pool"	""	""
"C18_Neg_Batch_1"	"Lolium perenne"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/4522"	"leaf"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000713"	"Sample collection"	"PG0456_2"	"PG0456"	""	""	"2"	""	""	"NZ"	""	""	"GIL002"	""	""	""	""	""	"NZ elite breeding pool"	""	""
"C18_Neg_Batch_1"	"Lolium perenne"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/4522"	"leaf"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000713"	"Sample collection"	"PG0458_2"	"PG0458"	""	""	"2"	""	""	"NZ"	""	""	"GIL001"	""	""	""	""	""	"NZ elite breeding pool"	""	""
"C18_Neg_Batch_1"	"Lolium perenne"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/4522"	"leaf"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000713"	"Sample collection"	"PG0466_2"	"PG0466"	""	""	"2"	""	""	"NZ"	""	""	"GIL001"	""	""	""	""	""	"NZ elite breeding pool"	""	""
"C18_Neg_Batch_1"	"Lolium perenne"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/4522"	"leaf"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000713"	"Sample collection"	"PG0467_2"	"PG0467"	""	""	"2"	""	""	"NZ"	""	""	"GIL001"	""	""	""	""	""	"NZ elite breeding pool"	""	""
"C18_Neg_Batch_1"	"Lolium perenne"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/4522"	"leaf"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000713"	"Sample collection"	"PG0487_2"	"PG0487"	""	""	"2"	""	""	"NZ"	""	""	"GIL001"	""	""	""	""	""	"NZ elite breeding pool"	""	""
"C18_Neg_Batch_1"	"Lolium perenne"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/4522"	"leaf"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000713"	"Sample collection"	"PG0491_2"	"PG0491"	""	""	"2"	""	""	"NZ"	""	""	"GIL001"	""	""	""	""	""	"NZ elite breeding pool"	""	""
