"variable.name"	"database_identifier"	"chemical_formula"	"smiles"	"inchi"	"metabolite_identification"	"mass_to_charge"	"fragmentation"	"modifications"	"charge"	"retention_time"	"taxid"	"species"	"database"	"database_version"	"reliability"	"uri"	"search_engine"	"search_engine_score"	"smallmolecule_abundance_sub"	"smallmolecule_abundance_stdev_sub"	"smallmolecule_abundance_std_error_sub"
"X827.76"	"CHEBI:30915"	"C5H6O5"	"C(CC(=O)O)C(=O)C(=O)O"	"InChI=1S/C5H6O5/c6-3(5(9)10)1-2-4(7)8/h1-2H2,(H,7,8)(H,9,10)"	"A158004_Glutaric acid, 2-oxo- (1MEOX) (2TMS) MP"	NA	NA	NA	NA	827.76	"NCBITAXON:http://purl.bioontology.org/ontology/NCBITAXON/3702"	"Arabidopsis thaliana"	NA	NA	NA	NA	NA	NA	NA	NA	NA
"X842.19"	"unknown"	""	""	""	"A159003"	NA	NA	NA	NA	842.19	"NCBITAXON:http://purl.bioontology.org/ontology/NCBITAXON/3702"	"Arabidopsis thaliana"	NA	NA	NA	NA	NA	NA	NA	NA	NA
"X849.66"	"CHEBI:16831"	"C6H10O5"	"CC(CC(=O)O)(CC(=O)O)O"	"InChI=1S/C6H10O5/c1-6(11,2-4(7)8)3-5(9)10/h11H,2-3H2,1H3,(H,7,8)(H,9,10)"	"A161003_Glutaric acid, 3-hydroxy-3-methyl- (3TMS)"	NA	NA	NA	NA	849.66	"NCBITAXON:http://purl.bioontology.org/ontology/NCBITAXON/3702"	"Arabidopsis thaliana"	NA	NA	NA	NA	NA	NA	NA	NA	NA
"X862"	"CHEBI:18237"	"C5H9NO4"	"C(CC(=O)O)C(C(=O)O)N"	"InChI=1S/C5H9NO4/c6-3(5(9)10)1-2-4(7)8/h3H,1-2,6H2,(H,7,8)(H,9,10)"	"A163001_Glutamic acid (3TMS)"	NA	NA	NA	NA	862	"NCBITAXON:http://purl.bioontology.org/ontology/NCBITAXON/3702"	"Arabidopsis thaliana"	NA	NA	NA	NA	NA	NA	NA	NA	NA
"X868.5"	"CHEBI:28044"	"C9H11NO2"	"C1=CC=C(C=C1)CC(C(=O)O)N"	"InChI=1S/C9H11NO2/c10-8(9(11)12)6-7-4-2-1-3-5-7/h1-5,8H,6,10H2,(H,11,12)"	"A164001_Phenylalanine (2TMS)"	NA	NA	NA	NA	868.5	"NCBITAXON:http://purl.bioontology.org/ontology/NCBITAXON/3702"	"Arabidopsis thaliana"	NA	NA	NA	NA	NA	NA	NA	NA	NA
"X876.61"	"CHEBI:33843"	""	""	""	"Arabinonic acid ?-lactone (3TMS)"	NA	NA	NA	NA	876.61	"NCBITAXON:http://purl.bioontology.org/ontology/NCBITAXON/3702"	"Arabidopsis thaliana"	NA	NA	NA	NA	NA	NA	NA	NA	NA
"X889.97"	"CHEBI:48141"	"H6OSi2"	"O([SiH3])[SiH3]"	"InChI=1S/H6OSi2/c2-1-3/h2-3H3"	"Siloxane"	NA	NA	NA	NA	889.97	"NCBITAXON:http://purl.bioontology.org/ontology/NCBITAXON/3702"	"Arabidopsis thaliana"	NA	NA	NA	NA	NA	NA	NA	NA	NA
"X914.66"	"CHEBI:18222"	"C5H10O5"	""	""	"A165001_Xylose (1MEOX) (4TMS) MP"	NA	NA	NA	NA	914.66	"NCBITAXON:http://purl.bioontology.org/ontology/NCBITAXON/3702"	"Arabidopsis thaliana"	NA	NA	NA	NA	NA	NA	NA	NA	NA
"X928.04"	"unknown"	""	""	""	"A171005"	NA	NA	NA	NA	928.04	"NCBITAXON:http://purl.bioontology.org/ontology/NCBITAXON/3702"	"Arabidopsis thaliana"	NA	NA	NA	NA	NA	NA	NA	NA	NA
"X931.95"	"CHEBI:22605"	"C5H12O5"	""	""	"A171012_Arabitol (5TMS)"	NA	NA	NA	NA	931.95	"NCBITAXON:http://purl.bioontology.org/ontology/NCBITAXON/3702"	"Arabidopsis thaliana"	NA	NA	NA	NA	NA	NA	NA	NA	NA
"X939.64"	"CHEBI:48141"	"H6OSi2"	"O([SiH3])[SiH3]"	"InChI=1S/H6OSi2/c2-1-3/h2-3H3"	"Siloxane"	NA	NA	NA	NA	939.64	"NCBITAXON:http://purl.bioontology.org/ontology/NCBITAXON/3702"	"Arabidopsis thaliana"	NA	NA	NA	NA	NA	NA	NA	NA	NA
"X965.39"	"unknown"	""	""	""	"A174001"	NA	NA	NA	NA	965.39	"NCBITAXON:http://purl.bioontology.org/ontology/NCBITAXON/3702"	"Arabidopsis thaliana"	NA	NA	NA	NA	NA	NA	NA	NA	NA
"X974.82"	"CHEBI:14336"	"C3H9O6P"	"C(C(COP(=O)(O)O)O)O"	"InChI=1S/C3H9O6P/c4-1-3(5)2-9-10(6,7)8/h3-5H,1-2H2,(H2,6,7,8)"	"A177002_Glycerol-3-phosphate (4TMS)"	NA	NA	NA	NA	974.82	"NCBITAXON:http://purl.bioontology.org/ontology/NCBITAXON/3702"	"Arabidopsis thaliana"	NA	NA	NA	NA	NA	NA	NA	NA	NA
"X982.47"	"CHEBI:33511"	"C5H10O6"	""	""	"A177001_Ribonic acid (5TMS)"	NA	NA	NA	NA	982.47	"NCBITAXON:http://purl.bioontology.org/ontology/NCBITAXON/3702"	"Arabidopsis thaliana"	NA	NA	NA	NA	NA	NA	NA	NA	NA
"X987.07"	"unknown"	""	""	""	"A178003"	NA	NA	NA	NA	987.07	"NCBITAXON:http://purl.bioontology.org/ontology/NCBITAXON/3702"	"Arabidopsis thaliana"	NA	NA	NA	NA	NA	NA	NA	NA	NA
"X988.19"	"CHEBI:17553"	"C2H8NO4P"	"C(COP(=O)(O)O)N"	"InChI=1S/C2H8NO4P/c3-1-2-7-8(4,5)6/h1-3H2,(H2,4,5,6)"	"A177014_Ethanolaminephosphate (4TMS)"	NA	NA	NA	NA	988.19	"NCBITAXON:http://purl.bioontology.org/ontology/NCBITAXON/3702"	"Arabidopsis thaliana"	NA	NA	NA	NA	NA	NA	NA	NA	NA
"X992.94"	"CHEBI:33509"	""	""	""	"A179001_Arabinonic acid (5TMS)"	NA	NA	NA	NA	992.94	"NCBITAXON:http://purl.bioontology.org/ontology/NCBITAXON/3702"	"Arabidopsis thaliana"	NA	NA	NA	NA	NA	NA	NA	NA	NA
"X1005.53"	"CHEBI:48141"	"H6OSi2"	"O([SiH3])[SiH3]"	"InChI=1S/H6OSi2/c2-1-3/h2-3H3"	"Siloxane"	NA	NA	NA	NA	1005.53	"NCBITAXON:http://purl.bioontology.org/ontology/NCBITAXON/3702"	"Arabidopsis thaliana"	NA	NA	NA	NA	NA	NA	NA	NA	NA
"X1014.92"	"CHEBI:30769"	"C6H8O7"	"C(C(=O)O)C(CC(=O)O)(C(=O)O)O"	"InChI=1S/C6H8O7/c7-3(8)1-6(13,5(11)12)2-4(9)10/h13H,1-2H2,(H,7,8)(H,9,10)(H,11,12)"	"A182004_Citric acid (4TMS)"	NA	NA	NA	NA	1014.92	"NCBITAXON:http://purl.bioontology.org/ontology/NCBITAXON/3702"	"Arabidopsis thaliana"	NA	NA	NA	NA	NA	NA	NA	NA	NA
"X1022.53"	"unknown"	""	""	""	"A181001"	NA	NA	NA	NA	1022.53	"NCBITAXON:http://purl.bioontology.org/ontology/NCBITAXON/3702"	"Arabidopsis thaliana"	NA	NA	NA	NA	NA	NA	NA	NA	NA
"X1033.59"	"unknown"	""	""	""	"Talofuranose (5TMS)"	NA	NA	NA	NA	1033.59	"NCBITAXON:http://purl.bioontology.org/ontology/NCBITAXON/3702"	"Arabidopsis thaliana"	NA	NA	NA	NA	NA	NA	NA	NA	NA
"X1047.78"	"CHEBI:17566"	"C10H8N2"	"N#CCc1c[nH]c2ccccc12"	"InChI=1S/C10H8N2/c11-6-5-8-7-12-10-4-2-1-3-9(8)10/h1-4,7,12H,5H2"	"A188025_Indole-3-acetonitrile (1TMS)"	NA	NA	NA	NA	1047.78	"NCBITAXON:http://purl.bioontology.org/ontology/NCBITAXON/3702"	"Arabidopsis thaliana"	NA	NA	NA	NA	NA	NA	NA	NA	NA
"X1049.34"	"CHEBI:48141"	"H6OSi2"	"O([SiH3])[SiH3]"	"InChI=1S/H6OSi2/c2-1-3/h2-3H3"	"Siloxane"	NA	NA	NA	NA	1049.34	"NCBITAXON:http://purl.bioontology.org/ontology/NCBITAXON/3702"	"Arabidopsis thaliana"	NA	NA	NA	NA	NA	NA	NA	NA	NA
"X1059.46"	"CHEBI:28757"	"C6H12O6"	""	""	"A187002_Fructose (1MEOX) (5TMS) MP"	NA	NA	NA	NA	1059.46	"NCBITAXON:http://purl.bioontology.org/ontology/NCBITAXON/3702"	"Arabidopsis thaliana"	NA	NA	NA	NA	NA	NA	NA	NA	NA
"X1065.82"	"CHEBI:28757"	"C6H12O6"	""	""	"A188004_Fructose (1MEOX) (5TMS) BP"	NA	NA	NA	NA	1065.82	"NCBITAXON:http://purl.bioontology.org/ontology/NCBITAXON/3702"	"Arabidopsis thaliana"	NA	NA	NA	NA	NA	NA	NA	NA	NA
"X1072.76"	"CHEBI:320061"	"C7H14O6"	"CO[C@H]1O[C@H](CO)[C@@H](O)[C@H](O)[C@H]1O"	"InChI=1S/C7H14O6/c1-12-7-6(11)5(10)4(9)3(2-8)13-7/h3-11H,2H2,1H3/t3-,4-,5+,6-,7+/m1/s1"	"A188006_Glucopyranoside, 1-O-methyl-, alpha- (4TMS)"	NA	NA	NA	NA	1072.76	"NCBITAXON:http://purl.bioontology.org/ontology/NCBITAXON/3702"	"Arabidopsis thaliana"	NA	NA	NA	NA	NA	NA	NA	NA	NA
"X1077.3"	"CHEBI:17234"	"C6H12O6"	""	""	"A189002_Glucose (1MEOX) (5TMS) MP"	NA	NA	NA	NA	1077.3	"NCBITAXON:http://purl.bioontology.org/ontology/NCBITAXON/3702"	"Arabidopsis thaliana"	NA	NA	NA	NA	NA	NA	NA	NA	NA
"X1082.83"	"unknown"	""	""	""	"A192013"	NA	NA	NA	NA	1082.83	"NCBITAXON:http://purl.bioontology.org/ontology/NCBITAXON/3702"	"Arabidopsis thaliana"	NA	NA	NA	NA	NA	NA	NA	NA	NA
"X1089.63"	"CHEBI:17234"	"C6H12O6"	""	""	"A191001_Glucose (1MEOX) (5TMS) BP"	NA	NA	NA	NA	1089.63	"NCBITAXON:http://purl.bioontology.org/ontology/NCBITAXON/3702"	"Arabidopsis thaliana"	NA	NA	NA	NA	NA	NA	NA	NA	NA
"X1108.97"	"CHEBI:48141"	"H6OSi2"	"O([SiH3])[SiH3]"	"InChI=1S/H6OSi2/c2-1-3/h2-3H3"	"Siloxane"	NA	NA	NA	NA	1108.97	"NCBITAXON:http://purl.bioontology.org/ontology/NCBITAXON/3702"	"Arabidopsis thaliana"	NA	NA	NA	NA	NA	NA	NA	NA	NA
