"Source Name"	"Characteristics[Organism]"	"Term Source REF"	"Term Accession Number"	"Characteristics[Organism part]"	"Term Source REF"	"Term Accession Number"	"Protocol REF"	"Sample Name"	"Factor Value[filter usage]"	"Term Source REF"	"Term Accession Number"
"S3"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"Breath"	"NCIT"	"http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C94552"	"Sample collection"	"20181017_02_Pos_DOPAEx_03_SETP_0_7_SESI_4"	"Yes"	""	""
"S3"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"Breath"	"NCIT"	"http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C94552"	"Sample collection"	"20181017_03_Pos_DOPAEx_03_SETP_0_7_SESI_4"	"Yes"	""	""
"S3"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"Breath"	"NCIT"	"http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C94552"	"Sample collection"	"20181017_04_Pos_DOPAEx_03_SETP_0_7_SESI_4"	"Yes"	""	""
"S3"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"Breath"	"NCIT"	"http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C94552"	"Sample collection"	"20181018_01_Pos_DOPAEx_03_SETP_0_7_SESI_4"	"Yes"	""	""
"S1"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"Breath"	"NCIT"	"http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C94552"	"Sample collection"	"20181018_02_Pos_DOPAEx_01_SETP_0_7_SESI_4"	"Yes"	""	""
"S1"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"Breath"	"NCIT"	"http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C94552"	"Sample collection"	"20181018_03_Pos_DOPAEx_01_SETP_0_7_SESI_4"	"Yes"	""	""
"S1"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"Breath"	"NCIT"	"http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C94552"	"Sample collection"	"20181018_04_Pos_DOPAEx_01_SETP_0_7_SESI_4"	"Yes"	""	""
"S1"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"Breath"	"NCIT"	"http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C94552"	"Sample collection"	"20181019_01_Pos_DOPAEx_01_SETP_0_7_SESI_4"	"Yes"	""	""
"S1"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"Breath"	"NCIT"	"http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C94552"	"Sample collection"	"20181019_02_Pos_DOPAEx_01_SETP_0_7_SESI_4"	"Yes"	""	""
"S1"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"Breath"	"NCIT"	"http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C94552"	"Sample collection"	"20181019_03_Pos_DOPAEx_01_SETP_0_7_SESI_4"	"Yes"	""	""
"S2"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"Breath"	"NCIT"	"http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C94552"	"Sample collection"	"20181019_04_Pos_DOPAEx_02_SETP_0_7_SESI_4"	"Yes"	""	""
"S2"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"Breath"	"NCIT"	"http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C94552"	"Sample collection"	"20181019_05_Pos_DOPAEx_02_SETP_0_7_SESI_4"	"Yes"	""	""
"S2"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"Breath"	"NCIT"	"http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C94552"	"Sample collection"	"20181019_06_Pos_DOPAEx_02_SETP_0_7_SESI_4"	"No"	""	""
"S1"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"Breath"	"NCIT"	"http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C94552"	"Sample collection"	"20181019_07_Pos_DOPAEx_01_SETP_0_7_SESI_4"	"Yes"	""	""
"S3"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"Breath"	"NCIT"	"http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C94552"	"Sample collection"	"20181019_08_Pos_DOPAEx_03_SETP_0_7_SESI_4"	"Yes"	""	""
"S1"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"Breath"	"NCIT"	"http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C94552"	"Sample collection"	"20181019_09_Pos_DOPAEx_01_SETP_0_7_SESI_4"	"Yes"	""	""
"S1"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"Breath"	"NCIT"	"http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C94552"	"Sample collection"	"20181019_10_Pos_DOPAEx_01_SETP_0_7_SESI_4"	"No"	""	""
"S1"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"Breath"	"NCIT"	"http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C94552"	"Sample collection"	"20181019_11_Pos_DOPAEx_01_SETP_0_7_SESI_4"	"Yes"	""	""
"S3"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"Breath"	"NCIT"	"http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C94552"	"Sample collection"	"20181019_12_Pos_DOPAEx_03_SETP_0_7_SESI_4"	"Yes"	""	""
"S3"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"Breath"	"NCIT"	"http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C94552"	"Sample collection"	"20181019_13_Pos_DOPAEx_03_SETP_0_7_SESI_4"	"No"	""	""
